year,sampreg,hlf0180,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2001,West,Yes,0.77239,7235,8805,0.76363,0.78115
2001,West,No,0.22761,1570,8805,0.21885,0.23637
2001,East,Yes,0.68796,2158,2823,0.67087,0.70506
2001,East,No,0.31204,665,2823,0.29494,0.32913
2003,West,Yes,0.76933,7473,8973,0.76062,0.77805
2003,West,No,0.23067,1500,8973,0.22195,0.23938
2003,East,Yes,0.69462,2150,2789,0.67752,0.71172
2003,East,No,0.30538,639,2789,0.28828,0.32248
2005,West,Yes,0.76720,7032,8475,0.75820,0.77620
2005,West,No,0.23280,1443,8475,0.22380,0.24180
2005,East,Yes,0.70699,2077,2680,0.68975,0.72422
2005,East,No,0.29301,603,2680,0.27578,0.31025
2007,West,Yes,0.77031,7222,8654,0.76144,0.77917
2007,West,No,0.22969,1432,8654,0.22083,0.23856
2007,East,Yes,0.70975,2147,2749,0.69278,0.72672
2007,East,No,0.29025,602,2749,0.27328,0.30722
2011,West,Yes,0.78243,7604,9168,0.77399,0.79088
2011,West,No,0.21757,1564,9168,0.20912,0.22601
2011,East,Yes,0.70409,2185,2884,0.68743,0.72076
2011,East,No,0.29591,699,2884,0.27924,0.31257
2013,West,Yes,0.77801,8928,11044,0.77026,0.78576
2013,West,No,0.22199,2116,11044,0.21424,0.22974
2013,East,Yes,0.70613,2171,2887,0.68951,0.72275
2013,East,No,0.29387,716,2887,0.27725,0.31049
2016,West,Yes,0.78858,9233,11211,0.78102,0.79614
2016,West,No,0.21142,1978,11211,0.20386,0.21898
2016,East,Yes,0.69267,2327,3070,0.67635,0.70899
2016,East,No,0.30733,743,3070,0.29101,0.32365
2017,West,Yes,0.78428,10574,13747,0.77740,0.79116
2017,West,No,0.21572,3173,13747,0.20884,0.22260
2017,East,Yes,0.70517,2679,3715,0.69050,0.71983
2017,East,No,0.29483,1036,3715,0.28017,0.30950
2018,West,Yes,0.78953,10590,14081,0.78280,0.79627
2018,West,No,0.21047,3491,14081,0.20373,0.21720
2018,East,Yes,0.70891,2682,3777,0.69442,0.72340
2018,East,No,0.29109,1095,3777,0.27660,0.30558
2019,Does not apply,No,0.57967,38,38,0.42061,0.73872
2019,West,Yes,0.79890,10534,12481,0.79187,0.80594
2019,West,No,0.20110,1947,12481,0.19406,0.20813
2019,East,Yes,0.70893,2819,3590,0.69407,0.72379
2019,East,No,0.29107,771,3590,0.27621,0.30593
2021,West,Yes,0.80891,7916,9973,0.80119,0.81662
2021,West,No,0.19109,2057,9973,0.18338,0.19881
2021,East,Yes,0.73040,1979,2587,0.71330,0.74750
2021,East,No,0.26960,608,2587,0.25250,0.28670
