year,regtyp,sampreg,hgeqpter,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,No answer / don't know,West,Yes,0.66131,3546,5757,0.64908,0.67353
1984,No answer / don't know,West,No,0.33869,2211,5757,0.32647,0.35092
1985,Urban regions,West,Yes,0.66486,2561,4122,0.65045,0.67927
1985,Urban regions,West,No,0.33514,1561,4122,0.32073,0.34955
1985,Rural regions,West,Yes,0.66233,687,1043,0.63361,0.69104
1985,Rural regions,West,No,0.33767,356,1043,0.30896,0.36639
1986,Urban regions,West,Yes,0.67547,2498,3934,0.66083,0.69010
1986,Urban regions,West,No,0.32453,1436,3934,0.30990,0.33917
1986,Rural regions,West,Yes,0.67196,657,989,0.64268,0.70123
1986,Rural regions,West,No,0.32804,332,989,0.29877,0.35732
1987,Urban regions,West,Yes,0.67445,2480,3884,0.65971,0.68919
1987,Urban regions,West,No,0.32555,1404,3884,0.31081,0.34029
1987,Rural regions,West,Yes,0.68609,664,978,0.65699,0.71519
1987,Rural regions,West,No,0.31391,314,978,0.28481,0.34301
1988,Urban regions,West,Yes,0.68567,2417,3738,0.67079,0.70056
1988,Urban regions,West,No,0.31433,1321,3738,0.29944,0.32921
1988,Rural regions,West,Yes,0.69425,631,922,0.66449,0.72401
1988,Rural regions,West,No,0.30575,291,922,0.27599,0.33551
1989,Urban regions,West,Yes,0.69266,2385,3660,0.67771,0.70761
1989,Urban regions,West,No,0.30734,1275,3660,0.29239,0.32229
1989,Rural regions,West,Yes,0.67844,592,878,0.64753,0.70935
1989,Rural regions,West,No,0.32156,286,878,0.29065,0.35247
1990,Urban regions,West,Yes,0.69709,2344,3582,0.68204,0.71214
1990,Urban regions,West,No,0.30291,1238,3582,0.28786,0.31796
1990,Rural regions,West,Yes,0.67916,598,892,0.64851,0.70981
1990,Rural regions,West,No,0.32084,294,892,0.29019,0.35149
1991,Urban regions,West,Yes,0.70543,2448,3683,0.69070,0.72015
1991,Urban regions,West,No,0.29457,1235,3683,0.27985,0.30930
1991,Urban regions,East,Yes,0.45970,316,640,0.42106,0.49834
1991,Urban regions,East,No,0.54030,324,640,0.50166,0.57894
1991,Rural regions,West,Yes,0.69936,644,933,0.66992,0.72880
1991,Rural regions,West,No,0.30064,289,933,0.27120,0.33008
1991,Rural regions,East,Yes,0.36678,506,1256,0.34012,0.39345
1991,Rural regions,East,No,0.63322,750,1256,0.60655,0.65988
1992,Urban regions,West,Yes,0.71604,2459,3653,0.70141,0.73066
1992,Urban regions,West,No,0.28396,1194,3653,0.26934,0.29859
1992,Urban regions,East,Yes,0.50726,328,627,0.46810,0.54642
1992,Urban regions,East,No,0.49274,299,627,0.45358,0.53190
1992,Rural regions,West,Yes,0.71516,647,923,0.68603,0.74429
1992,Rural regions,West,No,0.28484,276,923,0.25571,0.31397
1992,Rural regions,East,Yes,0.38790,488,1175,0.36003,0.41577
1992,Rural regions,East,No,0.61210,687,1175,0.58423,0.63997
1993,Urban regions,West,Yes,0.71876,2460,3638,0.70415,0.73337
1993,Urban regions,West,No,0.28124,1178,3638,0.26663,0.29585
1993,Urban regions,East,Yes,0.52422,325,611,0.48459,0.56385
1993,Urban regions,East,No,0.47578,286,611,0.43615,0.51541
1993,Rural regions,West,Yes,0.71163,649,937,0.68261,0.74065
1993,Rural regions,West,No,0.28837,288,937,0.25935,0.31739
1993,Rural regions,East,Yes,0.38711,484,1175,0.35925,0.41498
1993,Rural regions,East,No,0.61289,691,1175,0.58502,0.64075
1994,Urban regions,West,Yes,0.72380,2446,3563,0.70912,0.73849
1994,Urban regions,West,No,0.27620,1117,3563,0.26151,0.29088
1994,Urban regions,East,Yes,0.51512,331,617,0.47566,0.55459
1994,Urban regions,East,No,0.48488,286,617,0.44541,0.52434
1994,Rural regions,West,Yes,0.71876,667,943,0.69005,0.74747
1994,Rural regions,West,No,0.28124,276,943,0.25253,0.30995
1994,Rural regions,East,Yes,0.40002,480,1145,0.37163,0.42841
1994,Rural regions,East,No,0.59998,665,1145,0.57159,0.62837
1995,Urban regions,West,Yes,0.73438,2601,3724,0.72019,0.74856
1995,Urban regions,West,No,0.26562,1123,3724,0.25144,0.27981
1995,Urban regions,East,Yes,0.52824,312,581,0.48761,0.56886
1995,Urban regions,East,No,0.47176,269,581,0.43114,0.51239
1995,Rural regions,West,Yes,0.73958,718,1001,0.71237,0.76678
1995,Rural regions,West,No,0.26042,283,1001,0.23322,0.28763
1995,Rural regions,East,Yes,0.42293,508,1141,0.39425,0.45161
1995,Rural regions,East,No,0.57707,633,1141,0.54839,0.60575
1996,Urban regions,West,Yes,0.74048,2587,3656,0.72627,0.75469
1996,Urban regions,West,No,0.25952,1069,3656,0.24531,0.27373
1996,Urban regions,East,Yes,0.55619,337,594,0.51620,0.59618
1996,Urban regions,East,No,0.44381,257,594,0.40382,0.48380
1996,Rural regions,West,Yes,0.75712,733,997,0.73048,0.78375
1996,Rural regions,West,No,0.24288,264,997,0.21625,0.26952
1996,Rural regions,East,Yes,0.43760,527,1137,0.40875,0.46645
1996,Rural regions,East,No,0.56240,610,1137,0.53355,0.59125
1997,Urban regions,West,Yes,0.75214,2588,3594,0.73802,0.76626
1997,Urban regions,West,No,0.24786,1006,3594,0.23374,0.26198
1997,Urban regions,East,Yes,0.54597,334,588,0.50570,0.58625
1997,Urban regions,East,No,0.45403,254,588,0.41375,0.49430
1997,Rural regions,West,Yes,0.76507,737,985,0.73858,0.79156
1997,Rural regions,West,No,0.23493,248,985,0.20844,0.26142
1997,Rural regions,East,Yes,0.45593,541,1130,0.42688,0.48498
1997,Rural regions,East,No,0.54407,589,1130,0.51502,0.57312
1998,Urban regions,West,Yes,0.75313,3124,4253,0.74017,0.76610
1998,Urban regions,West,No,0.24687,1129,4253,0.23390,0.25983
1998,Urban regions,East,Yes,0.56575,375,642,0.52738,0.60412
1998,Urban regions,East,No,0.43425,267,642,0.39588,0.47262
1998,Rural regions,West,Yes,0.78851,930,1176,0.76516,0.81186
1998,Rural regions,West,No,0.21149,246,1176,0.18814,0.23484
1998,Rural regions,East,Yes,0.48455,656,1291,0.45728,0.51182
1998,Rural regions,East,No,0.51545,635,1291,0.48818,0.54272
1999,Urban regions,West,Yes,0.75888,2996,4036,0.74568,0.77207
1999,Urban regions,West,No,0.24112,1040,4036,0.22793,0.25432
1999,Urban regions,East,Yes,0.58076,382,631,0.54223,0.61929
1999,Urban regions,East,No,0.41924,249,631,0.38071,0.45777
1999,Rural regions,West,Yes,0.79790,909,1128,0.77445,0.82134
1999,Rural regions,West,No,0.20210,219,1128,0.17866,0.22555
1999,Rural regions,East,Yes,0.50452,654,1262,0.47692,0.53211
1999,Rural regions,East,No,0.49548,608,1262,0.46789,0.52308
2000,Urban regions,West,Yes,0.76410,5767,7497,0.75449,0.77371
2000,Urban regions,West,No,0.23590,1730,7497,0.22629,0.24551
2000,Urban regions,East,Yes,0.60090,607,986,0.57031,0.63148
2000,Urban regions,East,No,0.39910,379,986,0.36852,0.42969
2000,Rural regions,West,Yes,0.79710,1835,2267,0.78054,0.81366
2000,Rural regions,West,No,0.20290,432,2267,0.18634,0.21946
2000,Rural regions,East,Yes,0.47540,1010,2030,0.45367,0.49713
2000,Rural regions,East,No,0.52460,1020,2030,0.50287,0.54633
2001,Urban regions,West,Yes,0.77045,5241,6724,0.76039,0.78050
2001,Urban regions,West,No,0.22955,1483,6724,0.21950,0.23961
2001,Urban regions,East,Yes,0.60206,572,930,0.57058,0.63354
2001,Urban regions,East,No,0.39794,358,930,0.36646,0.42942
2001,Rural regions,West,Yes,0.81241,1642,1990,0.79525,0.82957
2001,Rural regions,West,No,0.18759,348,1990,0.17043,0.20475
2001,Rural regions,East,Yes,0.48464,942,1849,0.46185,0.50743
