year,rentown,hgeqpter,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,Owner,Yes,0.76839,1545,1968,0.74974,0.78703
1984,Owner,No,0.23161,423,1968,0.21297,0.25026
1984,Tenant,Yes,0.58971,2001,3789,0.57405,0.60538
1984,Tenant,No,0.41029,1788,3789,0.39462,0.42595
1985,Owner,Yes,0.76677,1436,1827,0.74737,0.78616
1985,Owner,No,0.23323,391,1827,0.21384,0.25263
1985,Tenant,Yes,0.59621,1812,3338,0.57956,0.61286
1985,Tenant,No,0.40379,1526,3338,0.38714,0.42044
1986,Owner,Yes,0.77852,1424,1796,0.75931,0.79773
1986,Owner,No,0.22148,372,1796,0.20227,0.24069
1986,Tenant,Yes,0.60677,1730,3124,0.58964,0.62390
1986,Tenant,No,0.39323,1394,3124,0.37610,0.41036
1987,Owner,Yes,0.77630,1412,1794,0.75701,0.79559
1987,Owner,No,0.22370,382,1794,0.20441,0.24299
1987,Tenant,Yes,0.61278,1732,3067,0.59554,0.63003
1987,Tenant,No,0.38722,1335,3067,0.36997,0.40446
1988,Owner,Yes,0.78563,1365,1716,0.76620,0.80505
1988,Owner,No,0.21437,351,1716,0.19495,0.23380
1988,Tenant,Yes,0.62265,1683,2944,0.60514,0.64016
1988,Tenant,No,0.37735,1261,2944,0.35984,0.39486
1989,Owner,Yes,0.78856,1344,1682,0.76904,0.80808
1989,Owner,No,0.21144,338,1682,0.19192,0.23096
1989,Tenant,Yes,0.62263,1631,2853,0.60484,0.64042
1989,Tenant,No,0.37737,1222,2853,0.35958,0.39516
1990,Owner,Yes,0.80326,1611,1956,0.78564,0.82088
1990,Owner,No,0.19674,345,1956,0.17912,0.21436
1990,Tenant,Yes,0.66377,2222,3409,0.64791,0.67963
1990,Tenant,No,0.33623,1187,3409,0.32037,0.35209
1991,Owner,Yes,0.77487,1707,2323,0.75788,0.79186
1991,Owner,No,0.22513,616,2323,0.20814,0.24212
1991,Tenant,Yes,0.56819,2222,4233,0.55326,0.58311
1991,Tenant,No,0.43181,2011,4233,0.41689,0.44674
1992,Owner,Yes,0.78235,1709,2305,0.76550,0.79920
1992,Owner,No,0.21765,596,2305,0.20080,0.23450
1992,Tenant,Yes,0.58856,2236,4127,0.57354,0.60357
1992,Tenant,No,0.41144,1891,4127,0.39643,0.42646
1993,Owner,Yes,0.78253,1696,2285,0.76562,0.79945
1993,Owner,No,0.21747,589,2285,0.20055,0.23438
1993,Tenant,Yes,0.58961,2222,4075,0.57451,0.60472
1993,Tenant,No,0.41039,1853,4075,0.39528,0.42549
1994,Owner,Yes,0.78710,1706,2292,0.77034,0.80387
1994,Owner,No,0.21290,586,2292,0.19613,0.22966
1994,Tenant,Yes,0.59424,2217,3973,0.57897,0.60951
1994,Tenant,No,0.40576,1756,3973,0.39049,0.42103
1995,Owner,Yes,0.79866,1753,2315,0.78232,0.81500
1995,Owner,No,0.20134,562,2315,0.18500,0.21768
1995,Tenant,Yes,0.60972,2386,4132,0.59484,0.62459
1995,Tenant,No,0.39028,1746,4132,0.37541,0.40516
1996,Owner,Yes,0.80254,1780,2343,0.78642,0.81867
1996,Owner,No,0.19746,563,2343,0.18133,0.21358
1996,Tenant,Yes,0.62471,2404,4041,0.60978,0.63964
1996,Tenant,No,0.37529,1637,4041,0.36036,0.39022
1997,Owner,Yes,0.80714,1824,2384,0.79130,0.82298
1997,Owner,No,0.19286,560,2384,0.17702,0.20870
1997,Tenant,Yes,0.63745,2377,3914,0.62239,0.65252
1997,Tenant,No,0.36255,1537,3914,0.34748,0.37761
1998,Owner,Yes,0.81953,2287,2886,0.80550,0.83356
1998,Owner,No,0.18047,599,2886,0.16644,0.19450
1998,Tenant,Yes,0.64319,2798,4476,0.62915,0.65723
1998,Tenant,No,0.35681,1678,4476,0.34277,0.37085
1999,Owner,Yes,0.82989,2269,2835,0.81606,0.84372
1999,Owner,No,0.17011,566,2835,0.15628,0.18394
1999,Tenant,Yes,0.64972,2672,4222,0.63533,0.66411
1999,Tenant,No,0.35028,1550,4222,0.33589,0.36467
2000,Owner,Yes,0.83667,4741,5766,0.82713,0.84621
2000,Owner,No,0.16333,1025,5766,0.15379,0.17287
2000,Tenant,Yes,0.64337,4478,7014,0.63216,0.65458
2000,Tenant,No,0.35663,2536,7014,0.34542,0.36784
2001,Owner,Yes,0.83761,4282,5201,0.82759,0.84764
2001,Owner,No,0.16239,919,5201,0.15236,0.17241
2001,Tenant,Yes,0.65555,4115,6292,0.64381,0.66729
2001,Tenant,No,0.34445,2177,6292,0.33271,0.35619
2002,Owner,Yes,0.84033,4879,5764,0.83087,0.84979
2002,Owner,No,0.15967,885,5764,0.15021,0.16913
2002,Tenant,Yes,0.66182,4140,6201,0.65004,0.67359
2002,Tenant,No,0.33818,2061,6201,0.32641,0.34996
2003,Owner,Yes,0.84169,4717,5580,0.83211,0.85127
2003,Owner,No,0.15831,863,5580,0.14873,0.16789
2003,Tenant,Yes,0.66772,4031,5968,0.65577,0.67968
2003,Tenant,No,0.33228,1937,5968,0.32032,0.34423
2004,Owner,Yes,0.84779,4665,5478,0.83828,0.85731
2004,Owner,No,0.15221,813,5478,0.14269,0.16172
2004,Tenant,Yes,0.67596,3973,5797,0.66391,0.68801
2004,Tenant,No,0.32404,1824,5797,0.31199,0.33609
2005,Owner,Yes,0.86543,4651,5382,0.85631,0.87455
2005,Owner,No,0.13457,731,5382,0.12545,0.14369
2005,Tenant,Yes,0.68930,3995,5793,0.67738,0.70122
2005,Tenant,No,0.31070,1798,5793,0.29878,0.32262
2006,Owner,Yes,0.87120,5235,6001,0.86272,0.87968
2006,Owner,No,0.12880,766,6001,0.12032,0.13728
2006,Tenant,Yes,0.68816,4322,6246,0.67667,0.69965
2006,Tenant,No,0.31184,1924,6246,0.30035,0.32333
2007,Owner,Yes,0.87434,4920,5617,0.86567,0.88301
2007,Owner,No,0.12566,697,5617,0.11699,0.13433
2007,Tenant,Yes,0.70805,4113,5817,0.69637,0.71974
2007,Tenant,No,0.29195,1704,5817,0.28026,0.30363
2008,Owner,Yes,0.88162,4740,5377,0.87298,0.89025
2008,Owner,No,0.11838,637,5377,0.10975,0.12702
2008,Tenant,Yes,0.71601,3885,5433,0.70402,0.72800
2008,Tenant,No,0.28399,1548,5433,0.27200,0.29598
2009,Owner,Yes,0.87891,4458,5061,0.86992,0.88790
2009,Owner,No,0.12109,603,5061,0.11210,0.13008
2009,Tenant,Yes,0.72483,3674,5107,0.71258,0.73708
2009,Tenant,No,0.27517,1433,5107,0.26292,0.28742
2010,Owner,Yes,0.87638,5617,6329,0.86827,0.88449
2010,Owner,No,0.12362,712,6329,0.11551,0.13173
2010,Tenant,Yes,0.72287,5468,7459,0.71271,0.73303
2010,Tenant,No,0.27713,1991,7459,0.26697,0.28729
2011,Owner,Yes,0.89614,6912,7721,0.88934,0.90295
2011,Owner,No,0.10386,809,7721,0.09705,0.11066
2011,Tenant,Yes,0.72369,6552,8878,0.71439,0.73299
2011,Tenant,No,0.27631,2326,8878,0.26701,0.28561
2012,Owner,Yes,0.89714,6804,7596,0.89031,0.90397
2012,Owner,No,0.10286,792,7596,0.09603,0.10969
2012,Tenant,Yes,0.73222,6479,8706,0.72292,0.74152
2012,Tenant,No,0.26778,2227,8706,0.25848,0.27708
2013,Owner,Yes,0.89700,6942,7708,0.89021,0.90379
2013,Owner,No,0.10300,766,7708,0.09621,0.10979
2013,Tenant,Yes,0.72753,7599,10162,0.71887,0.73619
2013,Tenant,No,0.27247,2563,10162,0.26381,0.28113
2014,Owner,Yes,0.90133,6355,7052,0.89437,0.90829
2014,Owner,No,0.09867,697,7052,0.09171,0.10563
2014,Tenant,Yes,0.73062,6609,8772,0.72134,0.73991
2014,Tenant,No,0.26938,2163,8772,0.26009,0.27866
2015,Owner,Yes,0.90233,6077,6737,0.89524,0.90942
2015,Owner,No,0.09767,660,6737,0.09058,0.10476
2015,Tenant,Yes,0.72968,6657,9021,0.72051,0.73884
2015,Tenant,No,0.27032,2364,9021,0.26116,0.27949
2016,Not included in this version of the questionnaire,Yes,0.45864,1125,2103,0.43734,0.47994
2016,Not included in this version of the questionnaire,No,0.54136,978,2103,0.52006,0.56266
