year,quintil_oecd_hh,rentown,hgeqpter,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,1st Quintile,Owner,Yes,0.56420,153,255,0.50321,0.62518
1984,1st Quintile,Owner,No,0.43580,102,255,0.37482,0.49679
1984,1st Quintile,Tenant,Yes,0.43891,377,924,0.40689,0.47093
1984,1st Quintile,Tenant,No,0.56109,547,924,0.52907,0.59311
1984,2nd Quintile,Owner,Yes,0.70961,265,366,0.66304,0.75618
1984,2nd Quintile,Owner,No,0.29039,101,366,0.24382,0.33696
1984,2nd Quintile,Tenant,Yes,0.55666,404,810,0.52243,0.59089
1984,2nd Quintile,Tenant,No,0.44334,406,810,0.40911,0.47757
1984,3rd Quintile,Owner,Yes,0.76830,306,392,0.72648,0.81012
1984,3rd Quintile,Owner,No,0.23170,86,392,0.18988,0.27352
1984,3rd Quintile,Tenant,Yes,0.62314,424,761,0.58869,0.65760
1984,3rd Quintile,Tenant,No,0.37686,337,761,0.34240,0.41131
1984,4th Quintile,Owner,Yes,0.82354,362,435,0.78767,0.85940
1984,4th Quintile,Owner,No,0.17646,73,435,0.14060,0.21233
1984,4th Quintile,Tenant,Yes,0.67466,431,736,0.64079,0.70854
1984,4th Quintile,Tenant,No,0.32534,305,736,0.29146,0.35921
1984,5th Quintile,Owner,Yes,0.88142,458,517,0.85352,0.90931
1984,5th Quintile,Owner,No,0.11858,59,517,0.09069,0.14648
1984,5th Quintile,Tenant,Yes,0.71966,359,540,0.68175,0.75758
1984,5th Quintile,Tenant,No,0.28034,181,540,0.24242,0.31825
1985,1st Quintile,Owner,Yes,0.58312,140,231,0.51940,0.64684
1985,1st Quintile,Owner,No,0.41688,91,231,0.35316,0.48060
1985,1st Quintile,Tenant,Yes,0.43109,334,828,0.39733,0.46484
1985,1st Quintile,Tenant,No,0.56891,494,828,0.53516,0.60267
1985,2nd Quintile,Owner,Yes,0.66976,218,312,0.61749,0.72203
1985,2nd Quintile,Owner,No,0.33024,94,312,0.27797,0.38251
1985,2nd Quintile,Tenant,Yes,0.57395,391,730,0.53806,0.60985
1985,2nd Quintile,Tenant,No,0.42605,339,730,0.39015,0.46194
1985,3rd Quintile,Owner,Yes,0.77416,297,377,0.73189,0.81642
1985,3rd Quintile,Owner,No,0.22584,80,377,0.18358,0.26811
1985,3rd Quintile,Tenant,Yes,0.64491,395,686,0.60908,0.68075
1985,3rd Quintile,Tenant,No,0.35509,291,686,0.31925,0.39092
1985,4th Quintile,Owner,Yes,0.82706,348,419,0.79080,0.86332
1985,4th Quintile,Owner,No,0.17294,71,419,0.13668,0.20920
1985,4th Quintile,Tenant,Yes,0.68944,374,613,0.65278,0.72610
1985,4th Quintile,Tenant,No,0.31056,239,613,0.27390,0.34722
1985,5th Quintile,Owner,Yes,0.86659,432,487,0.83636,0.89682
1985,5th Quintile,Owner,No,0.13341,55,487,0.10318,0.16364
