year,bula_h,regtyp,hgeqpter,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,Schleswig-Holstein,No answer / don't know,Yes,0.69752,136,193,0.63254,0.76249
1984,Schleswig-Holstein,No answer / don't know,No,0.30248,57,193,0.23751,0.36746
1984,Hamburg,No answer / don't know,Yes,0.71691,108,163,0.64754,0.78628
1984,Hamburg,No answer / don't know,No,0.28309,55,163,0.21372,0.35246
1984,Lower Saxony,No answer / don't know,Yes,0.62512,361,585,0.58586,0.66438
1984,Lower Saxony,No answer / don't know,No,0.37488,224,585,0.33562,0.41414
1984,Bremen,No answer / don't know,Yes,0.85441,61,61,0.76516,0.94365
1984,North Rhine-Westphalia,No answer / don't know,Yes,0.61120,879,1567,0.58705,0.63534
1984,North Rhine-Westphalia,No answer / don't know,No,0.38880,688,1567,0.36466,0.41295
1984,Hesse,No answer / don't know,Yes,0.60421,321,573,0.56413,0.64428
1984,Hesse,No answer / don't know,No,0.39579,252,573,0.35572,0.43587
1984,"Rhineland-Palatinate, Saarland",No answer / don't know,Yes,0.63242,234,385,0.58420,0.68064
1984,"Rhineland-Palatinate, Saarland",No answer / don't know,No,0.36758,151,385,0.31936,0.41580
1984,Baden-Wuerttemberg,No answer / don't know,Yes,0.67331,614,1038,0.64476,0.70186
1984,Baden-Wuerttemberg,No answer / don't know,No,0.32669,424,1038,0.29814,0.35524
1984,Bavaria,No answer / don't know,Yes,0.72596,661,956,0.69767,0.75425
1984,Bavaria,No answer / don't know,No,0.27404,295,956,0.24575,0.30233
1984,Berlin,No answer / don't know,Yes,0.80449,171,222,0.75220,0.85678
1984,Berlin,No answer / don't know,No,0.19551,51,222,0.14322,0.24780
1985,Schleswig-Holstein,Urban regions,Yes,0.64285,55,86,0.54099,0.74472
1985,Schleswig-Holstein,Urban regions,No,0.35715,31,86,0.25528,0.45901
1985,Schleswig-Holstein,Rural regions,Yes,0.69095,65,65,0.57774,0.80417
1985,Hamburg,Urban regions,Yes,0.71790,102,154,0.64659,0.78921
1985,Hamburg,Urban regions,No,0.28210,52,154,0.21079,0.35341
1985,Lower Saxony,Urban regions,Yes,0.62836,154,245,0.56772,0.68900
1985,Lower Saxony,Urban regions,No,0.37164,91,245,0.31100,0.43228
1985,Lower Saxony,Rural regions,Yes,0.62646,170,270,0.56865,0.68426
1985,Lower Saxony,Rural regions,No,0.37354,100,270,0.31574,0.43135
1985,Bremen,Urban regions,Yes,0.85615,54,54,0.76167,0.95063
1985,North Rhine-Westphalia,Urban regions,Yes,0.60982,788,1372,0.58400,0.63564
1985,North Rhine-Westphalia,Urban regions,No,0.39018,584,1372,0.36436,0.41600
1985,Hesse,Urban regions,Yes,0.62291,257,450,0.57808,0.66774
