year,sampreg,hgeqpter,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,West,Yes,0.66131,3546,5757,0.64908,0.67353
1984,West,No,0.33869,2211,5757,0.32647,0.35092
1985,West,Yes,0.66429,3248,5165,0.65140,0.67717
1985,West,No,0.33571,1917,5165,0.32283,0.34860
1986,West,Yes,0.67468,3155,4923,0.66159,0.68777
1986,West,No,0.32532,1768,4923,0.31223,0.33841
1987,West,Yes,0.67702,3144,4862,0.66388,0.69017
1987,West,No,0.32298,1718,4862,0.30983,0.33612
1988,West,Yes,0.68753,3048,4660,0.67422,0.70084
1988,West,No,0.31247,1612,4660,0.29916,0.32578
1989,West,Yes,0.68966,2977,4538,0.67620,0.70312
1989,West,No,0.31034,1561,4538,0.29688,0.32380
1990,West,Yes,0.69326,2942,4474,0.67974,0.70677
1990,West,No,0.30674,1532,4474,0.29323,0.32026
1991,West,Yes,0.70403,3093,4618,0.69087,0.71720
1991,West,No,0.29597,1525,4618,0.28280,0.30913
1991,East,Yes,0.39781,837,1939,0.37602,0.41960
1991,East,No,0.60219,1102,1939,0.58040,0.62398
1992,West,Yes,0.71581,3110,4582,0.70274,0.72887
1992,West,No,0.28419,1472,4582,0.27113,0.29726
1992,East,Yes,0.43067,835,1850,0.40810,0.45324
1992,East,No,0.56933,1015,1850,0.54676,0.59190
1993,West,Yes,0.71718,3109,4575,0.70413,0.73023
1993,West,No,0.28282,1466,4575,0.26977,0.29587
1993,East,Yes,0.43526,809,1786,0.41226,0.45826
1993,East,No,0.56474,977,1786,0.54174,0.58774
1994,West,Yes,0.72267,3113,4506,0.70960,0.73574
1994,West,No,0.27733,1393,4506,0.26426,0.29040
1994,East,Yes,0.44104,811,1762,0.41785,0.46423
1994,East,No,0.55896,951,1762,0.53577,0.58215
1995,West,Yes,0.73553,3319,4725,0.72296,0.74811
1995,West,No,0.26447,1406,4725,0.25189,0.27704
1995,East,Yes,0.45919,820,1722,0.43564,0.48273
1995,East,No,0.54081,902,1722,0.51727,0.56436
1996,West,Yes,0.74420,3320,4653,0.73166,0.75674
1996,West,No,0.25580,1333,4653,0.24326,0.26834
1996,East,Yes,0.47968,864,1731,0.45613,0.50322
1996,East,No,0.52032,867,1731,0.49678,0.54387
1997,West,Yes,0.75518,3326,4580,0.74272,0.76763
1997,West,No,0.24482,1254,4580,0.23237,0.25728
1997,East,Yes,0.48754,875,1718,0.46390,0.51119
1997,East,No,0.51246,843,1718,0.48881,0.53610
1998,West,Yes,0.76082,4054,5429,0.74947,0.77217
1998,West,No,0.23918,1375,5429,0.22783,0.25053
1998,East,Yes,0.51228,1031,1933,0.48999,0.53457
1998,East,No,0.48772,902,1933,0.46543,0.51001
1999,West,Yes,0.76749,3905,5164,0.75597,0.77901
1999,West,No,0.23251,1259,5164,0.22099,0.24403
1999,East,Yes,0.53046,1036,1893,0.50797,0.55295
1999,East,No,0.46954,857,1893,0.44705,0.49203
2000,West,Yes,0.77147,7602,9764,0.76314,0.77980
