year,migback,sex,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
1984,No migration background,male,2695,43.75721,43.35254,44.16188,40.00000,40.00000,48.00000,28.00000,60.00000,40.0,40.00000,40.00000
1984,No migration background,female,1694,33.96767,33.31627,34.61908,24.00000,40.00000,40.00000,1.0,64.00000,40.0,40.00000,40.00000
1984,Direct migration background,male,1362,42.04090,41.58326,42.49855,40.00000,40.00000,44.00000,34.00000,50.00000,40.0,40.00000,40.00000
1984,Direct migration background,female,701,33.65188,32.80441,34.49934,25.00000,40.00000,40.00000,2.50000,62.50000,40.0,40.00000,40.00000
1984,Indirect migration background,male,30,43.37982,41.01751,45.74213,40.00000,40.00000,43.60012,40.0,49.00031,40.0,40.00000,43.00000
1984,Indirect migration background,female,,,,,,,,,,,,
1985,No migration background,male,2528,43.52429,43.08743,43.96115,40.00000,42.00000,48.00000,28.00000,60.00000,42.0,41.00000,42.00000
1985,No migration background,female,1662,33.69840,33.04888,34.34792,22.00000,40.00000,41.00000,1.0,69.50000,40.0,40.00000,40.00000
1985,Direct migration background,male,1138,42.18889,41.60868,42.76911,40.00000,40.00000,45.00000,32.50000,52.50000,40.0,40.00000,40.00000
1985,Direct migration background,female,578,34.57094,33.59142,35.55045,26.00000,40.00000,40.00000,5.00000,61.00000,40.0,40.00000,40.00000
1985,Indirect migration background,male,33,44.32850,41.62562,47.03139,40.00000,40.00000,46.81850,29.77225,57.04626,40.0,40.00000,45.00000
1985,Indirect migration background,female,,,,,,,,,,,,
1986,No migration background,male,2394,43.86393,43.43653,44.29134,40.00000,42.00000,48.00000,28.00000,60.00000,42.0,41.00000,42.00000
1986,No migration background,female,1609,34.61085,33.96590,35.25580,25.00000,40.00000,41.00000,1.00000,65.00000,40.0,40.00000,40.00000
1986,Direct migration background,male,1129,41.67743,41.09832,42.25654,40.00000,40.00000,44.00000,34.00000,50.00000,40.0,40.00000,40.00000
1986,Direct migration background,female,567,34.16346,33.20178,35.12515,26.00000,40.00000,40.00000,5.00000,61.00000,40.0,39.00000,40.00000
1986,Indirect migration background,male,45,44.96277,41.77229,48.15324,40.00000,40.00000,51.49598,22.75604,68.73994,40.0,40.00000,55.00000
