year,sampreg,doctoryn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,West,Yes,0.58727,8278,12164,0.57852,0.59602
1984,West,No,0.23901,3886,12164,0.23143,0.24659
1985,West,Yes,0.60220,7598,11026,0.59306,0.61133
1985,West,No,0.23643,3428,11026,0.22850,0.24436
1986,West,Yes,0.61608,7459,10583,0.60681,0.62535
1986,West,No,0.22140,3124,10583,0.21349,0.22931
1987,West,Yes,0.61022,7278,10452,0.60087,0.61957
1987,West,No,0.22486,3174,10452,0.21686,0.23287
1988,West,Yes,0.57084,6533,9935,0.56111,0.58057
1988,West,No,0.26169,3402,9935,0.25305,0.27034
1989,West,Yes,0.58178,6444,9627,0.57193,0.59163
1989,West,No,0.25197,3183,9627,0.24330,0.26064
1991,West,Yes,0.59356,6482,9388,0.58363,0.60350
1991,West,No,0.23022,2906,9388,0.22170,0.23874
1991,East,Yes,0.49051,2428,4125,0.47525,0.50576
1991,East,No,0.31399,1697,4125,0.29983,0.32816
1992,West,Yes,0.57444,6238,9213,0.56434,0.58453
1992,West,No,0.24165,2975,9213,0.23291,0.25039
1992,East,Yes,0.55511,2627,3943,0.53960,0.57062
1992,East,No,0.25154,1316,3943,0.23800,0.26509
1994,West,Yes,0.62900,6705,9045,0.61904,0.63895
1994,West,No,0.18826,2340,9045,0.18021,0.19632
1994,East,Yes,0.66209,3027,3761,0.64697,0.67720
1994,East,No,0.15382,734,3761,0.14229,0.16535
1995,West,Yes,0.57967,6509,9516,0.56975,0.58958
1995,West,No,0.23222,3007,9516,0.22374,0.24071
1995,East,Yes,0.60790,2640,3661,0.59208,0.62371
1995,East,No,0.20850,1021,3661,0.19534,0.22166
1996,West,Yes,0.58067,6426,9241,0.57060,0.59073
1996,West,No,0.22637,2815,9241,0.21784,0.23490
1996,East,Yes,0.59412,2569,3654,0.57820,0.61005
1996,East,No,0.22721,1085,3654,0.21362,0.24080
1997,West,Yes,0.57268,6190,9154,0.56254,0.58281
1997,West,No,0.24440,2964,9154,0.23559,0.25320
1997,East,Yes,0.61525,2562,3622,0.59941,0.63110
1997,East,No,0.21812,1060,3622,0.20467,0.23157
1998,West,Yes,0.55299,6788,10280,0.54337,0.56260
1998,West,No,0.26125,3492,10280,0.25276,0.26974
1998,East,Yes,0.58885,2642,3849,0.57330,0.60439
1998,East,No,0.24503,1207,3849,0.23144,0.25862
1999,West,Yes,0.57777,6775,9837,0.56801,0.58753
1999,West,No,0.24107,3062,9837,0.23262,0.24953
1999,East,Yes,0.61640,2728,3775,0.60088,0.63191
1999,East,No,0.22737,1047,3775,0.21400,0.24074
2000,West,Yes,0.55636,12180,18190,0.54914,0.56358
2000,West,No,0.26283,6010,18190,0.25644,0.26923
2000,East,Yes,0.60485,4108,5822,0.59229,0.61741
2000,East,No,0.23993,1714,5822,0.22896,0.25090
2001,West,Yes,0.56341,11146,16426,0.55583,0.57100
2001,West,No,0.25504,5280,16426,0.24837,0.26170
2001,East,Yes,0.62040,3893,5411,0.60747,0.63334
2001,East,No,0.23282,1518,5411,0.22156,0.24409
2002,West,Yes,0.55153,11746,17541,0.54417,0.55889
2002,West,No,0.26848,5795,17541,0.26193,0.27504
2002,East,Yes,0.61668,3800,5419,0.60373,0.62962
2002,East,No,0.24617,1619,5419,0.23470,0.25764
2003,West,Yes,0.56636,11464,16726,0.55885,0.57387
2003,West,No,0.25225,5262,16726,0.24567,0.25883
2003,East,Yes,0.62912,3827,5322,0.61614,0.64210
2003,East,No,0.23545,1495,5322,0.22405,0.24685
2004,West,Yes,0.55917,10881,16324,0.55156,0.56679
2004,West,No,0.26563,5443,16324,0.25886,0.27241
2004,East,Yes,0.62900,3707,5208,0.61587,0.64212
2004,East,No,0.24035,1501,5208,0.22875,0.25196
2005,West,Yes,0.57402,10720,15589,0.56626,0.58178
2005,West,No,0.25467,4869,15589,0.24783,0.26151
2005,East,Yes,0.61630,3541,5007,0.60283,0.62977
2005,East,No,0.24754,1466,5007,0.23558,0.25949
2006,West,Yes,0.56479,11360,16658,0.55726,0.57232
2006,West,No,0.25968,5298,16658,0.25302,0.26633
2006,East,Yes,0.59607,3647,5265,0.58281,0.60932
2006,East,No,0.26865,1618,5265,0.25668,0.28063
2007,West,Yes,0.57673,10834,15427,0.56893,0.58453
2007,West,No,0.24458,4593,15427,0.23779,0.25136
2007,East,Yes,0.61781,3542,4988,0.60432,0.63129
2007,East,No,0.25223,1446,4988,0.24018,0.26429
2008,West,Yes,0.58150,10228,14482,0.57346,0.58953
2008,West,No,0.24513,4254,14482,0.23812,0.25214
2008,East,Yes,0.61457,3360,4745,0.60072,0.62842
2008,East,No,0.25442,1385,4745,0.24203,0.26682
2009,West,Yes,0.59308,9714,13413,0.58476,0.60139
2009,West,No,0.24024,3699,13413,0.23301,0.24747
2009,East,Yes,0.62706,3297,4522,0.61296,0.64116
2009,East,No,0.23834,1225,4522,0.22592,0.25076
2010,West,Yes,0.58273,12569,18387,0.57560,0.58985
2010,West,No,0.24766,5818,18387,0.24142,0.25390
2010,East,Yes,0.64224,3833,5431,0.62949,0.65499
2010,East,No,0.22657,1598,5431,0.21543,0.23770
2011,West,Yes,0.59239,15466,22012,0.58589,0.59888
2011,West,No,0.23654,6546,22012,0.23092,0.24215
2011,East,Yes,0.64282,4524,6300,0.63099,0.65466
2011,East,No,0.21991,1776,6300,0.20968,0.23014
2012,West,Yes,0.59170,15097,21391,0.58512,0.59829
2012,West,No,0.23922,6294,21391,0.23350,0.24494
2012,East,Yes,0.62733,4399,6140,0.61523,0.63942
2012,East,No,0.23115,1741,6140,0.22061,0.24170
2013,West,Yes,0.56403,14460,19922,0.55714,0.57092
2013,West,No,0.19019,5462,19922,0.18474,0.19564
2013,East,Yes,0.62049,4191,5723,0.60792,0.63306
2013,East,No,0.22000,1532,5723,0.20927,0.23074
2014,West,Yes,0.59481,14930,21422,0.58824,0.60139
2014,West,No,0.24213,6492,21422,0.23640,0.24787
2014,East,Yes,0.63407,4025,5558,0.62141,0.64674
2014,East,No,0.22120,1533,5558,0.21029,0.23211
2015,West,Yes,0.58883,13820,19729,0.58197,0.59570
2015,West,No,0.22814,5909,19729,0.22228,0.23399
2015,East,Yes,0.61058,3786,5231,0.59737,0.62380
2015,East,No,0.22979,1445,5231,0.21839,0.24120
