year,age_gr,sampreg,doctoryn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,17-29 y.,West,Yes,0.63884,2127,3435,0.62277,0.65490
1984,17-29 y.,West,No,0.35986,1308,3435,0.34381,0.37591
1984,30-45 y.,West,Yes,0.64426,2483,3906,0.62924,0.65927
1984,30-45 y.,West,No,0.35574,1423,3906,0.34073,0.37076
1984,46-65 y.,West,Yes,0.74974,2598,3556,0.73550,0.76398
1984,46-65 y.,West,No,0.25026,958,3556,0.23602,0.26450
1984,66 and older,West,Yes,0.84488,1070,1267,0.82494,0.86482
1984,66 and older,West,No,0.15512,197,1267,0.13518,0.17506
1985,17-29 y.,West,Yes,0.65567,1977,3140,0.63905,0.67230
1985,17-29 y.,West,No,0.34433,1163,3140,0.32770,0.36095
1985,30-45 y.,West,Yes,0.64004,2213,3475,0.62408,0.65600
1985,30-45 y.,West,No,0.35996,1262,3475,0.34400,0.37592
1985,46-65 y.,West,Yes,0.75449,2459,3304,0.73982,0.76917
1985,46-65 y.,West,No,0.24551,845,3304,0.23083,0.26018
1985,66 and older,West,Yes,0.85854,949,1107,0.83801,0.87908
1985,66 and older,West,No,0.14146,158,1107,0.12092,0.16199
1986,17-29 y.,West,Yes,0.68220,1970,3054,0.66568,0.69872
1986,17-29 y.,West,No,0.31765,1084,3054,0.30114,0.33417
1986,30-45 y.,West,Yes,0.66525,2162,3270,0.64907,0.68142
1986,30-45 y.,West,No,0.33475,1108,3270,0.31858,0.35093
1986,46-65 y.,West,Yes,0.76494,2441,3228,0.75031,0.77957
1986,46-65 y.,West,No,0.23506,787,3228,0.22043,0.24969
1986,66 and older,West,Yes,0.86256,886,1031,0.84153,0.88358
1986,66 and older,West,No,0.13744,145,1031,0.11642,0.15847
1987,17-29 y.,West,Yes,0.67223,1920,3008,0.65545,0.68901
1987,17-29 y.,West,No,0.32702,1088,3008,0.31026,0.34379
1987,30-45 y.,West,Yes,0.64367,2041,3168,0.62699,0.66035
1987,30-45 y.,West,No,0.35633,1127,3168,0.33965,0.37301
1987,46-65 y.,West,Yes,0.76527,2395,3208,0.75060,0.77994
1987,46-65 y.,West,No,0.23473,813,3208,0.22006,0.24940
1987,66 and older,West,Yes,0.87077,922,1068,0.85064,0.89090
1987,66 and older,West,No,0.12923,146,1068,0.10910,0.14936
1988,17-29 y.,West,Yes,0.60694,1663,2864,0.58904,0.62483
1988,17-29 y.,West,No,0.39174,1201,2864,0.37386,0.40962
1988,30-45 y.,West,Yes,0.60058,1771,2942,0.58288,0.61828
1988,30-45 y.,West,No,0.39656,1171,2942,0.37888,0.41424
1988,46-65 y.,West,Yes,0.71111,2226,3099,0.69515,0.72707
1988,46-65 y.,West,No,0.28410,873,3099,0.26822,0.29998
1988,66 and older,West,Yes,0.85222,873,1030,0.83054,0.87390
1988,66 and older,West,No,0.14345,157,1030,0.12203,0.16486
1989,17-29 y.,West,Yes,0.63370,1730,2818,0.61590,0.65149
1989,17-29 y.,West,No,0.36425,1088,2818,0.34647,0.38202
1989,30-45 y.,West,Yes,0.60264,1742,2832,0.58461,0.62066
1989,30-45 y.,West,No,0.39372,1090,2832,0.37572,0.41172
1989,46-65 y.,West,Yes,0.72732,2115,2971,0.71130,0.74333
1989,46-65 y.,West,No,0.26859,856,2971,0.25265,0.28453
1989,66 and older,West,Yes,0.85484,857,1006,0.83306,0.87662
1989,66 and older,West,No,0.14019,149,1006,0.11873,0.16166
1991,17-29 y.,West,Yes,0.66328,1707,2695,0.64543,0.68113
1991,17-29 y.,West,No,0.33216,988,2695,0.31437,0.34994
1991,17-29 y.,East,Yes,0.53757,524,981,0.50636,0.56879
1991,17-29 y.,East,No,0.45897,457,981,0.42777,0.49017
1991,30-45 y.,West,Yes,0.62635,1758,2813,0.60847,0.64423
1991,30-45 y.,West,No,0.37044,1055,2813,0.35259,0.38829
1991,30-45 y.,East,Yes,0.50544,767,1484,0.47999,0.53088
1991,30-45 y.,East,No,0.49121,717,1484,0.46576,0.51665
1991,46-65 y.,West,Yes,0.74902,2103,2831,0.73304,0.76499
1991,46-65 y.,West,No,0.24309,728,2831,0.22729,0.25890
1991,46-65 y.,East,Yes,0.64978,823,1270,0.62353,0.67602
1991,46-65 y.,East,No,0.34523,447,1270,0.31907,0.37139
1991,66 and older,West,Yes,0.86599,914,1049,0.84537,0.88662
1991,66 and older,West,No,0.12900,135,1049,0.10870,0.14929
1991,66 and older,East,Yes,0.80161,314,390,0.76199,0.84124
1991,66 and older,East,No,0.19465,76,390,0.15530,0.23399
1992,17-29 y.,West,Yes,0.61772,1572,2640,0.59918,0.63626
1992,17-29 y.,West,No,0.37556,1068,2640,0.35708,0.39403
1992,17-29 y.,East,Yes,0.59512,546,909,0.56319,0.62704
1992,17-29 y.,East,No,0.39804,363,909,0.36620,0.42988
1992,30-45 y.,West,Yes,0.63168,1787,2788,0.61377,0.64958
1992,30-45 y.,West,No,0.35799,1001,2788,0.34020,0.37579
1992,30-45 y.,East,Yes,0.60522,865,1424,0.57982,0.63061
1992,30-45 y.,East,No,0.38667,559,1424,0.36137,0.41197
1992,46-65 y.,West,Yes,0.72076,1991,2745,0.70397,0.73755
1992,46-65 y.,West,No,0.26250,754,2745,0.24604,0.27896
1992,46-65 y.,East,Yes,0.71966,880,1223,0.69448,0.74485
1992,46-65 y.,East,No,0.27028,343,1223,0.24538,0.29518
1992,66 and older,West,Yes,0.84138,888,1040,0.81916,0.86359
1992,66 and older,West,No,0.14164,152,1040,0.12044,0.16284
1992,66 and older,East,Yes,0.86165,336,387,0.82721,0.89610
1992,66 and older,East,No,0.12866,51,387,0.09526,0.16207
1994,17-29 y.,West,Yes,0.69978,1676,2490,0.68177,0.71779
1994,17-29 y.,West,No,0.29780,814,2490,0.27984,0.31577
1994,17-29 y.,East,Yes,0.75070,636,843,0.72148,0.77992
1994,17-29 y.,East,No,0.24741,207,843,0.21826,0.27655
1994,30-45 y.,West,Yes,0.70694,1951,2788,0.69004,0.72384
1994,30-45 y.,West,No,0.28535,837,2788,0.26859,0.30212
1994,30-45 y.,East,Yes,0.75703,1030,1336,0.73403,0.78004
1994,30-45 y.,East,No,0.23867,306,1336,0.21580,0.26153
1994,46-65 y.,West,Yes,0.78280,2103,2681,0.76719,0.79841
1994,46-65 y.,West,No,0.20750,578,2681,0.19215,0.22285
1994,46-65 y.,East,Yes,0.83036,990,1185,0.80898,0.85174
1994,46-65 y.,East,No,0.16624,195,1185,0.14503,0.18744
1994,66 and older,West,Yes,0.89075,975,1086,0.87219,0.90931
1994,66 and older,West,No,0.10064,111,1086,0.08274,0.11854
1994,66 and older,East,Yes,0.93132,371,371,0.90555,0.95709
1995,17-29 y.,West,Yes,0.61285,1509,2506,0.59378,0.63193
1995,17-29 y.,West,No,0.37639,997,2506,0.35742,0.39536
1995,17-29 y.,East,Yes,0.65966,547,827,0.62735,0.69198
1995,17-29 y.,East,No,0.33252,280,827,0.30039,0.36465
1995,30-45 y.,West,Yes,0.63185,1979,3138,0.61497,0.64873
1995,30-45 y.,West,No,0.36150,1159,3138,0.34469,0.37832
1995,30-45 y.,East,Yes,0.66367,841,1273,0.63771,0.68964
1995,30-45 y.,East,No,0.32750,432,1273,0.30171,0.35329
1995,46-65 y.,West,Yes,0.73442,2043,2767,0.71796,0.75088
1995,46-65 y.,West,No,0.25348,724,2767,0.23727,0.26970
1995,46-65 y.,East,Yes,0.76793,889,1164,0.74366,0.79219
1995,46-65 y.,East,No,0.22296,275,1164,0.19904,0.24689
1995,66 and older,West,Yes,0.87635,978,1105,0.85693,0.89577
1995,66 and older,West,No,0.10797,127,1105,0.08967,0.12628
1995,66 and older,East,Yes,0.88620,363,397,0.85492,0.91748
1995,66 and older,East,No,0.09684,34,397,0.06771,0.12597
