year,regtyp,doctoryn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,Urban regions,Yes,0.60184,5917,8659,0.59152,0.61215
1985,Urban regions,No,0.24042,2742,8659,0.23142,0.24942
1985,Rural regions,Yes,0.60328,1681,2367,0.58357,0.62300
1985,Rural regions,No,0.22446,686,2367,0.20765,0.24128
1986,Urban regions,Yes,0.61916,5845,8328,0.60873,0.62959
1986,Urban regions,No,0.22275,2483,8328,0.21381,0.23169
1986,Rural regions,Yes,0.60672,1614,2255,0.58656,0.62689
1986,Rural regions,No,0.21729,641,2255,0.20026,0.23431
1987,Urban regions,Yes,0.61384,5703,8228,0.60332,0.62436
1987,Urban regions,No,0.22730,2525,8228,0.21825,0.23636
1987,Rural regions,Yes,0.59912,1575,2224,0.57875,0.61949
1987,Rural regions,No,0.21737,649,2224,0.20022,0.23451
1988,Urban regions,Yes,0.57467,5171,7863,0.56374,0.58560
1988,Urban regions,No,0.26398,2692,7863,0.25423,0.27372
1988,Rural regions,Yes,0.55886,1362,2072,0.53747,0.58024
1988,Rural regions,No,0.25455,710,2072,0.23579,0.27331
1989,Urban regions,Yes,0.58257,5100,7658,0.57152,0.59362
1989,Urban regions,No,0.25685,2558,7658,0.24706,0.26663
1989,Rural regions,Yes,0.57923,1344,1969,0.55742,0.60104
1989,Rural regions,No,0.23623,625,1969,0.21746,0.25500
1991,Urban regions,Yes,0.58512,5893,8718,0.57477,0.59546
1991,Urban regions,No,0.23892,2825,8718,0.22997,0.24788
1991,Rural regions,Yes,0.54707,2967,4706,0.53285,0.56130
1991,Rural regions,No,0.26517,1739,4706,0.25255,0.27778
1992,Urban regions,Yes,0.57991,5805,8531,0.56943,0.59038
1992,Urban regions,No,0.23744,2726,8531,0.22841,0.24648
1992,Rural regions,Yes,0.55309,2991,4508,0.53858,0.56761
1992,Rural regions,No,0.25590,1517,4508,0.24316,0.26864
1994,Urban regions,Yes,0.63234,6315,8412,0.62204,0.64265
1994,Urban regions,No,0.18828,2097,8412,0.17992,0.19663
1994,Rural regions,Yes,0.64264,3417,4394,0.62847,0.65681
1994,Rural regions,No,0.16643,977,4394,0.15542,0.17745
1995,Urban regions,Yes,0.58722,6022,8648,0.57684,0.59759
1995,Urban regions,No,0.23066,2626,8648,0.22178,0.23954
1995,Rural regions,Yes,0.58066,3127,4529,0.56628,0.59503
1995,Rural regions,No,0.22125,1402,4529,0.20916,0.23334
1996,Urban regions,Yes,0.58622,5885,8441,0.57571,0.59673
1996,Urban regions,No,0.22829,2556,8441,0.21934,0.23725
1996,Rural regions,Yes,0.57665,3110,4454,0.56214,0.59116
1996,Rural regions,No,0.22268,1344,4454,0.21046,0.23490
1997,Urban regions,Yes,0.58138,5681,8331,0.57079,0.59197
1997,Urban regions,No,0.24204,2650,8331,0.23284,0.25124
1997,Rural regions,Yes,0.57935,3071,4444,0.56484,0.59387
1997,Rural regions,No,0.23354,1373,4444,0.22110,0.24598
1998,Urban regions,Yes,0.56132,6115,9185,0.55117,0.57147
1998,Urban regions,No,0.26009,3070,9185,0.25111,0.26906
1998,Rural regions,Yes,0.55647,3315,4944,0.54262,0.57032
1998,Rural regions,No,0.25406,1629,4944,0.24192,0.26620
1999,Urban regions,Yes,0.58508,6099,8826,0.57480,0.59536
1999,Urban regions,No,0.24187,2727,8826,0.23294,0.25081
1999,Rural regions,Yes,0.58458,3404,4786,0.57062,0.59855
1999,Rural regions,No,0.23126,1382,4786,0.21932,0.24321
2000,Urban regions,Yes,0.56290,10554,15638,0.55513,0.57068
2000,Urban regions,No,0.26233,5084,15638,0.25544,0.26923
2000,Rural regions,Yes,0.57072,5734,8374,0.56012,0.58132
2000,Rural regions,No,0.25055,2640,8374,0.24127,0.25983
2001,Urban regions,Yes,0.57211,9750,14242,0.56399,0.58024
2001,Urban regions,No,0.25207,4492,14242,0.24494,0.25920
2001,Rural regions,Yes,0.57756,5289,7595,0.56645,0.58867
2001,Rural regions,No,0.24862,2306,7595,0.23890,0.25834
2002,Urban regions,Yes,0.56342,10297,15223,0.55554,0.57130
2002,Urban regions,No,0.26429,4926,15223,0.25729,0.27130
2002,Rural regions,Yes,0.56335,5249,7737,0.55230,0.57440
2002,Rural regions,No,0.26469,2488,7737,0.25486,0.27452
2003,Urban regions,Yes,0.57436,10162,14640,0.56635,0.58237
2003,Urban regions,No,0.25008,4478,14640,0.24307,0.25710
2003,Rural regions,Yes,0.58498,5129,7408,0.57376,0.59620
2003,Rural regions,No,0.24732,2279,7408,0.23749,0.25714
2004,Urban regions,Yes,0.56988,9683,14300,0.56176,0.57799
