year,bula_h,doctoryn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,Schleswig-Holstein,Yes,0.59322,272,386,0.54415,0.64229
1984,Schleswig-Holstein,No,0.22235,114,386,0.18082,0.26389
1984,Hamburg,Yes,0.66265,207,309,0.60985,0.71546
1984,Hamburg,No,0.23246,102,309,0.18528,0.27963
1984,Lower Saxony,Yes,0.57826,840,1234,0.55069,0.60582
1984,Lower Saxony,No,0.24821,394,1234,0.22410,0.27232
1984,Bremen,Yes,0.61470,87,132,0.53136,0.69804
1984,Bremen,No,0.29491,45,132,0.21682,0.37300
1984,North Rhine-Westphalia,Yes,0.57710,2196,3254,0.56012,0.59407
1984,North Rhine-Westphalia,No,0.23920,1058,3254,0.22454,0.25386
1984,Hesse,Yes,0.60684,844,1247,0.57972,0.63396
1984,Hesse,No,0.24215,403,1247,0.21836,0.26594
1984,"Rhineland-Palatinate, Saarland",Yes,0.59466,580,851,0.56165,0.62767
1984,"Rhineland-Palatinate, Saarland",No,0.25339,271,851,0.22415,0.28263
1984,Baden-Wuerttemberg,Yes,0.57604,1520,2252,0.55562,0.59645
1984,Baden-Wuerttemberg,No,0.22723,732,2252,0.20992,0.24454
1984,Bavaria,Yes,0.58856,1452,2091,0.56746,0.60965
1984,Bavaria,No,0.23799,639,2091,0.21974,0.25625
1984,Berlin,Yes,0.60383,280,408,0.55631,0.65134
1984,Berlin,No,0.23152,128,408,0.19054,0.27250
1985,Schleswig-Holstein,Yes,0.61252,250,353,0.56162,0.66341
1985,Schleswig-Holstein,No,0.21280,103,353,0.17004,0.25555
1985,Hamburg,Yes,0.65484,204,280,0.59905,0.71063
1985,Hamburg,No,0.25351,76,280,0.20247,0.30456
1985,Lower Saxony,Yes,0.63189,791,1107,0.60346,0.66031
1985,Lower Saxony,No,0.21338,316,1107,0.18923,0.23752
1985,Bremen,Yes,0.73491,86,86,0.64107,0.82874
1985,North Rhine-Westphalia,Yes,0.57860,1982,2961,0.56082,0.59639
1985,North Rhine-Westphalia,No,0.24912,979,2961,0.23354,0.26470
1985,Hesse,Yes,0.61792,776,1134,0.58963,0.64622
1985,Hesse,No,0.24142,358,1134,0.21650,0.26633
1985,"Rhineland-Palatinate, Saarland",Yes,0.58093,514,772,0.54610,0.61575
1985,"Rhineland-Palatinate, Saarland",No,0.27573,258,772,0.24419,0.30727
1985,Baden-Wuerttemberg,Yes,0.57661,1379,2041,0.55516,0.59805
1985,Baden-Wuerttemberg,No,0.24056,662,2041,0.22201,0.25910
1985,Bavaria,Yes,0.62199,1366,1897,0.60016,0.64381
1985,Bavaria,No,0.21492,531,1897,0.19643,0.23341
1985,Berlin,Yes,0.60515,250,365,0.55494,0.65537
1985,Berlin,No,0.24628,115,365,0.20202,0.29054
1986,Schleswig-Holstein,Yes,0.63787,238,323,0.58537,0.69036
1986,Schleswig-Holstein,No,0.19065,85,323,0.14775,0.23356
1986,Hamburg,Yes,0.69785,191,256,0.64149,0.75421
1986,Hamburg,No,0.21363,65,256,0.16332,0.26394
1986,Lower Saxony,Yes,0.63205,790,1108,0.60365,0.66046
1986,Lower Saxony,No,0.21508,318,1108,0.19088,0.23929
1986,Bremen,Yes,0.68880,77,109,0.60148,0.77612
1986,Bremen,No,0.23704,32,109,0.15683,0.31724
1986,North Rhine-Westphalia,Yes,0.59235,1949,2857,0.57433,0.61038
1986,North Rhine-Westphalia,No,0.23304,908,2857,0.21753,0.24854
1986,Hesse,Yes,0.65161,754,1049,0.62276,0.68045
1986,Hesse,No,0.19956,295,1049,0.17536,0.22376
1986,"Rhineland-Palatinate, Saarland",Yes,0.60750,532,769,0.57296,0.64203
1986,"Rhineland-Palatinate, Saarland",No,0.24865,237,769,0.21808,0.27922
1986,Baden-Wuerttemberg,Yes,0.56713,1344,1987,0.54533,0.58892
1986,Baden-Wuerttemberg,No,0.25444,643,1987,0.23528,0.27359
1986,Bavaria,Yes,0.64425,1327,1773,0.62196,0.66654
1986,Bavaria,No,0.18876,446,1773,0.17054,0.20698
1986,Berlin,Yes,0.64274,257,352,0.59261,0.69287
1986,Berlin,No,0.21084,95,352,0.16817,0.25351
1987,Schleswig-Holstein,Yes,0.64205,244,326,0.58993,0.69417
1987,Schleswig-Holstein,No,0.17569,82,326,0.13432,0.21707
1987,Hamburg,Yes,0.65653,161,226,0.59448,0.71858
1987,Hamburg,No,0.24396,65,226,0.18785,0.30008
1987,Lower Saxony,Yes,0.63280,796,1105,0.60436,0.66123
1987,Lower Saxony,No,0.21269,309,1105,0.18855,0.23683
1987,Bremen,Yes,0.74797,75,75,0.64905,0.84690
1987,North Rhine-Westphalia,Yes,0.59254,1911,2826,0.57442,0.61066
1987,North Rhine-Westphalia,No,0.23372,915,2826,0.21811,0.24932
1987,Hesse,Yes,0.61965,732,1056,0.59035,0.64894
1987,Hesse,No,0.22935,324,1056,0.20398,0.25472
1987,"Rhineland-Palatinate, Saarland",Yes,0.64166,553,766,0.60768,0.67564
1987,"Rhineland-Palatinate, Saarland",No,0.21641,213,766,0.18723,0.24560
1987,Baden-Wuerttemberg,Yes,0.56683,1320,1961,0.54489,0.58877
1987,Baden-Wuerttemberg,No,0.24796,641,1961,0.22884,0.26707
1987,Bavaria,Yes,0.61318,1223,1723,0.59018,0.63619
1987,Bavaria,No,0.21588,500,1723,0.19644,0.23531
1987,Berlin,Yes,0.65758,263,362,0.60863,0.70653
1987,Berlin,No,0.20489,99,362,0.16325,0.24653
1988,Schleswig-Holstein,Yes,0.55058,220,321,0.49608,0.60509
1988,Schleswig-Holstein,No,0.24133,101,321,0.19445,0.28822
1988,Hamburg,Yes,0.57754,129,201,0.50908,0.64600
1988,Hamburg,No,0.33002,72,201,0.26485,0.39519
1988,Lower Saxony,Yes,0.59329,711,1048,0.56353,0.62304
1988,Lower Saxony,No,0.25387,337,1048,0.22751,0.28024
1988,Bremen,Yes,0.68936,71,71,0.58095,0.79776
1988,North Rhine-Westphalia,Yes,0.55827,1723,2682,0.53948,0.57707
1988,North Rhine-Westphalia,No,0.26766,959,2682,0.25090,0.28442
1988,Hesse,Yes,0.57193,653,1000,0.54125,0.60261
1988,Hesse,No,0.26136,347,1000,0.23412,0.28861
1988,"Rhineland-Palatinate, Saarland",Yes,0.57109,468,734,0.53526,0.60692
1988,"Rhineland-Palatinate, Saarland",No,0.28573,266,734,0.25302,0.31843
1988,Baden-Wuerttemberg,Yes,0.54203,1198,1880,0.51950,0.56456
1988,Baden-Wuerttemberg,No,0.27661,682,1880,0.25638,0.29683
1988,Bavaria,Yes,0.59046,1128,1636,0.56662,0.61429
1988,Bavaria,No,0.23627,508,1636,0.21568,0.25686
1988,Berlin,Yes,0.60578,232,333,0.55321,0.65835
1988,Berlin,No,0.25475,101,333,0.20788,0.30162
1989,Schleswig-Holstein,Yes,0.57427,213,298,0.51804,0.63051
1989,Schleswig-Holstein,No,0.19673,85,298,0.15152,0.24194
1989,Hamburg,Yes,0.63789,135,196,0.57044,0.70535
1989,Hamburg,No,0.26617,61,196,0.20413,0.32820
1989,Lower Saxony,Yes,0.61113,695,993,0.58079,0.64147
1989,Lower Saxony,No,0.23910,298,993,0.21256,0.26564
1989,Bremen,Yes,0.63906,74,107,0.54763,0.73049
1989,Bremen,No,0.21890,33,107,0.14018,0.29761
1989,North Rhine-Westphalia,Yes,0.56681,1698,2606,0.54778,0.58583
1989,North Rhine-Westphalia,No,0.26235,908,2606,0.24545,0.27924
1989,Hesse,Yes,0.60450,668,994,0.57409,0.63491
1989,Hesse,No,0.23350,326,994,0.20719,0.25981
1989,"Rhineland-Palatinate, Saarland",Yes,0.59987,469,691,0.56331,0.63642
1989,"Rhineland-Palatinate, Saarland",No,0.26099,222,691,0.22822,0.29376
1989,Baden-Wuerttemberg,Yes,0.54860,1168,1811,0.52568,0.57153
1989,Baden-Wuerttemberg,No,0.27149,643,1811,0.25101,0.29198
1989,Bavaria,Yes,0.58765,1094,1605,0.56356,0.61174
1989,Bavaria,No,0.24390,511,1605,0.22288,0.26491
1989,Berlin,Yes,0.58796,230,326,0.53444,0.64147
1989,Berlin,No,0.26863,96,326,0.22044,0.31682
1991,Schleswig-Holstein,Yes,0.57073,214,294,0.51405,0.62740
1991,Schleswig-Holstein,No,0.20121,80,294,0.15531,0.24712
1991,Hamburg,Yes,0.65540,115,160,0.58153,0.72927
1991,Hamburg,No,0.22998,45,160,0.16457,0.29539
1991,Lower Saxony,Yes,0.61304,699,967,0.58232,0.64375
1991,Lower Saxony,No,0.22451,268,967,0.19820,0.25083
1991,Bremen,Yes,0.60708,68,68,0.49013,0.72403
1991,North Rhine-Westphalia,Yes,0.57604,1701,2533,0.55679,0.59529
1991,North Rhine-Westphalia,No,0.24090,832,2533,0.22424,0.25755
1991,Hesse,Yes,0.62062,670,963,0.58996,0.65129
1991,Hesse,No,0.21768,293,963,0.19160,0.24376
1991,"Rhineland-Palatinate, Saarland",Yes,0.58492,445,668,0.54752,0.62231
1991,"Rhineland-Palatinate, Saarland",No,0.25677,223,668,0.22362,0.28993
1991,Baden-Wuerttemberg,Yes,0.58102,1231,1781,0.55810,0.60394
1991,Baden-Wuerttemberg,No,0.22629,550,1781,0.20685,0.24573
1991,Bavaria,Yes,0.60030,1102,1596,0.57626,0.62434
1991,Bavaria,No,0.22373,494,1596,0.20327,0.24418
1991,Berlin,Yes,0.59765,413,600,0.55838,0.63692
1991,Berlin,No,0.23874,187,600,0.20459,0.27288
1991,Brandenburg,Yes,0.47875,400,676,0.44106,0.51643
1991,Brandenburg,No,0.32579,276,676,0.29044,0.36115
1991,Mecklenburg-Western Pomerania,Yes,0.49161,287,469,0.44632,0.53691
1991,Mecklenburg-Western Pomerania,No,0.29301,182,469,0.25177,0.33425
1991,Saxony,Yes,0.48958,710,1227,0.46160,0.51756
1991,Saxony,No,0.32363,517,1227,0.29744,0.34982
1991,Saxony-Anhalt,Yes,0.47283,441,791,0.43801,0.50764
1991,Saxony-Anhalt,No,0.34809,350,791,0.31487,0.38131
1991,Thuringa,Yes,0.50247,414,692,0.46519,0.53975
1991,Thuringa,No,0.28529,278,692,0.25162,0.31896
1992,Schleswig-Holstein,Yes,0.56190,190,271,0.50272,0.62108
1992,Schleswig-Holstein,No,0.21704,81,271,0.16787,0.26621
1992,Hamburg,Yes,0.63444,106,150,0.55711,0.71177
1992,Hamburg,No,0.22801,44,150,0.16064,0.29537
1992,Lower Saxony,Yes,0.59651,692,949,0.56528,0.62774
1992,Lower Saxony,No,0.22015,257,949,0.19377,0.24653
1992,Bremen,Yes,0.70357,72,72,0.59735,0.80980
1992,North Rhine-Westphalia,Yes,0.54283,1608,2481,0.52323,0.56244
1992,North Rhine-Westphalia,No,0.26531,873,2481,0.24794,0.28269
1992,Hesse,Yes,0.61270,640,946,0.58165,0.64376
1992,Hesse,No,0.23403,306,946,0.20704,0.26103
1992,"Rhineland-Palatinate, Saarland",Yes,0.57854,441,657,0.54075,0.61632
1992,"Rhineland-Palatinate, Saarland",No,0.25680,216,657,0.22337,0.29023
1992,Baden-Wuerttemberg,Yes,0.56592,1178,1740,0.54263,0.58922
1992,Baden-Wuerttemberg,No,0.23408,562,1740,0.21418,0.25398
1992,Bavaria,Yes,0.57488,1085,1618,0.55078,0.59897
1992,Bavaria,No,0.24044,533,1618,0.21961,0.26127
1992,Berlin,Yes,0.60156,421,588,0.56196,0.64117
1992,Berlin,No,0.22258,167,588,0.18893,0.25623
1992,Brandenburg,Yes,0.56668,456,658,0.52879,0.60458
1992,Brandenburg,No,0.24520,202,658,0.21230,0.27809
1992,Mecklenburg-Western Pomerania,Yes,0.54209,279,410,0.49380,0.59037
1992,Mecklenburg-Western Pomerania,No,0.24331,131,410,0.20173,0.28490
1992,Saxony,Yes,0.56125,756,1148,0.53253,0.58997
1992,Saxony,No,0.24547,392,1148,0.22056,0.27038
1992,Saxony-Anhalt,Yes,0.53922,485,768,0.50394,0.57450
1992,Saxony-Anhalt,No,0.29934,283,768,0.26693,0.33175
1992,Thuringa,Yes,0.55422,456,680,0.51683,0.59160
1992,Thuringa,No,0.23556,224,680,0.20365,0.26748
1994,Schleswig-Holstein,Yes,0.63885,210,284,0.58288,0.69481
1994,Schleswig-Holstein,No,0.16670,74,284,0.12328,0.21013
1994,Hamburg,Yes,0.64180,103,139,0.56180,0.72180
1994,Hamburg,No,0.20618,36,139,0.13868,0.27368
1994,Lower Saxony,Yes,0.63950,718,962,0.60915,0.66986
1994,Lower Saxony,No,0.18244,244,962,0.15802,0.20686
1994,Bremen,Yes,0.66440,63,63,0.54686,0.78194
1994,North Rhine-Westphalia,Yes,0.59875,1738,2437,0.57928,0.61821
1994,North Rhine-Westphalia,No,0.21108,699,2437,0.19487,0.22728
1994,Hesse,Yes,0.68226,699,914,0.65206,0.71246
1994,Hesse,No,0.16685,215,914,0.14267,0.19103
1994,"Rhineland-Palatinate, Saarland",Yes,0.60604,468,632,0.56792,0.64417
1994,"Rhineland-Palatinate, Saarland",No,0.21245,164,632,0.18053,0.24436
1994,Baden-Wuerttemberg,Yes,0.63174,1259,1722,0.60895,0.65453
1994,Baden-Wuerttemberg,No,0.17271,463,1722,0.15485,0.19057
1994,Bavaria,Yes,0.64638,1228,1578,0.62279,0.66998
1994,Bavaria,No,0.16761,350,1578,0.14917,0.18604
1994,Berlin,Yes,0.62013,424,549,0.57949,0.66077
1994,Berlin,No,0.19680,125,549,0.16351,0.23009
1994,Brandenburg,Yes,0.67504,493,603,0.63762,0.71245
1994,Brandenburg,No,0.14869,110,603,0.12027,0.17711
1994,Mecklenburg-Western Pomerania,Yes,0.61798,330,413,0.57106,0.66490
1994,Mecklenburg-Western Pomerania,No,0.17056,83,413,0.13424,0.20688
1994,Saxony,Yes,0.67511,899,1125,0.64773,0.70249
1994,Saxony,No,0.14836,226,1125,0.12758,0.16914
1994,Saxony-Anhalt,Yes,0.67867,565,701,0.64407,0.71326
