year,migback,doctoryn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,No migration background,Yes,0.60309,6139,8670,0.59279,0.61339
1984,No migration background,No,0.23854,2531,8670,0.22957,0.24751
1984,Direct migration background,Yes,0.58057,2067,3369,0.56390,0.59723
1984,Direct migration background,No,0.30429,1302,3369,0.28875,0.31983
1984,Indirect migration background,Yes,0.08004,72,125,0.03228,0.12780
1984,Indirect migration background,No,0.03842,53,125,0.00459,0.07226
1985,No migration background,Yes,0.61783,5677,7980,0.60717,0.62850
1985,No migration background,No,0.23628,2303,7980,0.22696,0.24560
1985,Direct migration background,Yes,0.60721,1838,2906,0.58945,0.62497
1985,Direct migration background,No,0.30347,1068,2906,0.28675,0.32019
1985,Indirect migration background,Yes,0.10507,83,140,0.05410,0.15605
1985,Indirect migration background,No,0.03918,57,140,0.00692,0.07143
1986,No migration background,Yes,0.63069,5520,7605,0.61984,0.64153
1986,No migration background,No,0.22308,2085,7605,0.21373,0.23244
1986,Direct migration background,Yes,0.64715,1845,2825,0.62953,0.66478
1986,Direct migration background,No,0.27081,980,2825,0.25442,0.28720
1986,Indirect migration background,Yes,0.11568,94,153,0.06483,0.16653
1986,Indirect migration background,No,0.03098,59,153,0.00344,0.05853
1987,No migration background,Yes,0.62773,5382,7466,0.61676,0.63869
1987,No migration background,No,0.22419,2084,7466,0.21473,0.23365
1987,Direct migration background,Yes,0.63502,1801,2813,0.61723,0.65282
1987,Direct migration background,No,0.29746,1012,2813,0.28057,0.31436
1987,Indirect migration background,Yes,0.09903,95,173,0.05439,0.14367
1987,Indirect migration background,No,0.04610,78,173,0.01476,0.07744
1988,No migration background,Yes,0.58630,4750,7062,0.57482,0.59779
1988,No migration background,No,0.26311,2312,7062,0.25284,0.27339
1988,Direct migration background,Yes,0.60647,1667,2656,0.58788,0.62505
1988,Direct migration background,No,0.32502,989,2656,0.30721,0.34284
1988,Indirect migration background,Yes,0.10155,116,217,0.06127,0.14183
1988,Indirect migration background,No,0.06659,101,217,0.03334,0.09984
1989,No migration background,Yes,0.59735,4659,6801,0.58570,0.60901
1989,No migration background,No,0.25373,2142,6801,0.24339,0.26408
1989,Direct migration background,Yes,0.62653,1641,2572,0.60784,0.64523
1989,Direct migration background,No,0.31149,931,2572,0.29358,0.32939
1989,Indirect migration background,Yes,0.12258,144,254,0.08217,0.16300
1989,Indirect migration background,No,0.06564,110,254,0.03512,0.09616
1991,No migration background,Yes,0.58530,7038,10577,0.57591,0.59469
1991,No migration background,No,0.24778,3539,10577,0.23955,0.25601
1991,Direct migration background,Yes,0.63947,1690,2593,0.62099,0.65796
1991,Direct migration background,No,0.31668,903,2593,0.29877,0.33459
1991,Indirect migration background,Yes,0.12111,182,343,0.08653,0.15569
1991,Indirect migration background,No,0.08479,161,343,0.05527,0.11432
1992,No migration background,Yes,0.58386,7055,10264,0.57432,0.59340
1992,No migration background,No,0.24151,3209,10264,0.23323,0.24979
1992,Direct migration background,Yes,0.63258,1590,2491,0.61365,0.65152
1992,Direct migration background,No,0.32653,901,2491,0.30811,0.34495
1992,Indirect migration background,Yes,0.14918,220,401,0.11427,0.18410
1992,Indirect migration background,No,0.10271,181,401,0.07296,0.13247
1994,No migration background,Yes,0.64738,7722,9983,0.63800,0.65675
1994,No migration background,No,0.17856,2261,9983,0.17105,0.18608
1994,Direct migration background,Yes,0.73407,1704,2338,0.71616,0.75198
1994,Direct migration background,No,0.24496,634,2338,0.22752,0.26240
1994,Indirect migration background,Yes,0.22320,306,485,0.18610,0.26030
1994,Indirect migration background,No,0.10042,179,485,0.07364,0.12719
1995,No migration background,Yes,0.60305,7042,9917,0.59342,0.61268
1995,No migration background,No,0.21970,2875,9917,0.21155,0.22785
1995,Direct migration background,Yes,0.61335,1823,2758,0.59517,0.63153
1995,Direct migration background,No,0.31553,935,2758,0.29818,0.33288
1995,Indirect migration background,Yes,0.18309,284,502,0.14923,0.21696
1995,Indirect migration background,No,0.13554,218,502,0.10556,0.16551
1996,No migration background,Yes,0.59734,6927,9799,0.58763,0.60705
1996,No migration background,No,0.22477,2872,9799,0.21650,0.23304
1996,Direct migration background,Yes,0.64423,1752,2562,0.62568,0.66277
1996,Direct migration background,No,0.27859,810,2562,0.26122,0.29595
1996,Indirect migration background,Yes,0.19336,316,534,0.15983,0.22688
1996,Indirect migration background,No,0.12702,218,534,0.09875,0.15529
1997,No migration background,Yes,0.59363,6776,9758,0.58388,0.60337
1997,No migration background,No,0.23757,2982,9758,0.22913,0.24602
1997,Direct migration background,Yes,0.64650,1662,2455,0.62758,0.66541
1997,Direct migration background,No,0.29350,793,2455,0.27548,0.31152
1997,Indirect migration background,Yes,0.21829,314,563,0.18413,0.25244
1997,Indirect migration background,No,0.14304,249,563,0.11409,0.17199
1998,No migration background,Yes,0.57352,7548,11159,0.56434,0.58270
1998,No migration background,No,0.25663,3611,11159,0.24853,0.26474
1998,Direct migration background,Yes,0.62364,1543,2374,0.60415,0.64313
1998,Direct migration background,No,0.31174,831,2374,0.29310,0.33037
1998,Indirect migration background,Yes,0.22071,339,596,0.18738,0.25403
1998,Indirect migration background,No,0.16807,257,596,0.13802,0.19812
1999,No migration background,Yes,0.60269,7673,10822,0.59347,0.61191
1999,No migration background,No,0.23477,3149,10822,0.22678,0.24276
1999,Direct migration background,Yes,0.63484,1477,2192,0.61467,0.65500
1999,Direct migration background,No,0.31081,715,2192,0.29143,0.33019
1999,Indirect migration background,Yes,0.24085,353,598,0.20655,0.27515
1999,Indirect migration background,No,0.15073,245,598,0.12203,0.17943
2000,No migration background,Yes,0.58474,13667,19904,0.57790,0.59159
2000,No migration background,No,0.25670,6237,19904,0.25063,0.26277
2000,Direct migration background,Yes,0.58924,2129,3295,0.57244,0.60604
2000,Direct migration background,No,0.32564,1166,3295,0.30963,0.34164
2000,Indirect migration background,Yes,0.23797,492,813,0.20867,0.26726
2000,Indirect migration background,No,0.14956,321,813,0.12503,0.17409
2001,No migration background,Yes,0.59413,12670,18171,0.58699,0.60127
2001,No migration background,No,0.25002,5501,18171,0.24373,0.25632
2001,Direct migration background,Yes,0.61790,1936,2905,0.60022,0.63557
2001,Direct migration background,No,0.31145,969,2905,0.29461,0.32829
2001,Indirect migration background,Yes,0.21856,433,761,0.18918,0.24794
2001,Indirect migration background,No,0.15314,328,761,0.12753,0.17874
2002,No migration background,Yes,0.58466,13314,19405,0.57772,0.59159
2002,No migration background,No,0.26125,6091,19405,0.25507,0.26743
2002,Direct migration background,Yes,0.59988,1800,2791,0.58170,0.61806
2002,Direct migration background,No,0.34210,991,2791,0.32449,0.35970
2002,Indirect migration background,Yes,0.20939,432,764,0.18052,0.23826
2002,Indirect migration background,No,0.16350,332,764,0.13726,0.18974
2003,No migration background,Yes,0.59866,13126,18682,0.59163,0.60569
2003,No migration background,No,0.24740,5556,18682,0.24121,0.25358
2003,Direct migration background,Yes,0.62803,1726,2600,0.60945,0.64662
2003,Direct migration background,No,0.31222,874,2600,0.29440,0.33003
2003,Indirect migration background,Yes,0.22272,439,766,0.19323,0.25220
2003,Indirect migration background,No,0.16187,327,766,0.13577,0.18797
2004,No migration background,Yes,0.59183,12500,18216,0.58469,0.59897
2004,No migration background,No,0.25826,5716,18216,0.25191,0.26462
2004,Direct migration background,Yes,0.62099,1643,2522,0.60206,0.63993
2004,Direct migration background,No,0.33270,879,2522,0.31430,0.35109
2004,Indirect migration background,Yes,0.24295,445,794,0.21310,0.27280
2004,Indirect migration background,No,0.17455,349,794,0.14813,0.20097
2005,No migration background,Yes,0.59946,12201,17422,0.59218,0.60674
2005,No migration background,No,0.25091,5221,17422,0.24447,0.25735
2005,Direct migration background,Yes,0.64279,1597,2354,0.62343,0.66215
2005,Direct migration background,No,0.31345,757,2354,0.29470,0.33219
2005,Indirect migration background,Yes,0.27362,463,820,0.24309,0.30415
2005,Indirect migration background,No,0.18434,357,820,0.15778,0.21089
2006,No migration background,Yes,0.59130,12962,18740,0.58426,0.59834
2006,No migration background,No,0.25802,5778,18740,0.25175,0.26428
2006,Direct migration background,Yes,0.61757,1551,2374,0.59802,0.63713
2006,Direct migration background,No,0.34186,823,2374,0.32278,0.36095
2006,Indirect migration background,Yes,0.27237,494,809,0.24168,0.30307
2006,Indirect migration background,No,0.17425,315,809,0.14810,0.20041
2007,No migration background,Yes,0.60439,12434,17531,0.59715,0.61163
2007,No migration background,No,0.24250,5097,17531,0.23616,0.24884
2007,Direct migration background,Yes,0.64103,1460,2110,0.62056,0.66151
2007,Direct migration background,No,0.31756,650,2110,0.29770,0.33743
2007,Indirect migration background,Yes,0.28773,482,774,0.25582,0.31965
2007,Indirect migration background,No,0.17874,292,774,0.15173,0.20575
2008,No migration background,Yes,0.60580,11831,16573,0.59836,0.61324
2008,No migration background,No,0.24376,4742,16573,0.23723,0.25030
2008,Direct migration background,Yes,0.66771,1298,1898,0.64651,0.68891
2008,Direct migration background,No,0.30462,600,1898,0.28391,0.32533
2008,Indirect migration background,Yes,0.28702,459,756,0.25475,0.31929
2008,Indirect migration background,No,0.19762,297,756,0.16921,0.22602
2009,No migration background,Yes,0.61969,11427,15579,0.61206,0.62731
2009,No migration background,No,0.23253,4152,15579,0.22590,0.23917
2009,Direct migration background,Yes,0.66468,1159,1651,0.64190,0.68746
2009,Direct migration background,No,0.30698,492,1651,0.28473,0.32924
2009,Indirect migration background,Yes,0.30175,425,705,0.26784,0.33565
2009,Indirect migration background,No,0.22653,280,705,0.19561,0.25745
2010,No migration background,Yes,0.61721,13907,19785,0.61044,0.62399
