year,quintil_oecd,doctoryn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,1st Quintile,Yes,0.53563,1615,2486,0.51602,0.55524
1984,1st Quintile,No,0.23200,871,2486,0.21541,0.24860
1984,2nd Quintile,Yes,0.57448,1642,2387,0.55464,0.59432
1984,2nd Quintile,No,0.21943,745,2387,0.20282,0.23603
1984,3rd Quintile,Yes,0.57367,1586,2363,0.55372,0.59361
1984,3rd Quintile,No,0.24745,777,2363,0.23005,0.26486
1984,4th Quintile,Yes,0.60208,1715,2498,0.58288,0.62128
1984,4th Quintile,No,0.24980,783,2498,0.23282,0.26678
1984,5th Quintile,Yes,0.64884,1705,2407,0.62977,0.66792
1984,5th Quintile,No,0.24624,702,2407,0.22902,0.26345
1985,1st Quintile,Yes,0.56887,1518,2249,0.54840,0.58934
1985,1st Quintile,No,0.20612,731,2249,0.18940,0.22284
1985,2nd Quintile,Yes,0.58447,1493,2158,0.56367,0.60527
1985,2nd Quintile,No,0.21342,665,2158,0.19613,0.23071
1985,3rd Quintile,Yes,0.61748,1561,2206,0.59720,0.63777
1985,3rd Quintile,No,0.22696,645,2206,0.20947,0.24444
1985,4th Quintile,Yes,0.60977,1531,2230,0.58952,0.63002
1985,4th Quintile,No,0.26253,699,2230,0.24426,0.28080
1985,5th Quintile,Yes,0.62908,1487,2175,0.60877,0.64938
1985,5th Quintile,No,0.27399,688,2175,0.25525,0.29274
1986,1st Quintile,Yes,0.59130,1444,2071,0.57012,0.61247
1986,1st Quintile,No,0.19112,627,2071,0.17418,0.20805
1986,2nd Quintile,Yes,0.57279,1442,2081,0.55154,0.59405
1986,2nd Quintile,No,0.21926,639,2081,0.20148,0.23704
1986,3rd Quintile,Yes,0.61502,1512,2109,0.59425,0.63579
1986,3rd Quintile,No,0.21579,597,2109,0.19823,0.23335
1986,4th Quintile,Yes,0.64686,1581,2214,0.62695,0.66677
1986,4th Quintile,No,0.23090,633,2214,0.21335,0.24846
1986,5th Quintile,Yes,0.65512,1477,2102,0.63480,0.67545
1986,5th Quintile,No,0.24891,625,2102,0.23042,0.26740
1987,1st Quintile,Yes,0.58359,1377,2029,0.56214,0.60505
1987,1st Quintile,No,0.20201,652,2029,0.18453,0.21948
1987,2nd Quintile,Yes,0.57807,1426,2049,0.55668,0.59946
1987,2nd Quintile,No,0.20916,623,2049,0.19154,0.22677
1987,3rd Quintile,Yes,0.60272,1464,2100,0.58178,0.62365
1987,3rd Quintile,No,0.22022,636,2100,0.20249,0.23795
1987,4th Quintile,Yes,0.64009,1550,2190,0.61998,0.66020
1987,4th Quintile,No,0.24028,640,2190,0.22238,0.25818
1987,5th Quintile,Yes,0.64759,1461,2081,0.62706,0.66812
1987,5th Quintile,No,0.25161,620,2081,0.23296,0.27026
1988,1st Quintile,Yes,0.55552,1285,1960,0.53352,0.57753
1988,1st Quintile,No,0.22084,675,1960,0.20247,0.23921
1988,2nd Quintile,Yes,0.55397,1318,1978,0.53205,0.57588
1988,2nd Quintile,No,0.23065,660,1978,0.21208,0.24922
1988,3rd Quintile,Yes,0.56360,1309,1995,0.54183,0.58536
1988,3rd Quintile,No,0.26331,686,1995,0.24398,0.28264
1988,4th Quintile,Yes,0.58691,1375,2073,0.56571,0.60811
1988,4th Quintile,No,0.28377,698,2073,0.26436,0.30318
1988,5th Quintile,Yes,0.59338,1244,1927,0.57144,0.61531
1988,5th Quintile,No,0.31056,683,1927,0.28989,0.33122
1989,1st Quintile,Yes,0.56617,1265,1909,0.54393,0.58841
