year,sex,doctoryn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,male,Yes,0.50977,3603,5953,0.49707,0.52247
1984,male,No,0.30283,2350,5953,0.29116,0.31450
1984,female,Yes,0.65814,4675,6211,0.64634,0.66994
1984,female,No,0.18065,1536,6211,0.17108,0.19022
1985,male,Yes,0.53512,3375,5414,0.52183,0.54840
1985,male,No,0.29219,2039,5414,0.28008,0.30431
1985,female,Yes,0.66336,4223,5612,0.65100,0.67573
1985,female,No,0.18559,1389,5612,0.17541,0.19576
1986,male,Yes,0.54495,3313,5231,0.53145,0.55844
1986,male,No,0.28373,1918,5231,0.27151,0.29595
1986,female,Yes,0.68118,4146,5352,0.66870,0.69367
1986,female,No,0.16435,1206,5352,0.15442,0.17428
1987,male,Yes,0.54115,3240,5172,0.52757,0.55473
1987,male,No,0.28230,1932,5172,0.27003,0.29457
1987,female,Yes,0.67391,4038,5280,0.66126,0.68656
1987,female,No,0.17190,1242,5280,0.16173,0.18208
1988,male,Yes,0.50997,2916,4920,0.49600,0.52394
1988,male,No,0.31354,2004,4920,0.30058,0.32651
1988,female,Yes,0.62742,3617,5015,0.61404,0.64081
1988,female,No,0.21350,1398,5015,0.20216,0.22484
1989,male,Yes,0.50938,2815,4749,0.49516,0.52360
1989,male,No,0.31466,1934,4749,0.30145,0.32787
1989,female,Yes,0.64928,3629,4878,0.63589,0.66268
1989,female,No,0.19352,1249,4878,0.18243,0.20461
1991,male,Yes,0.50436,3886,6597,0.49229,0.51642
1991,male,No,0.30371,2711,6597,0.29261,0.31481
1991,female,Yes,0.63580,5024,6916,0.62446,0.64714
1991,female,No,0.19497,1892,6916,0.18563,0.20431
1992,male,Yes,0.51027,3838,6385,0.49800,0.52253
1992,male,No,0.29402,2547,6385,0.28284,0.30519
1992,female,Yes,0.62734,5027,6771,0.61582,0.63885
1992,female,No,0.19615,1744,6771,0.18669,0.20560
1994,male,Yes,0.57614,4281,6184,0.56383,0.58846
1994,male,No,0.22960,1903,6184,0.21912,0.24009
1994,female,Yes,0.69204,5451,6622,0.68092,0.70316
1994,female,No,0.13563,1171,6622,0.12738,0.14387
1995,male,Yes,0.51761,3905,6355,0.50532,0.52990
1995,male,No,0.28447,2450,6355,0.27338,0.29556
1995,female,Yes,0.64934,5244,6822,0.63802,0.66067
1995,female,No,0.17358,1578,6822,0.16459,0.18257
1996,male,Yes,0.52327,3918,6221,0.51085,0.53568
1996,male,No,0.27621,2303,6221,0.26510,0.28732
1996,female,Yes,0.64040,5077,6674,0.62889,0.65192
1996,female,No,0.17914,1597,6674,0.16994,0.18834
1997,male,Yes,0.50451,3720,6188,0.49205,0.51697
1997,male,No,0.30545,2468,6188,0.29397,0.31693
1997,female,Yes,0.65343,5032,6588,0.64194,0.66492
1997,female,No,0.17642,1556,6588,0.16722,0.18563
1998,male,Yes,0.49313,4042,6843,0.48129,0.50498
1998,male,No,0.31807,2801,6843,0.30703,0.32911
1998,female,Yes,0.62349,5388,7286,0.61236,0.63461
1998,female,No,0.20092,1898,7286,0.19172,0.21013
1999,male,Yes,0.51559,4089,6580,0.50351,0.52767
1999,male,No,0.30024,2491,6580,0.28916,0.31131
1999,female,Yes,0.65131,5414,7032,0.64018,0.66245
1999,female,No,0.17945,1618,7032,0.17048,0.18842
2000,male,Yes,0.50034,7011,11535,0.49121,0.50946
2000,male,No,0.31409,4524,11535,0.30562,0.32256
2000,female,Yes,0.62772,9277,12477,0.61923,0.63620
2000,female,No,0.20539,3200,12477,0.19830,0.21248
2001,male,Yes,0.50625,6438,10485,0.49668,0.51582
2001,male,No,0.31070,4047,10485,0.30184,0.31956
2001,female,Yes,0.63871,8601,11352,0.62987,0.64755
2001,female,No,0.19366,2751,11352,0.18639,0.20093
2002,male,Yes,0.49749,6765,11095,0.48818,0.50679
2002,male,No,0.32203,4330,11095,0.31333,0.33072
2002,female,Yes,0.62674,8781,11865,0.61804,0.63544
2002,female,No,0.20906,3084,11865,0.20174,0.21637
2003,male,Yes,0.52126,6735,10623,0.51176,0.53076
2003,male,No,0.29881,3888,10623,0.29011,0.30752
2003,female,Yes,0.63205,8556,11425,0.62321,0.64090
2003,female,No,0.20148,2869,11425,0.19412,0.20884
2004,male,Yes,0.50897,6304,10350,0.49934,0.51860
2004,male,No,0.31776,4046,10350,0.30879,0.32673
2004,female,Yes,0.63205,8284,11182,0.62311,0.64098
2004,female,No,0.20656,2898,11182,0.19906,0.21406
2005,male,Yes,0.52376,6176,9848,0.51389,0.53362
2005,male,No,0.30368,3672,9848,0.29459,0.31276
2005,female,Yes,0.63736,8085,10748,0.62827,0.64645
2005,female,No,0.20496,2663,10748,0.19732,0.21259
2006,male,Yes,0.51119,6524,10453,0.50160,0.52077
2006,male,No,0.31301,3929,10453,0.30412,0.32190
2006,female,Yes,0.62759,8483,11470,0.61874,0.63644
2006,female,No,0.21144,2987,11470,0.20397,0.21891
2007,male,Yes,0.52308,6239,9725,0.51316,0.53301
2007,male,No,0.29830,3486,9725,0.28921,0.30740
2007,female,Yes,0.64310,8137,10690,0.63402,0.65218
2007,female,No,0.19546,2553,10690,0.18794,0.20298
2008,male,Yes,0.52867,5929,9163,0.51845,0.53889
2008,male,No,0.29819,3234,9163,0.28882,0.30756
2008,female,Yes,0.64407,7659,10064,0.63472,0.65343
2008,female,No,0.19719,2405,10064,0.18942,0.20497
2009,male,Yes,0.54011,5720,8554,0.52955,0.55068
2009,male,No,0.29114,2834,8554,0.28151,0.30076
2009,female,Yes,0.65644,7291,9381,0.64683,0.66605
2009,female,No,0.19038,2090,9381,0.18243,0.19832
2010,male,Yes,0.54041,6833,10843,0.53103,0.54979
2010,male,No,0.29146,4010,10843,0.28291,0.30002
2010,female,Yes,0.64430,9569,12975,0.63606,0.65254
2010,female,No,0.19799,3406,12975,0.19113,0.20485
2011,male,Yes,0.54890,8383,12823,0.54029,0.55752
2011,male,No,0.27819,4440,12823,0.27044,0.28595
2011,female,Yes,0.65154,11607,15489,0.64404,0.65905
2011,female,No,0.19086,3882,15489,0.18467,0.19705
2012,male,Yes,0.54420,8143,12503,0.53547,0.55293
2012,male,No,0.28507,4360,12503,0.27716,0.29298
2012,female,Yes,0.64951,11353,15028,0.64188,0.65714
2012,female,No,0.19241,3675,15028,0.18610,0.19871
2013,male,Yes,0.52962,7939,11609,0.52054,0.53870
2013,male,No,0.22863,3670,11609,0.22099,0.23627
2013,female,Yes,0.61661,10712,14036,0.60857,0.62465
2013,female,No,0.16338,3324,14036,0.15726,0.16950
2014,male,Yes,0.55192,8078,12392,0.54317,0.56068
2014,male,No,0.28320,4314,12392,0.27526,0.29113
2014,female,Yes,0.64982,10877,14588,0.64208,0.65756
2014,female,No,0.19526,3711,14588,0.18883,0.20169
2015,male,Yes,0.54447,7452,11425,0.53534,0.55360
2015,male,No,0.26950,3973,11425,0.26136,0.27763
2015,female,Yes,0.63935,10154,13535,0.63126,0.64744
2015,female,No,0.18863,3381,13535,0.18204,0.19522
2016,male,Yes,0.54002,7095,11010,0.53071,0.54933
2016,male,No,0.28085,3915,11010,0.27245,0.28924
2016,female,Yes,0.63742,9636,13045,0.62917,0.64567
2016,female,No,0.19900,3409,13045,0.19215,0.20586
2017,male,Yes,0.56566,8260,12172,0.55685,0.57446
2017,male,No,0.25289,3912,12172,0.24517,0.26062
2017,female,Yes,0.64484,10663,14172,0.63697,0.65272
2017,female,No,0.19060,3509,14172,0.18414,0.19707
2018,male,Yes,0.55819,7911,11741,0.54921,0.56718
2018,male,No,0.26489,3830,11741,0.25690,0.27287
2018,female,Yes,0.64534,10380,13763,0.63735,0.65334
2018,female,No,0.19387,3383,13763,0.18727,0.20048
2019,male,Yes,0.56496,8342,12241,0.55618,0.57374
2019,male,No,0.25429,3899,12241,0.24658,0.26201
2019,female,Yes,0.64937,10116,13406,0.64129,0.65745
2019,female,No,0.18696,3290,13406,0.18036,0.19356
2020,male,Yes,0.51604,8312,13906,0.50773,0.52434
2020,male,No,0.30560,5594,13906,0.29795,0.31326
2020,female,Yes,0.61195,10039,14381,0.60399,0.61992
2020,female,No,0.22334,4342,14381,0.21653,0.23014
2021,male,Yes,0.55989,5585,8069,0.54906,0.57072
2021,male,No,0.25338,2484,8069,0.24389,0.26287
2021,female,Yes,0.62459,6760,9069,0.61462,0.63456
2021,female,No,0.20612,2309,9069,0.19779,0.21445
