year,age_gr,bula_h,doctoryn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,17-29 y.,Schleswig-Holstein,Yes,0.63475,58,96,0.53792,0.73158
1984,17-29 y.,Schleswig-Holstein,No,0.36525,38,96,0.26842,0.46208
1984,17-29 y.,Hamburg,Yes,0.67312,41,41,0.52775,0.81849
1984,17-29 y.,Lower Saxony,Yes,0.59807,202,335,0.54549,0.65065
1984,17-29 y.,Lower Saxony,No,0.39973,133,335,0.34720,0.45227
1984,17-29 y.,North Rhine-Westphalia,Yes,0.62705,603,969,0.59659,0.65752
1984,17-29 y.,North Rhine-Westphalia,No,0.37100,366,969,0.34057,0.40143
1984,17-29 y.,Hesse,Yes,0.68976,250,378,0.64307,0.73646
1984,17-29 y.,Hesse,No,0.31024,128,378,0.26354,0.35693
1984,17-29 y.,"Rhineland-Palatinate, Saarland",Yes,0.66307,156,246,0.60388,0.72225
1984,17-29 y.,"Rhineland-Palatinate, Saarland",No,0.33693,90,246,0.27775,0.39612
1984,17-29 y.,Baden-Wuerttemberg,Yes,0.66081,394,650,0.62439,0.69724
1984,17-29 y.,Baden-Wuerttemberg,No,0.33843,256,650,0.30202,0.37483
1984,17-29 y.,Bavaria,Yes,0.63569,353,569,0.59611,0.67526
1984,17-29 y.,Bavaria,No,0.36221,216,569,0.32268,0.40174
1984,17-29 y.,Berlin,Yes,0.59471,57,100,0.49800,0.69143
1984,17-29 y.,Berlin,No,0.40529,43,100,0.30857,0.50200
1984,30-45 y.,Schleswig-Holstein,Yes,0.67854,98,143,0.60172,0.75536
1984,30-45 y.,Schleswig-Holstein,No,0.32146,45,143,0.24464,0.39828
1984,30-45 y.,Hamburg,Yes,0.69309,75,122,0.61091,0.77527
1984,30-45 y.,Hamburg,No,0.30691,47,122,0.22473,0.38909
1984,30-45 y.,Lower Saxony,Yes,0.65875,251,390,0.61163,0.70586
1984,30-45 y.,Lower Saxony,No,0.34125,139,390,0.29414,0.38837
1984,30-45 y.,North Rhine-Westphalia,Yes,0.63923,683,1092,0.61073,0.66773
1984,30-45 y.,North Rhine-Westphalia,No,0.36077,409,1092,0.33227,0.38927
1984,30-45 y.,Hesse,Yes,0.64068,227,369,0.59165,0.68970
1984,30-45 y.,Hesse,No,0.35932,142,369,0.31030,0.40835
