year,age_gr,migback,doctoryn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,17-29 y.,No migration background,Yes,0.64608,1532,2347,0.62673,0.66543
1984,17-29 y.,No migration background,No,0.35269,815,2347,0.33336,0.37203
1984,17-29 y.,Direct migration background,Yes,0.57087,543,997,0.54013,0.60161
1984,17-29 y.,Direct migration background,No,0.42702,454,997,0.39630,0.45774
1984,17-29 y.,Indirect migration background,Yes,0.65056,52,91,0.55205,0.74906
1984,17-29 y.,Indirect migration background,No,0.34944,39,91,0.25094,0.44795
1984,30-45 y.,No migration background,Yes,0.64361,1619,2498,0.62482,0.66239
1984,30-45 y.,No migration background,No,0.35639,879,2498,0.33761,0.37518
1984,30-45 y.,Direct migration background,Yes,0.64794,853,1389,0.62282,0.67307
1984,30-45 y.,Direct migration background,No,0.35206,536,1389,0.32693,0.37718
1984,46-65 y.,No migration background,Yes,0.75501,1951,2596,0.73846,0.77156
1984,46-65 y.,No migration background,No,0.24499,645,2596,0.22844,0.26154
1984,46-65 y.,Direct migration background,Yes,0.70498,641,948,0.67593,0.73403
1984,46-65 y.,Direct migration background,No,0.29502,307,948,0.26597,0.32407
1984,66 and older,No migration background,Yes,0.84379,1037,1229,0.82349,0.86410
1984,66 and older,No migration background,No,0.15621,192,1229,0.13590,0.17651
1985,17-29 y.,No migration background,Yes,0.65922,1448,2205,0.63943,0.67900
1985,17-29 y.,No migration background,No,0.34078,757,2205,0.32100,0.36057
1985,17-29 y.,Direct migration background,Yes,0.59796,458,825,0.56449,0.63144
1985,17-29 y.,Direct migration background,No,0.40204,367,825,0.36856,0.43551
1985,17-29 y.,Indirect migration background,Yes,0.81925,71,110,0.74701,0.89149
1985,17-29 y.,Indirect migration background,No,0.18075,39,110,0.10851,0.25299
1985,30-45 y.,No migration background,Yes,0.64648,1489,2278,0.62685,0.66612
1985,30-45 y.,No migration background,No,0.35352,789,2278,0.33388,0.37315
1985,30-45 y.,Direct migration background,Yes,0.60400,719,1181,0.57610,0.63191
