year,age_gr,quintil_oecd,doctoryn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,17-29 y.,1st Quintile,Yes,0.63969,484,803,0.60646,0.67292
1984,17-29 y.,1st Quintile,No,0.35800,319,803,0.32482,0.39118
1984,17-29 y.,2nd Quintile,Yes,0.63659,419,672,0.60020,0.67298
1984,17-29 y.,2nd Quintile,No,0.36132,253,672,0.32497,0.39767
1984,17-29 y.,3rd Quintile,Yes,0.59371,380,662,0.55626,0.63115
1984,17-29 y.,3rd Quintile,No,0.40629,282,662,0.36885,0.44374
1984,17-29 y.,4th Quintile,Yes,0.64962,468,732,0.61503,0.68420
1984,17-29 y.,4th Quintile,No,0.35038,264,732,0.31580,0.38497
1984,17-29 y.,5th Quintile,Yes,0.68004,369,553,0.64113,0.71896
1984,17-29 y.,5th Quintile,No,0.31743,184,553,0.27860,0.35627
1984,30-45 y.,1st Quintile,Yes,0.59299,467,785,0.55860,0.62738
1984,30-45 y.,1st Quintile,No,0.40701,318,785,0.37262,0.44140
1984,30-45 y.,2nd Quintile,Yes,0.62802,498,787,0.59423,0.66181
1984,30-45 y.,2nd Quintile,No,0.37198,289,787,0.33819,0.40577
1984,30-45 y.,3rd Quintile,Yes,0.67104,492,751,0.63741,0.70466
1984,30-45 y.,3rd Quintile,No,0.32896,259,751,0.29534,0.36259
1984,30-45 y.,4th Quintile,Yes,0.64344,505,795,0.61013,0.67676
1984,30-45 y.,4th Quintile,No,0.35656,290,795,0.32324,0.38987
1984,30-45 y.,5th Quintile,Yes,0.67361,521,786,0.64081,0.70641
1984,30-45 y.,5th Quintile,No,0.32639,265,786,0.29359,0.35919
1984,46-65 y.,1st Quintile,Yes,0.73602,381,548,0.69908,0.77296
1984,46-65 y.,1st Quintile,No,0.26398,167,548,0.22704,0.30092
1984,46-65 y.,2nd Quintile,Yes,0.76732,486,658,0.73501,0.79963
1984,46-65 y.,2nd Quintile,No,0.23268,172,658,0.20037,0.26499
1984,46-65 y.,3rd Quintile,Yes,0.72753,507,709,0.69473,0.76033
1984,46-65 y.,3rd Quintile,No,0.27247,202,709,0.23967,0.30527
1984,46-65 y.,4th Quintile,Yes,0.75178,566,763,0.72111,0.78245
1984,46-65 y.,4th Quintile,No,0.24822,197,763,0.21755,0.27889
1984,46-65 y.,5th Quintile,Yes,0.75689,653,873,0.72842,0.78536
1984,46-65 y.,5th Quintile,No,0.24311,220,873,0.21464,0.27158
1984,66 and older,1st Quintile,Yes,0.81264,283,350,0.77170,0.85358
1984,66 and older,1st Quintile,No,0.18736,67,350,0.14642,0.22830
1984,66 and older,2nd Quintile,Yes,0.88775,239,270,0.85002,0.92547
1984,66 and older,2nd Quintile,No,0.11225,31,270,0.07453,0.14998
1984,66 and older,3rd Quintile,Yes,0.86160,207,241,0.81791,0.90529
1984,66 and older,3rd Quintile,No,0.13840,34,241,0.09471,0.18209
1984,66 and older,4th Quintile,Yes,0.83959,176,208,0.78959,0.88958
