"year","alter_gr","sex","mean","median","n","lower_confidence","upper_confidence"
"1984","16-34 Jahre alt","maennlich","40.41","40","1530","40.16","40.66"
"1984","16-34 Jahre alt","weiblich","36.39","40","1148","35.86","36.92"
"1984","35-65 Jahre alt","maennlich","40.87","40","2372","40.69","41.05"
"1984","35-65 Jahre alt","weiblich","30.87","35","1217","30.26","31.48"
"1984","66 und älter","maennlich","","","","",""
"1984","66 und älter","weiblich","","","","",""
"1985","16-34 Jahre alt","maennlich","39.68","40","1328","39.44","39.92"
"1985","16-34 Jahre alt","weiblich","36.81","40","1016","36.28","37.34"
"1985","35-65 Jahre alt","maennlich","39.88","40","2057","39.71","40.05"
"1985","35-65 Jahre alt","weiblich","30.58","35","1112","29.97","31.19"
"1985","66 und älter","maennlich","","","","",""
"1985","66 und älter","weiblich","","","","",""
"1986","16-34 Jahre alt","maennlich","39.65","40","1332","39.44","39.86"
"1986","16-34 Jahre alt","weiblich","36.52","40","1034","36.03","37.01"
"1986","35-65 Jahre alt","maennlich","39.69","40","1928","39.57","39.81"
"1986","35-65 Jahre alt","weiblich","30.92","38","1039","30.3","31.54"
"1986","66 und älter","maennlich","","","","",""
"1986","66 und älter","weiblich","","","","",""
"1987","16-34 Jahre alt","maennlich","39.3","40","1354","39.06","39.54"
"1987","16-34 Jahre alt","weiblich","36.33","40","1016","35.82","36.84"
"1987","35-65 Jahre alt","maennlich","39.66","40","1891","39.51","39.81"
"1987","35-65 Jahre alt","weiblich","30.65","36","1063","30.03","31.27"
"1987","66 und älter","maennlich","","","","",""
"1987","66 und älter","weiblich","","","","",""
"1988","16-34 Jahre alt","maennlich","39.14","40","1299","38.9","39.38"
"1988","16-34 Jahre alt","weiblich","36.17","40","969","35.63","36.71"
"1988","35-65 Jahre alt","maennlich","39.42","40","1770","39.28","39.56"
"1988","35-65 Jahre alt","weiblich","30.16","35","1007","29.52","30.8"
"1988","66 und älter","maennlich","","","","",""
"1988","66 und älter","weiblich","","","","",""
"1989","16-34 Jahre alt","maennlich","38.81","40","1311","38.58","39.04"
"1989","16-34 Jahre alt","weiblich","35.64","39","988","35.09","36.19"
"1989","35-65 Jahre alt","maennlich","39.26","40","1715","39.1","39.42"
"1989","35-65 Jahre alt","weiblich","30.43","36.36","989","29.79","31.07"
"1989","66 und älter","maennlich","","","","",""
"1989","66 und älter","weiblich","","","","",""
"1990","16-34 Jahre alt","maennlich","39.48","39","1926","39.27","39.69"
"1990","16-34 Jahre alt","weiblich","36.19","39","1606","35.79","36.59"
"1990","35-65 Jahre alt","maennlich","39.65","39","2602","39.49","39.81"
"1990","35-65 Jahre alt","weiblich","32.52","37.5","1907","32.07","32.97"
"1990","66 und älter","maennlich","","","","",""
"1990","66 und älter","weiblich","","","","",""
"1991","16-34 Jahre alt","maennlich","38.74","39","1788","38.55","38.93"
"1991","16-34 Jahre alt","weiblich","35.2","38.5","1479","34.78","35.62"
"1991","35-65 Jahre alt","maennlich","38.89","38.5","2448","38.74","39.04"
"1991","35-65 Jahre alt","weiblich","31.63","37.5","1805","31.18","32.08"
"1991","66 und älter","maennlich","","","","",""
"1991","66 und älter","weiblich","","","","",""
"1992","16-34 Jahre alt","maennlich","38.59","38.5","1692","38.39","38.79"
"1992","16-34 Jahre alt","weiblich","34.83","38.5","1356","34.39","35.27"
"1992","35-65 Jahre alt","maennlich","38.64","38.5","2260","38.49","38.79"
"1992","35-65 Jahre alt","weiblich","31.39","37.5","1675","30.93","31.85"
"1992","66 und älter","maennlich","","","","",""
"1992","66 und älter","weiblich","","","","",""
"1993","16-34 Jahre alt","maennlich","38.38","38.5","1614","38.2","38.56"
"1993","16-34 Jahre alt","weiblich","34.8","38.5","1318","34.36","35.24"
"1993","35-65 Jahre alt","maennlich","38.44","38.5","2162","38.3","38.58"
"1993","35-65 Jahre alt","weiblich","31.23","37.5","1623","30.75","31.71"
"1993","66 und älter","maennlich","","","","",""
"1993","66 und älter","weiblich","","","","",""
"1994","16-34 Jahre alt","maennlich","38.3","38.5","1541","38.09","38.51"
"1994","16-34 Jahre alt","weiblich","34.53","38.5","1273","34.07","34.99"
"1994","35-65 Jahre alt","maennlich","38.54","38.5","2058","38.37","38.71"
"1994","35-65 Jahre alt","weiblich","30.77","37","1589","30.28","31.26"
"1994","66 und älter","maennlich","","","","",""
"1994","66 und älter","weiblich","","","","",""
"1995","16-34 Jahre alt","maennlich","38.02","38.5","1624","37.77","38.27"
"1995","16-34 Jahre alt","weiblich","34.1","38","1309","33.62","34.58"
"1995","35-65 Jahre alt","maennlich","37.95","38.5","2156","37.74","38.16"
"1995","35-65 Jahre alt","weiblich","30.29","36","1650","29.81","30.77"
"1995","66 und älter","maennlich","","","","",""
"1995","66 und älter","weiblich","","","","",""
"1996","16-34 Jahre alt","maennlich","37.81","38.5","1537","37.57","38.05"
"1996","16-34 Jahre alt","weiblich","34.11","38.5","1239","33.63","34.59"
"1996","35-65 Jahre alt","maennlich","38.09","38.5","2067","37.93","38.25"
"1996","35-65 Jahre alt","weiblich","30.2","35","1664","29.72","30.68"
"1996","66 und älter","maennlich","","","","",""
"1996","66 und älter","weiblich","","","","",""
"1997","16-34 Jahre alt","maennlich","38.05","38.5","1453","37.81","38.29"
"1997","16-34 Jahre alt","weiblich","33.71","38.5","1169","33.19","34.23"
"1997","35-65 Jahre alt","maennlich","38.03","38.5","1965","37.83","38.23"
"1997","35-65 Jahre alt","weiblich","30.71","35","1572","30.23","31.19"
"1997","66 und älter","maennlich","","","","",""
"1997","66 und älter","weiblich","","","","",""
"1998","16-34 Jahre alt","maennlich","37.42","38.5","1535","37.14","37.7"
"1998","16-34 Jahre alt","weiblich","34.09","38.5","1213","33.58","34.6"
"1998","35-65 Jahre alt","maennlich","38.11","38.5","2202","37.93","38.29"
"1998","35-65 Jahre alt","weiblich","30.13","35","1793","29.66","30.6"
"1998","66 und älter","maennlich","","","","",""
"1998","66 und älter","weiblich","","","","",""
"1999","16-34 Jahre alt","maennlich","37.53","38.5","1492","37.24","37.82"
"1999","16-34 Jahre alt","weiblich","33.56","38.5","1211","33.03","34.09"
"1999","35-65 Jahre alt","maennlich","38.31","38.5","2184","38.13","38.49"
"1999","35-65 Jahre alt","weiblich","30.01","35","1823","29.54","30.48"
"1999","66 und älter","maennlich","","","","",""
"1999","66 und älter","weiblich","","","","",""
"2000","16-34 Jahre alt","maennlich","37.75","38.5","2159","37.52","37.98"
"2000","16-34 Jahre alt","weiblich","33.26","38.5","1836","32.81","33.71"
"2000","35-65 Jahre alt","maennlich","38.27","38.5","3922","38.14","38.4"
"2000","35-65 Jahre alt","weiblich","29.88","34","3225","29.52","30.24"
"2000","66 und älter","maennlich","","","","",""
"2000","66 und älter","weiblich","","","","",""
"2001","16-34 Jahre alt","maennlich","37.5","38.5","1904","37.21","37.79"
"2001","16-34 Jahre alt","weiblich","32.63","38","1689","32.13","33.13"
"2001","35-65 Jahre alt","maennlich","38.14","38.5","3653","37.98","38.3"
"2001","35-65 Jahre alt","weiblich","29.51","33.28","3195","29.14","29.88"
"2001","66 und älter","maennlich","","","","",""
"2001","66 und älter","weiblich","","","","",""
"2002","16-34 Jahre alt","maennlich","37.94","39","1734","37.65","38.23"
"2002","16-34 Jahre alt","weiblich","33.58","38","1603","33.09","34.07"
"2002","35-65 Jahre alt","maennlich","38.22","38.5","3796","38.08","38.36"
"2002","35-65 Jahre alt","weiblich","28.84","30.11","3404","28.49","29.19"
"2002","66 und älter","maennlich","","","","",""
"2002","66 und älter","weiblich","","","","",""
"2003","16-34 Jahre alt","maennlich","37.08","38.5","1640","36.74","37.42"
"2003","16-34 Jahre alt","weiblich","32.44","38","1571","31.91","32.97"
"2003","35-65 Jahre alt","maennlich","38.05","38.5","3679","37.89","38.21"
"2003","35-65 Jahre alt","weiblich","28.66","30","3367","28.3","29.02"
"2003","66 und älter","maennlich","","","","",""
"2003","66 und älter","weiblich","","","","",""
"2004","16-34 Jahre alt","maennlich","37.49","39","1477","37.15","37.83"
"2004","16-34 Jahre alt","weiblich","33.84","38.5","1397","33.31","34.37"
