year,age_gr,sex,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
1990,17-29 y.,female,1127,37.55673,37.07414,38.04106,38.00000,39.00000,40.00000,35.00000,43.00000,39.0,39.00000,39.00000
1990,30-45 y.,male,1755,39.68219,39.43820,39.93515,38.00000,39.00000,40.00000,35.00000,43.00000,39.0,39.00000,39.00000
1990,30-45 y.,female,1404,32.82383,32.22496,33.44023,25.00000,38.00000,40.00000,4.0,62.50000,38.0,37.50000,38.50000
1990,46-65 y.,male,1452,39.60592,39.32756,39.87730,38.00000,39.00000,40.00000,35.00000,43.00000,39.0,39.00000,39.00000
1990,46-65 y.,female,974,32.25107,31.45230,33.00284,24.00000,37.50000,40.00000,1.4,64.00000,37.5,37.00000,39.00000
1990,66 and older,male,,,,,,,,,,,,
1990,66 and older,female,,,,,,,,,,,,
1991,0-16 y.,male,,,,,,,,,,,,
1991,0-16 y.,female,,,,,,,,,,,,
1991,17-29 y.,male,1214,38.65330,38.27962,38.92865,37.91952,39.00000,40.00000,34.79880,43.12072,39.0,39.00000,39.50000
1991,17-29 y.,female,1021,36.53023,35.99524,37.18699,37.50000,38.50000,40.00000,33.75000,43.75000,38.5,38.50000,38.50000
1991,30-45 y.,male,1683,38.86683,38.59444,39.12096,37.50000,38.50000,40.00000,33.75000,43.75000,38.5,38.50000,38.50000
1991,30-45 y.,female,1384,31.70517,31.02512,32.35910,22.00000,37.50000,40.00000,0.2,50.0,37.5,37.00000,37.50000
1991,46-65 y.,male,1320,38.91731,38.51798,39.24034,38.00000,38.50000,40.00000,35.00000,43.00000,38.5,38.00000,38.50000
1991,46-65 y.,female,868,31.69512,30.87097,32.33802,22.50000,37.50000,40.00000,3.0,57.8,37.5,37.00000,37.50000
1991,66 and older,male,,,,,,,,,,,,
1991,66 and older,female,,,,,,,,,,,,
1992,0-16 y.,male,,,,,,,,,,,,
1992,0-16 y.,female,,,,,,,,,,,,
1992,17-29 y.,male,1156,38.64075,38.28360,38.99814,37.50000,38.50000,40.00000,33.75000,43.75000,38.5,38.50000,38.50000
