year,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,n
1984,37.79772,37.58818,38.00726,40.00000,40.00000,40.00000,40.00000,40.00000,6208.00000
1985,37.27357,37.06765,37.47949,40.00000,40.00000,40.00000,40.00000,40.00000,5468.00000
1986,37.26649,37.07119,37.46179,39.00000,40.00000,40.00000,37.50000,41.50000,5297.00000
1987,37.06938,36.86390,37.27487,38.00000,40.00000,40.00000,35.00000,43.00000,5291.00000
1988,36.79273,36.58035,37.00511,38.00000,40.00000,40.00000,35.00000,43.00000,5026.00000
1989,36.60620,36.38989,36.82251,38.00000,39.00000,40.00000,35.00000,43.00000,4984.00000
1990,37.25505,37.08695,37.42315,37.50000,39.00000,40.00000,33.75000,43.75000,8015.00000
1991,36.38185,36.20778,36.55592,37.50000,38.50000,40.00000,33.75000,43.75000,7479.00000
1992,36.14148,35.96016,36.32280,37.50000,38.50000,40.00000,33.75000,43.75000,6953.00000
1993,35.96015,35.78102,36.13929,37.00000,38.50000,40.00000,32.50000,44.50000,6684.00000
1994,35.79200,35.60093,35.98307,37.00000,38.50000,40.00000,32.50000,44.50000,6430.00000
1995,35.27735,35.07747,35.47722,36.00000,38.50000,40.00000,30.00000,46.00000,6713.00000
1996,35.27080,35.07515,35.46644,35.00000,38.50000,40.00000,27.50000,47.50000,6473.00000
1997,35.33992,35.13938,35.54046,35.00000,38.50000,40.00000,27.50000,47.50000,6135.00000
1998,35.12872,34.93142,35.32602,35.00000,38.50000,40.00000,27.50000,47.50000,6739.00000
1999,34.99090,34.78458,35.19722,35.00000,38.50000,40.00000,27.50000,47.50000,6704.00000
2000,34.97666,34.81755,35.13577,35.00000,38.50000,40.00000,27.50000,47.50000,11106.00000
2001,34.53598,34.36146,34.71050,35.00000,38.50000,40.00000,27.50000,47.50000,10410.00000
2002,34.56020,34.38714,34.73327,35.00000,38.50000,40.00000,27.50000,47.50000,10512.00000
2003,34.05107,33.86811,34.23404,32.50000,38.00000,40.00000,21.25000,51.25000,10247.00000
2004,34.38870,34.20294,34.57446,35.00000,38.50000,40.00000,27.50000,47.50000,9538.00000
2005,34.67098,34.48214,34.85981,35.00000,38.50000,40.00000,27.50000,47.50000,9065.00000
2006,34.49925,34.31590,34.68261,33.00000,38.50000,40.00000,22.50000,50.50000,9453.00000
2007,34.56601,34.37235,34.75968,32.50000,38.50000,40.00000,21.25000,51.25000,9126.00000
2008,34.59407,34.39603,34.79211,33.00000,38.50000,40.00000,22.50000,50.50000,8655.00000
2009,34.55070,34.34311,34.75828,33.00000,38.50000,40.00000,22.50000,50.50000,8138.00000
2010,34.11708,33.93344,34.30072,30.00000,38.50000,40.00000,15.00000,55.00000,11403.00000
2011,34.40838,34.24714,34.56962,30.04813,39.00000,40.00000,15.12034,54.92780,13840.00000
2012,34.38359,34.21944,34.54774,30.00000,39.00000,40.00000,15.00000,55.00000,13633.00000
2013,34.40438,34.25315,34.55560,30.00000,39.00000,40.00000,15.00000,55.00000,15545.00000
2014,33.80639,33.64033,33.97245,30.00000,38.50000,40.00000,15.00000,55.00000,13973.00000
2015,33.97537,33.81093,34.13980,30.00000,38.50000,40.00000,15.00000,55.00000,13717.00000
2016,33.80891,33.63535,33.98246,30.00000,38.50000,40.00000,15.00000,55.00000,12624.00000
2017,33.85486,33.69402,34.01571,30.00000,38.50000,40.00000,15.00000,55.00000,14566.00000
2018,33.67442,33.51204,33.83681,30.00000,38.50000,40.00000,15.00000,55.00000,14502.00000
2019,34.02230,33.86306,34.18154,30.00000,38.50000,40.00000,15.00000,55.00000,13796.00000
2020,33.98302,33.82905,34.13699,30.00000,38.50000,40.00000,15.00000,55.00000,14613.00000
2021,33.52726,33.33038,33.72415,30.00000,38.50000,40.00000,15.00000,55.00000,9902.00000
2022,33.14533,32.98956,33.30111,30.00000,38.50000,40.00000,15.00000,55.00000,16303.00000
