"year","age_gr","bildungsniveau","mean","median","n","percentile_10","percentile_25","percentile_75","percentile_90","percentile_99","lower_confidence_mean","upper_confidence_mean","minimum","maximum","lower_confidence_median","upper_confidence_median"
"1984","17-29","(Fach-)Abitur","36.5","39","184","20","40","40","40","50","35.17","37.83","6","66","40","40"
"1984","17-29","(noch) kein Abschluss","38.62","38.5","91","35","40","40","40","50","37.02","40.22","10","70","40","40"
"1984","17-29","AkademikerIn","36.83","38","76","20","40","40","40","66","34.46","39.2","8","66","40","40"
"1984","17-29","Hauptschule","39.98","39.5","1067","40","40","40","42","56","39.66","40.3","4","72","40","40"
"1984","17-29","Realschule","39.47","39.5","521","40","40","40","41","60","38.94","40","1","77","40","40"
"1984","30-45","(Fach-)Abitur","37.79","39","133","20","40","40","40","60","36.35","39.23","10","80","40","40"
"1984","30-45","(noch) kein Abschluss","37.85","38.5","277","30","40","40","40","54","37.05","38.65","4","60","40","40"
"1984","30-45","AkademikerIn","37.8","39","261","24","40","40","45","60","36.69","38.91","9","65","40","40"
"1984","30-45","Hauptschule","36.51","39.5","1466","20","40","40","40","60","36.05","36.97","0","75","40","40"
"1984","30-45","Realschule","36.8","39","335","20","40","40","40","60","35.76","37.84","3","80","40","40"
"1984","46-65","(Fach-)Abitur","40.14","37.5","72","40","40","40","40","60","38.84","41.44","10","60","40","40"
"1984","46-65","(noch) kein Abschluss","39.21","38","255","40","40","40","40","56","38.54","39.88","10","60","40","40"
"1984","46-65","AkademikerIn","39.38","39","129","28","40","40","45","60","38.08","40.68","18","70","40","40"
"1984","46-65","Hauptschule","37.58","39.5","1134","23","40","40","40","60","37.11","38.05","3","80","40","40"
"1984","46-65","Realschule","36.79","37.5","172","20","40","40","40","60","35.27","38.31","10","65","40","40"
"1984","66","(Fach-)Abitur","","","","","","","","","","","","","",""
"1984","66","(noch) kein Abschluss","","","","","","","","","","","","","",""
"1984","66","AkademikerIn","","","","","","","","","","","","","",""
"1984","66","Hauptschule","","","","","","","","","","","","","",""
"1984","66","Realschule","","","","","","","","","","","","","",""
"1985","17-29","(Fach-)Abitur","36.57","39.5","164","20","40","40","40","50","35.15","37.99","6","66","40","40"
"1985","17-29","(noch) kein Abschluss","36.71","39.5","59","15","40","40","40","64","34.37","39.05","4","64","40","40"
"1985","17-29","AkademikerIn","37.67","39.5","67","25","40","40","40","46","36.09","39.25","16","60","40","40"
"1985","17-29","Hauptschule","39.28","39.5","893","39","40","40","40","50","38.91","39.65","4","74","40","40"
"1985","17-29","Realschule","38.9","39.5","487","39","40","40","40","47","38.4","39.4","2","51","40","40"
"1985","30-45","(Fach-)Abitur","37.97","39.5","118","25","40","40","40","56","36.72","39.22","5","56","40","40"
"1985","30-45","(noch) kein Abschluss","39.07","39.5","203","35","40","40","40","56","38.25","39.89","10","72","40","40"
"1985","30-45","AkademikerIn","35.85","39.5","245","20","30","40","40","50","34.77","36.93","10","66","40","40"
"1985","30-45","Hauptschule","36.46","39.5","1270","20","39","40","40","48","36.02","36.9","3","70","40","40"
"1985","30-45","Realschule","36.01","39.5","308","20","39","40","40","45","35.01","37.01","6","60","40","40"
"1985","46-65","(Fach-)Abitur","39.71","39.5","60","40","40","40","40","45","38.86","40.56","20","45","40","40"
"1985","46-65","(noch) kein Abschluss","39.11","39.5","220","38","40","40","40","56","38.24","39.98","8","56","40","40"
"1985","46-65","AkademikerIn","38.27","39.5","123","35","40","40","40","45","37.29","39.25","15","45","40","40"
"1985","46-65","Hauptschule","36.76","39.5","1023","20","40","40","40","50","36.28","37.24","3","60","40","40"
"1985","46-65","Realschule","35.21","39.5","167","20","32","40","40","45","33.79","36.63","4","52","40","40"
"1985","66","(Fach-)Abitur","","","","","","","","","","","","","",""
"1985","66","(noch) kein Abschluss","","","","","","","","","","","","","",""
"1985","66","AkademikerIn","","","","","","","","","","","","","",""
"1985","66","Hauptschule","","","","","","","","","","","","","",""
"1985","66","Realschule","","","","","","","","","","","","","",""
"1986","17-29","(Fach-)Abitur","37.5","39.5","176","30","39","40","40","50","36.33","38.67","2","66","40","40"
"1986","17-29","(noch) kein Abschluss","36.22","39.5","71","30","38","40","40","45","34.43","38.01","5","45","39","40"
"1986","17-29","AkademikerIn","37.18","39.5","62","20","39","40","40","42","35.18","39.18","10","42","40","40"
"1986","17-29","Hauptschule","39.05","39.5","888","38","39","40","40","58","38.72","39.38","6","60","40","40"
"1986","17-29","Realschule","38.99","39.5","490","38","40","40","40","47","38.54","39.44","4","76","40","40"
"1986","30-45","(Fach-)Abitur","37.24","39.5","124","20","39","40","40","50","35.97","38.51","12","60","40","40"
"1986","30-45","(noch) kein Abschluss","38.86","39.5","175","38","39","40","40","56","37.96","39.76","10","56","40","40"
"1986","30-45","AkademikerIn","35.53","39.5","242","23","30","40","40","44","34.47","36.59","5","51","40","40"
"1986","30-45","Hauptschule","36.62","39.5","1142","20","38","40","40","48","36.18","37.06","4","60","40","40"
"1986","30-45","Realschule","36.47","39.5","297","20","38","40","40","46","35.55","37.39","3","54","40","40"
"1986","46-65","(Fach-)Abitur","38.51","39.5","57","38","40","40","40","40","37.06","39.96","4","45","40","40"
"1986","46-65","(noch) kein Abschluss","38.99","39.5","203","38","39","40","40","50","38.23","39.75","10","56","40","40"
"1986","46-65","AkademikerIn","38.24","39.5","126","28","40","40","40","50","37.09","39.39","10","60","40","40"
"1986","46-65","Hauptschule","36.57","39.5","1020","22","38","40","40","48","36.1","37.04","3","60","40","40"
"1986","46-65","Realschule","35.93","39.5","155","20","38","40","40","42","34.67","37.19","7","45","40","40"
"1986","66","(Fach-)Abitur","","","","","","","","","","","","","",""
"1986","66","(noch) kein Abschluss","","","","","","","","","","","","","",""
"1986","66","AkademikerIn","","","","","","","","","","","","","",""
"1986","66","Hauptschule","","","","","","","","","","","","","",""
"1986","66","Realschule","","","","","","","","","","","","","",""
"1987","17-29","(Fach-)Abitur","36.37","39.5","188","20","38.5","40","40","48","35.13","37.61","5","56","40","40"
"1987","17-29","(noch) kein Abschluss","34.36","39.5","55","15","38","40","40","45","31.95","36.77","2","45","38","40"
"1987","17-29","AkademikerIn","35.31","39.5","55","20","38","40","40","41","32.89","37.73","12","41","38","40"
"1987","17-29","Hauptschule","38.68","39.5","892","38","38.5","40","40","55","38.32","39.04","4","80","40","40"
"1987","17-29","Realschule","38.78","39.5","503","38","38.5","40","40","45","38.41","39.15","8","56","40","40"
"1987","30-45","(Fach-)Abitur","37.67","39.5","112","32","38.5","40","40","50","36.49","38.85","12","50","40","40"
"1987","30-45","(noch) kein Abschluss","36.51","39.5","178","20","38","40","40","48","35.36","37.66","6","50","40","40"
"1987","30-45","AkademikerIn","35.7","39.5","241","22","35","40","40","45","34.63","36.77","5","60","39","40"
"1987","30-45","Hauptschule","36.68","39.5","1115","20","38","40","40","50","36.22","37.14","1","80","40","40"
"1987","30-45","Realschule","35.89","39.5","303","20","38","40","40","48","34.92","36.86","5","60","39","40"
"1987","46-65","(Fach-)Abitur","38.75","39.5","56","38","39","40","40","50","37.27","40.23","4","50","40","40"
"1987","46-65","(noch) kein Abschluss","39.52","39.5","199","38","38.5","40","40","55","38.68","40.36","2","55","40","40"
"1987","46-65","AkademikerIn","37.53","39.25","132","27","38","40","40","45","36.39","38.67","9","46","40","40"
"1987","46-65","Hauptschule","36.42","39.5","1024","22","38","40","40","50","35.95","36.89","2.5","65","40","40"
"1987","46-65","Realschule","35.67","39.5","153","20","38","40","40","43","34.35","36.99","2","45","38.5","40"
"1987","66","(Fach-)Abitur","","","","","","","","","","","","","",""
"1987","66","(noch) kein Abschluss","","","","","","","","","","","","","",""
"1987","66","AkademikerIn","","","","","","","","","","","","","",""
"1987","66","Hauptschule","","","","","","","","","","","","","",""
"1987","66","Realschule","","","","","","","","","","","","","",""
"1988","17-29","(Fach-)Abitur","36.34","39.5","177","24","38","40","40","42","35.06","37.62","2","48","40","40"
"1988","17-29","(noch) kein Abschluss","34.78","38.75","54","15","37.5","40","40","40","32.38","37.18","4","48","38","40"
"1988","17-29","AkademikerIn","37.88","39.5","51","37","38","40","40","50","36.16","39.6","12","50","38.5","40"
"1988","17-29","Hauptschule","38.7","39.75","836","37.5","38","40","40","52","38.3","39.1","3","72","40","40"
"1988","17-29","Realschule","38.16","39.75","485","36","38.5","40","40","45","37.66","38.66","3","56","40","40"
"1988","30-45","(Fach-)Abitur","36.95","39.5","116","25","38","40","40","50","35.46","38.44","6","50","38.5","40"
"1988","30-45","(noch) kein Abschluss","37.17","39.5","153","30","38","40","40","45","36.05","38.29","2","49","40","40"
"1988","30-45","AkademikerIn","35.4","39.5","232","21","35","40","40","42","34.31","36.49","3","45","39","40"
"1988","30-45","Hauptschule","36.38","39.5","1020","20","38","40","40","50","35.91","36.85","4","62","39","40"
"1988","30-45","Realschule","35.78","39.75","301","20","38","40","40","49","34.81","36.75","6","60","40","40"
"1988","46-65","(Fach-)Abitur","38.65","39.5","50","37","38.5","40","40","56","37.04","40.26","4","56","38.5","40"
