year,age_gr,sampreg,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
1984,0-16 y.,West,,,,,,,,,,,,
1984,17-29 y.,West,1946,39.31497,38.99692,39.62175,40.00000,40.00000,40.00000,40.00000,40.00000,40.0,40.00000,40.00000
1984,30-45 y.,West,2498,36.82940,36.38835,37.28926,40.00000,40.00000,40.00000,40.00000,40.00000,40.0,40.00000,40.00000
1984,46-65 y.,West,1775,37.78655,37.35480,38.29674,40.00000,40.00000,40.00000,40.00000,40.00000,40.0,40.00000,40.00000
1984,66 and older,West,,,,,,,,,,,,
1985,0-16 y.,West,,,,,,,,,,,,
1985,17-29 y.,West,1698,38.77246,38.45797,39.10241,40.00000,40.00000,40.00000,40.00000,40.00000,40.0,40.00000,40.00000
1985,30-45 y.,West,2168,36.43016,36.00433,36.78350,39.00000,40.00000,40.00000,37.50000,41.50000,40.0,40.00000,40.00000
1985,46-65 y.,West,1607,36.86435,36.39720,37.30461,40.00000,40.00000,40.00000,40.00000,40.00000,40.0,40.00000,40.00000
1985,66 and older,West,,,,,,,,,,,,
1986,0-16 y.,West,,,,,,,,,,,,
1986,17-29 y.,West,1723,38.65821,38.37301,38.92727,39.00000,40.00000,40.00000,37.50000,41.50000,40.0,40.00000,40.00000
1986,30-45 y.,West,2000,36.51592,36.05553,36.86133,38.00000,40.00000,40.00000,35.00000,43.00000,40.0,40.00000,40.00000
1986,46-65 y.,West,1575,36.78724,36.33433,37.22001,38.00000,40.00000,40.00000,35.00000,43.00000,40.0,40.00000,40.00000
1986,66 and older,West,,,,,,,,,,,,
1987,0-16 y.,West,,,,,,,,,,,,
1987,17-29 y.,West,1741,38.24100,37.91526,38.57783,38.50000,40.00000,40.00000,36.25000,42.25000,40.0,40.00000,40.00000
1987,30-45 y.,West,1971,36.42141,35.98071,36.81918,38.00000,40.00000,40.00000,35.00000,43.00000,40.0,40.00000,40.00000
1987,46-65 y.,West,1580,36.61010,36.21970,37.03491,38.00000,40.00000,40.00000,35.00000,43.00000,40.0,40.00000,40.00000
1987,66 and older,West,,,,,,,,,,,,
1988,0-16 y.,West,,,,,,,,,,,,
1988,17-29 y.,West,1658,38.09975,37.78537,38.43982,38.00000,40.00000,40.00000,35.00000,43.00000,40.0,40.00000,40.00000
1988,30-45 y.,West,1842,36.14500,35.62781,36.54324,38.00000,40.00000,40.00000,35.00000,43.00000,40.0,40.00000,40.00000
1988,46-65 y.,West,1521,36.27215,35.84614,36.66755,38.00000,40.00000,40.00000,35.00000,43.00000,40.0,40.00000,40.00000
1988,66 and older,West,,,,,,,,,,,,
1989,0-16 y.,West,,,,,,,,,,,,
1989,17-29 y.,West,1678,37.63175,37.12188,38.02540,38.00000,40.00000,40.00000,35.00000,43.00000,40.0,40.00000,41.00000
1989,30-45 y.,West,1829,36.19065,35.75528,36.67137,37.00000,39.00000,40.00000,32.50000,44.50000,39.0,39.00000,39.00000
1989,46-65 y.,West,1473,36.10512,35.63605,36.54265,37.00000,39.00000,40.00000,32.50000,44.50000,39.0,39.00000,39.00000
1989,66 and older,West,,,,,,,,,,,,
1990,0-16 y.,West,,,,,,,,,,,,
1990,0-16 y.,East,,,,,,,,,,,,
1990,17-29 y.,West,1607,37.48350,37.10851,37.82040,37.50000,38.50000,40.00000,33.75000,43.75000,38.5,38.50000,38.50000
1990,17-29 y.,East,823,41.86250,41.53785,42.19235,40.00000,43.70000,43.80000,34.30000,49.50000,43.7,43.70000,43.90000
1990,30-45 y.,West,1825,35.40479,34.97104,35.85373,37.00000,38.50000,39.00000,34.00000,42.00000,38.5,38.50000,38.50000
1990,30-45 y.,East,1334,40.95070,40.61431,41.25937,40.00000,43.70000,43.80000,34.30000,49.50000,43.7,43.70000,43.90000
1990,46-65 y.,West,1433,35.33525,34.75559,35.93478,37.00000,38.50000,39.00000,34.00000,42.00000,38.5,38.50000,38.50000
1990,46-65 y.,East,993,40.23430,39.75952,40.72386,40.00000,43.70000,43.80000,34.30000,49.50000,43.7,43.70000,43.70000
1990,66 and older,West,,,,,,,,,,,,
1990,66 and older,East,,,,,,,,,,,,
1991,0-16 y.,West,,,,,,,,,,,,
1991,0-16 y.,East,,,,,,,,,,,,
1991,17-29 y.,West,1623,37.13247,36.76622,37.50947,37.50000,38.50000,40.00000,33.75000,43.75000,38.5,38.50000,38.50000
1991,17-29 y.,East,612,39.59150,39.10400,40.01395,40.00000,40.00000,40.00000,40.00000,40.00000,40.0,40.00000,40.00000
1991,30-45 y.,West,1882,34.70458,34.25561,35.20563,37.00000,38.00000,39.00000,34.00000,42.00000,38.0,37.50000,38.00000
1991,30-45 y.,East,1185,39.41392,39.10496,39.70516,40.00000,40.00000,40.00000,40.00000,40.00000,40.0,40.00000,40.00000
1991,46-65 y.,West,1446,35.11878,34.61157,35.64658,37.00000,38.50000,39.00000,34.00000,42.00000,38.5,38.50000,39.00000
1991,46-65 y.,East,742,38.63553,38.11771,39.07421,40.00000,40.00000,40.00000,40.00000,40.00000,40.0,40.00000,40.00000
1991,66 and older,West,,,,,,,,,,,,
1991,66 and older,East,,,,,,,,,,,,
1992,0-16 y.,West,,,,,,,,,,,,
1992,0-16 y.,East,,,,,,,,,,,,
1992,17-29 y.,West,1571,37.28805,36.85476,37.67057,37.50000,38.50000,39.50000,34.50000,42.50000,38.5,38.50000,38.50000
1992,17-29 y.,East,529,39.62678,39.22870,40.05393,40.00000,40.00000,40.00000,40.00000,40.00000,40.0,40.00000,40.00000
1992,30-45 y.,West,1864,34.40397,33.97631,34.93769,36.50000,38.00000,38.50000,33.50000,41.50000,38.0,38.00000,38.30500
1992,30-45 y.,East,1031,39.08911,38.79540,39.40630,40.00000,40.00000,40.00000,40.00000,40.00000,40.0,40.00000,40.00000
1992,46-65 y.,West,1374,34.96378,34.47421,35.46805,37.00000,38.00000,38.50000,34.75000,40.75000,38.0,38.00000,38.00000
1992,46-65 y.,East,586,38.57045,38.06835,39.05470,40.00000,40.00000,40.00000,40.00000,40.00000,40.0,40.00000,40.00000
1992,66 and older,West,,,,,,,,,,,,
1992,66 and older,East,,,,,,,,,,,,
1993,0-16 y.,West,,,,,,,,,,,,
1993,0-16 y.,East,,,,,,,,,,,,
1993,17-29 y.,West,1503,37.00727,36.66350,37.39159,37.50000,38.50000,39.00000,35.25000,41.25000,38.5,38.50000,39.00000
1993,17-29 y.,East,491,39.36420,38.87082,39.88254,40.00000,40.00000,40.00000,40.00000,40.00000,40.0,40.00000,40.00000
1993,30-45 y.,West,1860,34.35375,33.90573,34.73524,36.00000,38.00000,38.50000,32.25000,42.25000,38.0,38.00000,38.50000
1993,30-45 y.,East,975,38.64216,38.26309,39.09450,40.00000,40.00000,40.00000,40.00000,40.00000,40.0,40.00000,40.00000
1993,46-65 y.,West,1357,34.88904,34.51035,35.45433,36.00000,38.00000,38.50000,32.25000,42.25000,38.0,38.00000,38.50000
1993,46-65 y.,East,503,38.79462,38.36132,39.23548,40.00000,40.00000,40.00000,40.00000,40.00000,40.0,40.00000,40.00000
1993,66 and older,West,,,,,,,,,,,,
1993,66 and older,East,,,,,,,,,,,,
1994,0-16 y.,West,,,,,,,,,,,,
1994,0-16 y.,East,,,,,,,,,,,,
1994,17-29 y.,West,1387,37.06894,36.66758,37.43037,37.50000,38.50000,39.50000,34.50000,42.50000,38.5,38.50000,38.50000
1994,17-29 y.,East,479,38.86492,38.43980,39.31545,40.00000,40.00000,40.00000,40.00000,40.00000,40.0,40.00000,40.00000
1994,30-45 y.,West,1822,34.11654,33.63842,34.60004,35.00000,37.50000,38.50000,29.75000,43.75000,37.5,37.00000,37.50000
1994,30-45 y.,East,935,38.55078,38.22523,38.92150,40.00000,40.00000,40.00000,40.00000,40.00000,40.0,40.00000,40.00000
1994,46-65 y.,West,1297,34.95413,34.48803,35.50775,36.00000,38.00000,38.50000,32.25000,42.25000,38.0,38.00000,38.00000
1994,46-65 y.,East,517,38.17102,37.65857,38.72056,40.00000,40.00000,40.00000,40.00000,40.00000,40.0,40.00000,40.00000
1994,66 and older,West,,,,,,,,,,,,
1994,66 and older,East,,,,,,,,,,,,
1995,0-16 y.,West,,,,,,,,,,,,
1995,0-16 y.,East,,,,,,,,,,,,
1995,17-29 y.,West,1406,36.48421,36.09801,36.92763,37.50000,38.50000,39.50000,34.50000,42.50000,38.5,38.50000,39.00000
1995,17-29 y.,East,477,38.38034,37.79753,38.96081,39.00000,40.00000,40.00000,37.50000,41.50000,40.0,40.00000,40.00000
1995,30-45 y.,West,2023,34.04303,33.59206,34.44050,35.00000,37.50000,38.50000,29.75000,43.75000,37.5,37.00000,37.50000
1995,30-45 y.,East,921,37.89373,37.47034,38.42809,39.00000,40.00000,40.00000,37.50000,41.50000,40.0,40.00000,40.00000
1995,46-65 y.,West,1343,34.32921,33.79755,35.01578,35.00000,38.00000,38.50000,29.75000,43.75000,38.0,38.00000,38.50000
1995,46-65 y.,East,541,37.63663,36.98400,38.31593,39.00000,40.00000,40.00000,37.50000,41.50000,40.0,40.00000,40.00000
1995,66 and older,West,,,,,,,,,,,,
1995,66 and older,East,,,,,,,,,,,,
1996,0-16 y.,West,,,,,,,,,,,,
1996,0-16 y.,East,,,,,,,,,,,,
1996,17-29 y.,West,1273,35.85646,35.32131,36.44703,37.00000,38.50000,39.00000,34.00000,42.00000,38.5,38.50000,39.00000
1996,17-29 y.,East,463,38.60022,38.10427,39.16975,39.00000,40.00000,40.00000,37.50000,41.50000,40.0,40.00000,40.00000
1996,30-45 y.,West,2060,34.14224,33.61925,34.51660,35.00000,37.50000,38.50000,29.75000,43.75000,37.5,37.00000,37.50000
1996,30-45 y.,East,878,38.16251,37.80852,38.57381,39.00000,40.00000,40.00000,37.50000,41.50000,40.0,40.00000,40.00000
1996,46-65 y.,West,1290,34.28611,33.73389,34.89872,35.00000,37.50000,38.50000,29.75000,43.75000,37.5,37.00000,37.50000
1996,46-65 y.,East,517,37.80715,37.30688,38.38920,38.50000,40.00000,40.00000,36.25000,42.25000,40.0,40.00000,40.00000
1996,66 and older,West,,,,,,,,,,,,
1996,66 and older,East,,,,,,,,,,,,
1997,0-16 y.,West,,,,,,,,,,,,
1997,0-16 y.,East,,,,,,,,,,,,
1997,17-29 y.,West,1178,36.44617,35.78810,37.03146,37.50000,38.50000,40.00000,33.75000,43.75000,38.5,38.50000,38.50000
1997,17-29 y.,East,436,38.14991,37.48484,39.01969,39.00000,40.00000,40.00000,37.50000,41.50000,40.0,40.00000,40.00000
1997,30-45 y.,West,2000,34.26407,33.84733,34.71427,35.00000,38.00000,39.00000,29.00000,45.00000,38.0,38.00000,38.50000
