year,regtyp,sex,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
1985,Urban regions,male,2716,39.731993062090496,39.65589089076891,39.80809523341208,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0
1985,Urban regions,female,1712,33.72162226539112,33.491079809492255,33.95216472128998,25.0,40.0,40.0,2.5,62.5,40.0,40.0,40.0
1985,Rural regions,male,639,39.93601049241713,39.77869373328685,40.093327251547414,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0
1985,Rural regions,female,417,32.93280206043987,32.45537624213364,33.4102278787461,25.0,40.0,40.0,3.0,50.0,40.0,40.0,40.0
1986,Urban regions,male,2614,39.52605148846023,39.46061168285365,39.59149129406681,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0
1986,Urban regions,female,1650,33.72917648800001,33.506250224010735,33.95210275198928,26.0,40.0,40.0,5.0,60.0,40.0,40.0,40.0
1986,Rural regions,male,622,40.01707543925747,39.89104641778377,40.143104460731166,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0
1986,Rural regions,female,420,33.55787412257385,33.09509718147838,34.02065106366932,25.0,40.0,40.0,4.0,54.0,40.0,40.0,41.0
1987,Urban regions,male,2590,39.390597995201404,39.310061577937134,39.47113441246567,38.5,40.0,40.0,36.25,42.25,40.0,40.0,40.0
1987,Urban regions,female,1640,33.60761142196231,33.38257720527011,33.83264563865451,25.0,39.0,40.0,2.5,62.5,39.0,38.0,39.5
1987,Rural regions,male,633,39.83515970165261,39.71060120988844,39.959718193416776,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0
1987,Rural regions,female,436,32.63664084463079,32.156169166994204,33.11711252226738,24.0,38.5,40.0,1.0,64.0,38.5,37.0,39.0
1988,Urban regions,male,2487,39.08230189351094,39.009980588746245,39.15462319827563,38.5,40.0,40.0,36.25,42.25,40.0,40.0,40.0
1988,Urban regions,female,1578,33.10603729055505,32.86614498429153,33.34592959681857,25.0,38.5,40.0,2.5,62.5,38.5,38.0,38.5
1988,Rural regions,male,571,39.90472423106947,39.74207211819688,40.067376343942065,39.0,40.0,40.0,37.5,41.5,40.0,40.0,40.0
1988,Rural regions,female,395,32.616887424405654,32.13463394196707,33.09914090684424,25.0,38.0,40.0,5.0,50.0,38.0,37.4875,38.0
1989,Urban regions,male,2442,38.73462825466686,38.6588678963179,38.81038861301582,38.0,40.0,40.0,35.0,43.0,40.0,40.0,40.0
1989,Urban regions,female,1587,32.94364121990022,32.7093070330101,33.177975406790345,25.0,38.0,40.0,2.5,60.0,38.0,37.5,38.0
1989,Rural regions,male,576,40.045912920913494,39.85242731817771,40.23939852364928,38.5,40.0,40.0,36.25,42.25,40.0,40.0,40.0
1989,Rural regions,female,386,32.99717635489122,32.46143933196339,33.53291337781904,24.0,38.0,40.0,5.0,64.0,38.0,37.0,38.0
1990,Urban regions,male,2855,38.87565201253286,38.796933702814584,38.95437032225114,37.5,39.0,40.0,33.75,43.75,39.0,39.0,39.5
1990,Urban regions,female,2100,33.690692199187424,33.48976141043042,33.89162298794443,27.0,38.5,39.5,8.25,58.25,38.5,38.5,39.0
1990,Rural regions,male,1636,40.94406504768156,40.83945493419214,41.04867516117098,38.5,40.0,43.79999923706055,30.55000114440918,51.74999809265137,40.0,40.0,40.0
1990,Rural regions,female,1379,35.05199693636544,34.80067338680949,35.30332048592139,30.0,39.0,42.711980957475724,10.932028563786414,60.0,39.0,39.0,39.5
1991,Urban regions,male,2735,38.45277236281662,38.37432706219763,38.531217663435605,37.5,38.5,40.0,33.75,43.75,38.5,38.5,38.5
1991,Urban regions,female,2066,32.87227610474876,32.66991538617872,33.07463682331879,25.0,38.0,39.0,4.0,56.0,38.0,38.0,38.5
1991,Rural regions,male,1460,39.4848933380485,39.36465030956233,39.60513636653467,38.5,40.0,40.0,36.25,42.25,40.0,40.0,40.0
1991,Rural regions,female,1181,33.753894248383325,33.491632875754,34.01615562101265,28.0,38.5,40.0,10.0,57.8,38.5,38.5,38.5
1992,Urban regions,male,2590,38.32155528711924,38.2433082413344,38.39980233290408,37.5,38.5,40.0,33.75,43.75,38.5,38.5,38.5
1992,Urban regions,female,1954,32.56619117903727,32.35310985689181,32.779272501182724,25.0,37.5,39.0,4.0,60.0,37.5,37.0,37.5
1992,Rural regions,male,1309,39.27277919030817,39.15574544024684,39.3898129403695,38.5,40.0,40.0,36.25,42.25,40.0,40.0,40.0
1992,Rural regions,female,1032,33.37624742521011,33.099049354443295,33.653445495976925,27.0,38.5,40.0,7.5,56.0,38.5,38.5,39.0
1993,Urban regions,male,2540,38.171037518310385,38.101993419303064,38.240081617317706,37.5,38.5,40.0,33.75,43.75,38.5,38.5,38.5
1993,Urban regions,female,1924,32.44307628034882,32.23162392169884,32.6545286389988,25.0,37.5,38.71432532860759,4.42851200708861,59.28581332151899,37.5,37.0,37.5
1993,Rural regions,male,1225,38.99804676209918,38.88729925054962,39.10879427364874,38.0,40.0,40.0,35.0,43.0,40.0,40.0,41.0
1993,Rural regions,female,1006,33.323183399955944,33.04337721389559,33.6029895860163,26.836526921188998,38.5,40.0,7.091317302972495,56.0,38.5,38.5,39.0
1994,Urban regions,male,2392,38.228562601353175,38.14437542840606,38.31274977430029,37.5,38.5,40.0,33.75,43.75,38.5,38.5,38.5
1994,Urban regions,female,1870,32.077036988123524,31.862244646699015,32.29182932954803,24.870270497744798,37.5,38.5,4.425676244361995,58.9445942533828,37.5,37.5,37.5
1994,Rural regions,male,1196,38.944551949153016,38.827770323231476,39.061333575074556,38.0,40.0,40.0,35.0,43.0,40.0,40.0,40.0
1994,Rural regions,female,985,32.81938542881562,32.52220652102192,33.11656433660932,25.0,38.0,40.0,2.5,50.0,38.0,37.5,38.5
1995,Urban regions,male,2496,37.71424904470964,37.60869145941351,37.81980663000577,37.5,38.5,40.0,33.75,43.75,38.5,38.5,38.5
