year,sampreg,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
1984,West,6238,37.811604706799116,37.70869204361296,37.91451736998527,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0
1985,West,5484,37.252416538917366,37.15219046684666,37.35264261098807,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0
1986,West,5306,37.2415840806443,37.14652811292242,37.336640048366185,39.0,40.0,40.0,37.5,41.5,40.0,40.0,40.0
1987,West,5299,37.01210963796977,36.912465930707185,37.11175334523236,38.0,40.0,40.0,35.0,43.0,40.0,40.0,40.0
1988,West,5031,36.72544399640508,36.62244378792307,36.8284442048871,38.0,40.0,40.0,35.0,43.0,40.0,40.0,40.0
1989,West,4991,36.5537525413509,36.44896374355099,36.658541339150815,37.5,39.0,40.0,33.75,43.75,39.0,39.0,39.0
1990,West,4870,35.98359023863743,35.87766295655874,36.08951752071613,37.5,38.5,39.0,35.25,41.25,38.5,38.5,38.5
1990,East,3163,40.887927674394064,40.781542574109395,40.99431277467873,40.0,43.70000076293945,43.79999923706055,34.30000114440918,49.49999809265137,43.7,43.70000076293945,43.70000076293945
1991,West,4954,35.52595547770868,35.41712943428391,35.63478152113345,37.0,38.5,39.0,34.0,42.0,38.5,38.5,38.5
1991,East,2543,39.154134289341236,39.050234732177366,39.25803384650511,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0
1992,West,4810,35.38136514672591,35.27002540176325,35.492704891688575,37.0,38.0,39.0,34.0,42.0,38.0,37.5,38.0
1992,East,2147,39.04646376687141,38.94648807917901,39.14643945456381,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0
1993,West,4726,35.213026018597304,35.104628671861036,35.32142336533357,37.0,38.0,38.5,34.75,40.75,38.0,38.0,38.0
1993,East,1969,38.88405630624934,38.77637933633366,38.99173327616502,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0
1994,West,4512,35.09286192284293,34.97669911394457,35.20902473174129,36.0,38.0,38.5,32.25,42.25,38.0,38.0,38.0
1994,East,1931,38.523147082301975,38.40889336576681,38.63740079883714,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0
1995,West,4781,34.630533274619,34.51096682433187,34.75009972490613,36.0,38.0,38.542499732450935,32.1862504013236,42.35624933112734,38.0,38.0,38.0
1995,East,1939,37.938376728560605,37.80370022659977,38.07305323052144,39.0,40.0,40.0,37.5,41.5,40.0,40.0,40.0
1996,West,4625,34.56851050906206,34.45136790533678,34.685653112787335,35.0,38.0,38.5,29.75,43.75,38.0,38.0,38.0
1996,East,1860,38.146183067986875,38.023294363448215,38.269071772525535,39.0,40.0,40.0,37.5,41.5,40.0,40.0,40.0
1997,West,4389,34.722184306161765,34.60234991339774,34.84201869892579,35.0,38.0,39.0,29.0,45.0,38.0,38.0,38.0
1997,East,1751,37.97301949214567,37.84368374437914,38.10235523991219,38.5,40.0,40.0,36.25,42.25,40.0,40.0,40.0
1998,West,4899,34.58563009234522,34.470040358005065,34.701219826685374,35.0,38.0,39.0,29.0,45.0,38.0,38.0,38.0
1998,East,1835,37.448746076052274,37.30115168642192,37.59634046568263,38.0,40.0,40.0,35.0,43.0,40.0,40.0,40.0
1999,West,4831,34.40026873173384,34.27753824139095,34.52299922207673,35.0,38.0,39.0,29.0,45.0,38.0,38.0,38.0
1999,East,1870,37.57109457539163,37.43268331385964,37.709505836923626,38.0,40.0,40.0,35.0,43.0,40.0,40.0,40.0
2000,West,8433,34.439424462768265,34.34792911061164,34.53091981492489,35.0,38.0,40.0,27.5,47.5,38.0,38.0,38.0
2000,East,2690,37.264089544446925,37.13803043492157,37.39014865397228,38.0,40.0,40.0,35.0,43.0,40.0,40.0,40.0
2001,West,7896,34.051597056789305,33.951569767240535,34.151624346338075,35.0,38.0,40.0,27.5,47.5,38.0,38.0,38.0
2001,East,2530,36.69137530415424,36.54943324114222,36.833317367166266,37.58116780413073,40.0,40.0,33.95291951032682,43.62824829380391,40.0,40.0,40.0
2002,West,8099,34.018183328393775,33.91897158600506,34.11739507078249,35.0,38.0,40.0,27.5,47.5,38.0,38.0,38.0
2002,East,2424,37.05344996457784,36.922520196732144,37.18437973242353,38.0,40.0,40.0,35.0,43.0,40.0,40.0,40.0
2003,West,7896,33.55526516298716,33.45142109249623,33.65910923347809,30.0,38.0,39.5,15.75,53.75,38.0,38.0,38.0
2003,East,2368,36.3489181108719,36.19738536230829,36.50045085943551,36.0,40.0,40.0,30.0,46.0,40.0,40.0,40.0
2004,West,7302,34.00592587788201,33.90102591164847,34.110825844115546,34.0,38.0,40.0,25.0,49.0,38.0,38.0,38.0
2004,East,2245,36.12736918906811,35.96268228202655,36.292056096109675,35.0,40.0,40.0,27.5,47.5,40.0,40.0,40.0
2005,West,6973,34.3035707488943,34.19640427994362,34.41073721784498,33.0,38.5,40.0,22.5,50.5,38.5,38.5,39.0
2005,East,2102,36.51100005727221,36.3556047240879,36.66639539045653,35.0,40.0,40.0,27.5,47.5,40.0,40.0,40.0
2006,West,7282,34.055616946754476,33.95106975423465,34.1601641392743,30.0,38.5,40.0,15.0,55.0,38.5,38.5,38.5
2006,East,2191,36.56810181516806,36.41858012257702,36.71762350775911,35.0,40.0,40.0,27.5,47.5,40.0,40.0,40.0
2007,West,6968,34.121374500957664,34.01113606164301,34.23161294027232,30.0,38.5,40.0,15.0,55.0,38.5,38.5,38.5
2007,East,2170,36.57094518210311,36.408949285325306,36.73294107888091,35.0,40.0,40.0,27.5,47.5,40.0,40.0,40.0
2008,West,6596,34.19624588124148,34.084138022339225,34.30835374014374,31.0,38.5,40.0,17.5,53.5,38.5,38.5,38.5
2008,East,2066,36.52238539905715,36.35024694073367,36.69452385738063,35.336993556033335,40.0,40.0,28.342483890083336,46.99450966595,40.0,40.0,40.0
2009,West,6140,34.1169281805148,33.99757876983581,34.23627759119378,31.0,38.5,40.0,17.5,53.5,38.5,38.5,38.5
2009,East,2008,36.57341993398053,36.40493032419021,36.74190954377085,36.0,40.0,40.0,30.0,46.0,40.0,40.0,40.0
2010,West,8874,33.68134263214631,33.57810206160738,33.78458320268524,30.0,38.5,40.0,15.0,55.0,38.5,38.5,38.5
2010,East,2537,36.10952125672658,35.94796263014149,36.27107988331167,35.0,40.0,40.0,27.5,47.5,40.0,40.0,40.0
2011,West,10850,34.0069951168776,33.916973671406545,34.09701656234865,30.0,38.5,40.0,15.0,55.0,38.5,38.5,38.5
2011,East,2994,36.292143599700715,36.14510598975987,36.43918120964156,35.0,40.0,40.0,27.5,47.5,40.0,40.0,40.0
2012,West,10707,34.033782345211534,33.94177446701889,34.12579022340418,30.0,38.5,40.0,15.0,55.0,38.5,38.0,38.5
2012,East,2931,36.02253940118553,35.87567056000338,36.16940824236769,35.0,40.0,40.0,27.5,47.5,40.0,40.0,40.0
2013,West,12577,34.07467184097834,33.99090035318662,34.15844332877006,30.0,38.5,40.0,15.0,55.0,38.5,38.0,38.5
2013,East,2972,35.88706342664344,35.74503020208051,36.029096651206366,35.0,40.0,40.0,27.5,47.5,40.0,40.0,40.0
