year,pgisced97,plb0418,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,Pre-primary Level,Next year,0.24392,47,164,0.17800,0.30985
1984,Pre-primary Level,In the next 2 to 5 years,0.40037,76,164,0.32515,0.47559
1984,Pre-primary Level,"In the distant future, in more than five years",0.21393,41,164,0.15098,0.27689
1984,Primary Level,As soon as possible,0.12910,102,102,0.06371,0.19450
1984,Lower Secondary Level,As soon as possible,0.03876,186,602,0.02333,0.05420
1984,Lower Secondary Level,Next year,0.02580,99,602,0.01313,0.03848
1984,Lower Secondary Level,In the next 2 to 5 years,0.05166,197,602,0.03396,0.06935
1984,Lower Secondary Level,"In the distant future, in more than five years",0.02875,120,602,0.01539,0.04210
1984,Upper Secondary Level,As soon as possible,0.03702,259,882,0.02455,0.04949
1984,Upper Secondary Level,Next year,0.02018,122,882,0.01089,0.02946
1984,Upper Secondary Level,In the next 2 to 5 years,0.04830,294,882,0.03414,0.06246
1984,Upper Secondary Level,"In the distant future, in more than five years",0.03381,207,882,0.02187,0.04574
1985,Pre-primary Level,Next year,0.19674,40,119,0.12501,0.26846
1985,Pre-primary Level,In the next 2 to 5 years,0.22724,44,119,0.15163,0.30285
1985,Pre-primary Level,"In the distant future, in more than five years",0.20135,35,119,0.12899,0.27370
1985,Primary Level,As soon as possible,0.13579,91,91,0.06502,0.20657
1985,Lower Secondary Level,As soon as possible,0.04163,181,456,0.02328,0.05999
1985,Lower Secondary Level,Next year,0.03397,110,456,0.01732,0.05061
1985,Lower Secondary Level,In the next 2 to 5 years,0.03158,108,456,0.01551,0.04765
1985,Lower Secondary Level,"In the distant future, in more than five years",0.01460,57,456,0.00358,0.02562
1985,Upper Secondary Level,As soon as possible,0.04198,243,632,0.02633,0.05763
1985,Upper Secondary Level,Next year,0.01880,109,632,0.00820,0.02939
1985,Upper Secondary Level,In the next 2 to 5 years,0.03280,195,632,0.01890,0.04669
1985,Upper Secondary Level,"In the distant future, in more than five years",0.01423,85,632,0.00499,0.02347
