year,age_gr,plb0418,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,17-29 y.,As soon as possible,0.07467,295,1195,0.05976,0.08958
1984,17-29 y.,Next year,0.07057,229,1195,0.05605,0.08510
1984,17-29 y.,In the next 2 to 5 years,0.14085,441,1195,0.12112,0.16058
1984,17-29 y.,"In the distant future, in more than five years",0.06957,230,1195,0.05514,0.08400
1984,30-45 y.,As soon as possible,0.04579,201,644,0.02963,0.06195
1984,30-45 y.,Next year,0.01674,62,644,0.00682,0.02666
1984,30-45 y.,In the next 2 to 5 years,0.05231,185,644,0.03510,0.06951
1984,30-45 y.,"In the distant future, in more than five years",0.05569,196,644,0.03797,0.07342
1984,46-65 y.,As soon as possible,0.02463,118,190,0.00253,0.04673
1984,46-65 y.,Next year,0.00891,32,190,-0.00449,0.02232
1984,46-65 y.,In the next 2 to 5 years,0.01166,40,190,-0.00364,0.02696
1985,17-29 y.,As soon as possible,0.07221,265,934,0.05560,0.08882
1985,17-29 y.,Next year,0.07841,230,934,0.06116,0.09566
1985,17-29 y.,In the next 2 to 5 years,0.09882,304,934,0.07967,0.11796
1985,17-29 y.,"In the distant future, in more than five years",0.04347,135,934,0.03039,0.05656
1985,30-45 y.,As soon as possible,0.05242,192,454,0.03189,0.07294
1985,30-45 y.,Next year,0.01875,65,454,0.00626,0.03124
1985,30-45 y.,In the next 2 to 5 years,0.03662,121,454,0.01932,0.05392
1985,30-45 y.,"In the distant future, in more than five years",0.02373,76,454,0.00971,0.03775
1985,46-65 y.,As soon as possible,0.03274,130,130,0.00203,0.06345
1986,17-29 y.,As soon as possible,0.06428,219,895,0.04821,0.08036
1986,17-29 y.,Next year,0.06276,196,895,0.04686,0.07865
1986,17-29 y.,In the next 2 to 5 years,0.09676,318,895,0.07738,0.11614
1986,17-29 y.,"In the distant future, in more than five years",0.05497,162,895,0.04003,0.06991
1986,30-45 y.,As soon as possible,0.04959,162,454,0.02960,0.06958
1986,30-45 y.,Next year,0.01523,54,454,0.00395,0.02651
1986,30-45 y.,In the next 2 to 5 years,0.04036,131,454,0.02224,0.05848
1986,30-45 y.,"In the distant future, in more than five years",0.03664,107,454,0.01934,0.05394
1986,46-65 y.,As soon as possible,0.03036,126,126,0.00028,0.06044
1987,17-29 y.,As soon as possible,0.05987,205,883,0.04422,0.07553
1987,17-29 y.,Next year,0.06918,232,883,0.05244,0.08593
1987,17-29 y.,In the next 2 to 5 years,0.09958,309,883,0.07982,0.11935
1987,17-29 y.,"In the distant future, in more than five years",0.04412,137,883,0.03056,0.05767
1987,30-45 y.,As soon as possible,0.04695,152,459,0.02758,0.06633
1987,30-45 y.,Next year,0.02348,76,459,0.00961,0.03734
1987,30-45 y.,In the next 2 to 5 years,0.04514,134,459,0.02613,0.06416
1987,30-45 y.,"In the distant future, in more than five years",0.03404,97,459,0.01743,0.05064
1987,46-65 y.,As soon as possible,0.03430,140,214,0.00986,0.05874
1987,46-65 y.,Next year,0.01299,41,214,-0.00222,0.02819
1987,46-65 y.,In the next 2 to 5 years,0.01097,33,214,-0.00302,0.02495
1988,17-29 y.,As soon as possible,0.05378,192,855,0.03865,0.06891
1988,17-29 y.,Next year,0.07276,202,855,0.05534,0.09018
1988,17-29 y.,In the next 2 to 5 years,0.11764,333,855,0.09603,0.13925
1988,17-29 y.,"In the distant future, in more than five years",0.04605,128,855,0.03200,0.06011
1988,30-45 y.,As soon as possible,0.04303,129,433,0.02389,0.06216
1988,30-45 y.,Next year,0.03449,92,433,0.01728,0.05170
1988,30-45 y.,In the next 2 to 5 years,0.04515,132,433,0.02557,0.06473
1988,30-45 y.,"In the distant future, in more than five years",0.02797,80,433,0.01242,0.04352
1988,46-65 y.,As soon as possible,0.03232,122,206,0.00811,0.05653
1988,46-65 y.,Next year,0.01440,51,206,-0.00191,0.03071
1988,46-65 y.,In the next 2 to 5 years,0.01000,33,206,-0.00362,0.02362
1989,17-29 y.,As soon as possible,0.04329,155,778,0.02898,0.05760
1989,17-29 y.,Next year,0.05979,163,778,0.04312,0.07646
1989,17-29 y.,In the next 2 to 5 years,0.11555,323,778,0.09307,0.13802
1989,17-29 y.,"In the distant future, in more than five years",0.04853,137,778,0.03342,0.06364
1989,30-45 y.,As soon as possible,0.03541,97,362,0.01634,0.05447
1989,30-45 y.,Next year,0.02247,66,362,0.00718,0.03776
1989,30-45 y.,In the next 2 to 5 years,0.04606,134,362,0.02443,0.06768
1989,30-45 y.,"In the distant future, in more than five years",0.02622,65,362,0.00974,0.04271
1989,46-65 y.,As soon as possible,0.02888,110,142,0.00124,0.05652
1989,46-65 y.,Next year,0.00867,32,142,-0.00663,0.02397
1990,17-29 y.,As soon as possible,0.04207,188,970,0.02943,0.05470
1990,17-29 y.,Next year,0.06684,262,970,0.05112,0.08257
1990,17-29 y.,In the next 2 to 5 years,0.09938,361,970,0.08054,0.11821
1990,17-29 y.,"In the distant future, in more than five years",0.04614,159,970,0.03293,0.05935
1990,30-45 y.,As soon as possible,0.02756,113,390,0.01129,0.04383
1990,30-45 y.,Next year,0.02051,88,390,0.00643,0.03460
1990,30-45 y.,In the next 2 to 5 years,0.03220,112,390,0.01465,0.04974
1990,30-45 y.,"In the distant future, in more than five years",0.02300,77,390,0.00810,0.03789
1990,46-65 y.,As soon as possible,0.02106,97,177,-0.00015,0.04227
1990,46-65 y.,Next year,0.00966,47,177,-0.00479,0.02411
1990,46-65 y.,In the next 2 to 5 years,0.00862,33,177,-0.00504,0.02227
1991,17-29 y.,As soon as possible,0.04910,211,937,0.03525,0.06294
1991,17-29 y.,Next year,0.05841,223,937,0.04339,0.07344
1991,17-29 y.,In the next 2 to 5 years,0.09698,354,937,0.07802,0.11593
1991,17-29 y.,"In the distant future, in more than five years",0.04150,149,937,0.02872,0.05427
1991,30-45 y.,As soon as possible,0.03696,187,504,0.02047,0.05345
1991,30-45 y.,Next year,0.02537,112,504,0.01163,0.03912
1991,30-45 y.,In the next 2 to 5 years,0.03756,134,504,0.02095,0.05418
1991,30-45 y.,"In the distant future, in more than five years",0.02118,71,504,0.00860,0.03377
1991,46-65 y.,As soon as possible,0.02726,142,194,0.00429,0.05023
1991,46-65 y.,Next year,0.01193,52,194,-0.00339,0.02724
1992,17-29 y.,As soon as possible,0.05997,235,1009,0.04531,0.07462
1992,17-29 y.,Next year,0.06821,235,1009,0.05265,0.08378
1992,17-29 y.,In the next 2 to 5 years,0.10901,400,1009,0.08977,0.12825
1992,17-29 y.,"In the distant future, in more than five years",0.03892,139,1009,0.02698,0.05086
1992,30-45 y.,As soon as possible,0.04942,249,622,0.03238,0.06647
1992,30-45 y.,Next year,0.03319,141,622,0.01910,0.04728
1992,30-45 y.,In the next 2 to 5 years,0.04188,163,622,0.02612,0.05764
1992,30-45 y.,"In the distant future, in more than five years",0.01966,69,622,0.00874,0.03058
1992,46-65 y.,As soon as possible,0.03748,198,258,0.01426,0.06070
1992,46-65 y.,Next year,0.01405,60,258,-0.00034,0.02843
1993,17-29 y.,As soon as possible,0.07022,260,1039,0.05467,0.08576
1993,17-29 y.,Next year,0.06190,221,1039,0.04724,0.07656
1993,17-29 y.,In the next 2 to 5 years,0.11956,406,1039,0.09982,0.13930
1993,17-29 y.,"In the distant future, in more than five years",0.04087,152,1039,0.02882,0.05291
1993,30-45 y.,As soon as possible,0.05299,263,594,0.03496,0.07102
1993,30-45 y.,Next year,0.02491,118,594,0.01237,0.03746
1993,30-45 y.,In the next 2 to 5 years,0.04414,151,594,0.02761,0.06068
1993,30-45 y.,"In the distant future, in more than five years",0.01648,62,594,0.00623,0.02672
1993,46-65 y.,As soon as possible,0.04118,195,263,0.01712,0.06524
1993,46-65 y.,Next year,0.01772,68,263,0.00174,0.03369
1994,17-29 y.,As soon as possible,0.07992,290,1037,0.06341,0.09643
1994,17-29 y.,Next year,0.07504,231,1037,0.05900,0.09108
1994,17-29 y.,In the next 2 to 5 years,0.12181,383,1037,0.10190,0.14173
1994,17-29 y.,"In the distant future, in more than five years",0.03878,133,1037,0.02702,0.05054
1994,30-45 y.,As soon as possible,0.05907,288,660,0.04107,0.07708
1994,30-45 y.,Next year,0.03109,133,660,0.01784,0.04435
1994,30-45 y.,In the next 2 to 5 years,0.04265,166,660,0.02722,0.05808
1994,30-45 y.,"In the distant future, in more than five years",0.01934,73,660,0.00883,0.02986
1994,46-65 y.,As soon as possible,0.04557,207,273,0.02079,0.07036
1994,46-65 y.,Next year,0.01778,66,273,0.00208,0.03349
1995,17-29 y.,As soon as possible,0.06903,224,1059,0.05376,0.08431
