year,age_gr,bula_h,plb0418,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,17-29 y.,Lower Saxony,Next year,0.09798,31,89,0.03586,0.16009
1984,17-29 y.,Lower Saxony,In the next 2 to 5 years,0.18118,58,89,0.10070,0.26165
1984,17-29 y.,North Rhine-Westphalia,As soon as possible,0.08004,93,379,0.05268,0.10739
1984,17-29 y.,North Rhine-Westphalia,Next year,0.07797,70,379,0.05094,0.10501
1984,17-29 y.,North Rhine-Westphalia,In the next 2 to 5 years,0.16635,147,379,0.12881,0.20389
1984,17-29 y.,North Rhine-Westphalia,"In the distant future, in more than five years",0.06743,69,379,0.04215,0.09271
1984,17-29 y.,Hesse,As soon as possible,0.09804,42,92,0.03694,0.15913
1984,17-29 y.,Hesse,In the next 2 to 5 years,0.15013,50,92,0.07674,0.22353
1984,17-29 y.,Baden-Wuerttemberg,As soon as possible,0.05244,40,186,0.02032,0.08456
1984,17-29 y.,Baden-Wuerttemberg,Next year,0.06130,42,186,0.02673,0.09587
1984,17-29 y.,Baden-Wuerttemberg,In the next 2 to 5 years,0.12268,63,186,0.07540,0.16995
1984,17-29 y.,Baden-Wuerttemberg,"In the distant future, in more than five years",0.07511,41,186,0.03713,0.11309
1984,17-29 y.,Bavaria,As soon as possible,0.06933,43,174,0.03148,0.10718
1984,17-29 y.,Bavaria,Next year,0.05376,31,174,0.02015,0.08737
1984,17-29 y.,Bavaria,In the next 2 to 5 years,0.10383,61,174,0.05837,0.14928
1984,17-29 y.,Bavaria,"In the distant future, in more than five years",0.06936,39,174,0.03150,0.10721
1984,30-45 y.,North Rhine-Westphalia,As soon as possible,0.05444,66,177,0.02092,0.08796
1984,30-45 y.,North Rhine-Westphalia,In the next 2 to 5 years,0.05757,55,177,0.02316,0.09199
1984,30-45 y.,North Rhine-Westphalia,"In the distant future, in more than five years",0.05991,56,177,0.02485,0.09498
1984,30-45 y.,Baden-Wuerttemberg,As soon as possible,0.03701,31,71,-0.00722,0.08123
1984,30-45 y.,Baden-Wuerttemberg,"In the distant future, in more than five years",0.06409,40,71,0.00671,0.12146
1984,30-45 y.,Bavaria,In the next 2 to 5 years,0.06742,43,78,0.01142,0.12343
1984,30-45 y.,Bavaria,"In the distant future, in more than five years",0.05835,35,78,0.00599,0.11071
1985,17-29 y.,Lower Saxony,As soon as possible,0.12049,39,109,0.05909,0.18188
1985,17-29 y.,Lower Saxony,Next year,0.11351,32,109,0.05368,0.17334
1985,17-29 y.,Lower Saxony,In the next 2 to 5 years,0.11928,38,109,0.05815,0.18041
1985,17-29 y.,North Rhine-Westphalia,As soon as possible,0.06802,67,264,0.03759,0.09845
1985,17-29 y.,North Rhine-Westphalia,Next year,0.08894,67,264,0.05454,0.12334
1985,17-29 y.,North Rhine-Westphalia,In the next 2 to 5 years,0.10439,87,264,0.06744,0.14134
1985,17-29 y.,North Rhine-Westphalia,"In the distant future, in more than five years",0.04843,43,264,0.02249,0.07438
1985,17-29 y.,Hesse,As soon as possible,0.07131,33,68,0.00969,0.13293
1985,17-29 y.,Hesse,In the next 2 to 5 years,0.10106,35,68,0.02889,0.17323
1985,17-29 y.,Baden-Wuerttemberg,As soon as possible,0.04551,39,136,0.01035,0.08066
1985,17-29 y.,Baden-Wuerttemberg,Next year,0.08012,46,136,0.03432,0.12591
1985,17-29 y.,Baden-Wuerttemberg,In the next 2 to 5 years,0.09875,51,136,0.04843,0.14908
1985,17-29 y.,Bavaria,As soon as possible,0.05863,37,118,0.01606,0.10120
1985,17-29 y.,Bavaria,Next year,0.06118,35,118,0.01775,0.10461
