year,age_gr,quintil_oecd,plb0418,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,17-29 y.,1st Quintile,As soon as possible,0.14451,126,390,0.10957,0.17945
1984,17-29 y.,1st Quintile,Next year,0.09545,70,390,0.06625,0.12465
1984,17-29 y.,1st Quintile,In the next 2 to 5 years,0.20921,137,390,0.16879,0.24963
1984,17-29 y.,1st Quintile,"In the distant future, in more than five years",0.06494,57,390,0.04045,0.08942
1984,17-29 y.,2nd Quintile,As soon as possible,0.09302,66,274,0.05857,0.12748
1984,17-29 y.,2nd Quintile,Next year,0.09602,59,274,0.06107,0.13097
1984,17-29 y.,2nd Quintile,In the next 2 to 5 years,0.15301,99,274,0.11030,0.19571
1984,17-29 y.,2nd Quintile,"In the distant future, in more than five years",0.08415,50,274,0.05122,0.11708
1984,17-29 y.,3rd Quintile,As soon as possible,0.06324,48,212,0.03040,0.09608
1984,17-29 y.,3rd Quintile,Next year,0.05522,36,212,0.02440,0.08603
1984,17-29 y.,3rd Quintile,In the next 2 to 5 years,0.13659,83,212,0.09025,0.18293
1984,17-29 y.,3rd Quintile,"In the distant future, in more than five years",0.07088,45,212,0.03625,0.10550
1984,17-29 y.,4th Quintile,As soon as possible,0.04418,38,190,0.01488,0.07347
1984,17-29 y.,4th Quintile,Next year,0.05878,40,190,0.02525,0.09232
1984,17-29 y.,4th Quintile,In the next 2 to 5 years,0.10389,66,190,0.06039,0.14739
1984,17-29 y.,4th Quintile,"In the distant future, in more than five years",0.06685,46,190,0.03124,0.10245
1984,17-29 y.,5th Quintile,In the next 2 to 5 years,0.10450,54,54,0.02214,0.18686
1984,30-45 y.,1st Quintile,As soon as possible,0.13499,99,223,0.09004,0.17994
1984,30-45 y.,1st Quintile,In the next 2 to 5 years,0.08695,58,223,0.04989,0.12402
1984,30-45 y.,1st Quintile,"In the distant future, in more than five years",0.09982,66,223,0.06039,0.13925
1984,30-45 y.,2nd Quintile,As soon as possible,0.04036,43,132,0.00666,0.07406
1984,30-45 y.,2nd Quintile,In the next 2 to 5 years,0.06686,45,132,0.02409,0.10963
1984,30-45 y.,2nd Quintile,"In the distant future, in more than five years",0.06553,44,132,0.02316,0.10791
1984,30-45 y.,3rd Quintile,"In the distant future, in more than five years",0.05857,36,36,-0.01923,0.13636
1984,46-65 y.,1st Quintile,As soon as possible,0.07217,53,53,0.00183,0.14250
1985,17-29 y.,1st Quintile,As soon as possible,0.14858,124,332,0.11027,0.18690
1985,17-29 y.,1st Quintile,Next year,0.11235,76,332,0.07833,0.14637
1985,17-29 y.,1st Quintile,In the next 2 to 5 years,0.13398,97,332,0.09728,0.17068
1985,17-29 y.,1st Quintile,"In the distant future, in more than five years",0.04354,35,332,0.02156,0.06553
1985,17-29 y.,2nd Quintile,As soon as possible,0.09205,57,173,0.04885,0.13526
1985,17-29 y.,2nd Quintile,Next year,0.10396,52,173,0.05835,0.14958
1985,17-29 y.,2nd Quintile,In the next 2 to 5 years,0.10718,64,173,0.06095,0.15341
1985,17-29 y.,3rd Quintile,As soon as possible,0.06433,47,158,0.02595,0.10271
1985,17-29 y.,3rd Quintile,Next year,0.07877,49,158,0.03663,0.12091
1985,17-29 y.,3rd Quintile,In the next 2 to 5 years,0.09618,62,158,0.05006,0.14231
1985,17-29 y.,4th Quintile,In the next 2 to 5 years,0.06447,40,71,0.00694,0.12200
1985,17-29 y.,4th Quintile,"In the distant future, in more than five years",0.04959,31,71,-0.00127,0.10044
1985,17-29 y.,5th Quintile,In the next 2 to 5 years,0.08346,38,38,-0.00566,0.17258
1985,30-45 y.,1st Quintile,As soon as possible,0.14619,89,124,0.08375,0.20863
1985,30-45 y.,1st Quintile,In the next 2 to 5 years,0.05406,35,124,0.01409,0.09402
1985,30-45 y.,2nd Quintile,As soon as possible,0.06472,52,52,-0.00280,0.13225
1985,46-65 y.,1st Quintile,As soon as possible,0.09057,53,53,0.01256,0.16858
1986,17-29 y.,1st Quintile,As soon as possible,0.13137,97,307,0.09352,0.16922
1986,17-29 y.,1st Quintile,Next year,0.12636,84,307,0.08913,0.16358
1986,17-29 y.,1st Quintile,In the next 2 to 5 years,0.13109,86,307,0.09327,0.16890
1986,17-29 y.,1st Quintile,"In the distant future, in more than five years",0.06319,40,307,0.03593,0.09045
1986,17-29 y.,2nd Quintile,As soon as possible,0.07366,49,193,0.03671,0.11061
1986,17-29 y.,2nd Quintile,Next year,0.06229,39,193,0.02810,0.09647
1986,17-29 y.,2nd Quintile,In the next 2 to 5 years,0.11247,74,193,0.06778,0.15716
1986,17-29 y.,2nd Quintile,"In the distant future, in more than five years",0.06076,31,193,0.02697,0.09455
1986,17-29 y.,3rd Quintile,Next year,0.05946,34,132,0.01896,0.09996
1986,17-29 y.,3rd Quintile,In the next 2 to 5 years,0.08370,66,132,0.03628,0.13113
1986,17-29 y.,3rd Quintile,"In the distant future, in more than five years",0.05661,32,132,0.01703,0.09618
