year,migback,plb0418,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,No migration background,As soon as possible,0.02863,305,1394,0.01987,0.03738
1984,No migration background,Next year,0.02041,229,1394,0.01298,0.02783
1984,No migration background,In the next 2 to 5 years,0.04548,526,1394,0.03454,0.05642
1984,No migration background,"In the distant future, in more than five years",0.02836,334,1394,0.01964,0.03707
1984,Direct migration background,As soon as possible,0.07134,298,607,0.05085,0.09184
1984,Direct migration background,Next year,0.02486,87,607,0.01246,0.03726
1984,Direct migration background,In the next 2 to 5 years,0.03390,126,607,0.01949,0.04831
1984,Direct migration background,"In the distant future, in more than five years",0.02959,96,607,0.01610,0.04309
1985,No migration background,As soon as possible,0.03317,321,1058,0.02238,0.04397
1985,No migration background,Next year,0.02377,241,1058,0.01459,0.03296
1985,No migration background,In the next 2 to 5 years,0.03084,333,1058,0.02042,0.04127
1985,No migration background,"In the distant future, in more than five years",0.01502,163,1058,0.00769,0.02236
1985,Direct migration background,As soon as possible,0.06731,256,470,0.04464,0.08999
1985,Direct migration background,Next year,0.02343,73,470,0.00974,0.03712
1985,Direct migration background,In the next 2 to 5 years,0.03414,98,470,0.01770,0.05057
1985,Direct migration background,"In the distant future, in more than five years",0.01404,43,470,0.00339,0.02468
1986,No migration background,As soon as possible,0.02997,277,1025,0.01953,0.04041
1986,No migration background,Next year,0.01889,193,1025,0.01055,0.02722
1986,No migration background,In the next 2 to 5 years,0.03186,340,1025,0.02110,0.04261
1986,No migration background,"In the distant future, in more than five years",0.02029,215,1025,0.01166,0.02893
1986,Direct migration background,As soon as possible,0.06204,219,460,0.03997,0.08411
1986,Direct migration background,Next year,0.01934,79,460,0.00674,0.03194
1986,Direct migration background,In the next 2 to 5 years,0.03187,117,460,0.01580,0.04794
1986,Direct migration background,"In the distant future, in more than five years",0.01899,45,460,0.00650,0.03148
1987,No migration background,As soon as possible,0.02860,265,1044,0.01849,0.03872
1987,No migration background,Next year,0.02290,238,1044,0.01382,0.03197
1987,No migration background,In the next 2 to 5 years,0.03387,356,1044,0.02289,0.04485
1987,No migration background,"In the distant future, in more than five years",0.01774,185,1044,0.00973,0.02575
1987,Direct migration background,As soon as possible,0.06739,223,466,0.04461,0.09018
1987,Direct migration background,Next year,0.02499,96,466,0.01080,0.03917
1987,Direct migration background,In the next 2 to 5 years,0.03021,96,466,0.01465,0.04576
1987,Direct migration background,"In the distant future, in more than five years",0.01443,51,466,0.00359,0.02527
1988,No migration background,As soon as possible,0.02648,224,991,0.01648,0.03648
1988,No migration background,Next year,0.02627,241,991,0.01631,0.03624
1988,No migration background,In the next 2 to 5 years,0.03687,363,991,0.02513,0.04861
1988,No migration background,"In the distant future, in more than five years",0.01604,163,991,0.00821,0.02386
1988,Direct migration background,As soon as possible,0.05529,202,439,0.03389,0.07670
1988,Direct migration background,Next year,0.02966,89,439,0.01377,0.04555
1988,Direct migration background,In the next 2 to 5 years,0.03577,102,439,0.01838,0.05316
1988,Direct migration background,"In the distant future, in more than five years",0.01862,46,439,0.00596,0.03128
1988,Indirect migration background,In the next 2 to 5 years,0.01608,33,33,-0.02750,0.05966
1989,No migration background,As soon as possible,0.02200,186,858,0.01218,0.03182
1989,No migration background,Next year,0.01962,185,858,0.01033,0.02891
1989,No migration background,In the next 2 to 5 years,0.03584,333,858,0.02339,0.04829
1989,No migration background,"In the distant future, in more than five years",0.01671,154,858,0.00813,0.02529
1989,Direct migration background,As soon as possible,0.04713,159,365,0.02536,0.06890
1989,Direct migration background,Next year,0.02048,58,365,0.00593,0.03503
1989,Direct migration background,In the next 2 to 5 years,0.04035,110,365,0.02014,0.06057
1989,Direct migration background,"In the distant future, in more than five years",0.01497,38,365,0.00249,0.02744
1989,Indirect migration background,In the next 2 to 5 years,0.02825,43,43,-0.02186,0.07837
1990,No migration background,As soon as possible,0.01848,248,1098,0.01051,0.02645
1990,No migration background,Next year,0.02031,302,1098,0.01196,0.02866
1990,No migration background,In the next 2 to 5 years,0.02873,370,1098,0.01885,0.03862
1990,No migration background,"In the distant future, in more than five years",0.01481,178,1098,0.00766,0.02195
1990,Direct migration background,As soon as possible,0.03871,137,347,0.01838,0.05903
1990,Direct migration background,Next year,0.02404,70,347,0.00790,0.04018
1990,Direct migration background,In the next 2 to 5 years,0.03381,98,347,0.01477,0.05286
1990,Direct migration background,"In the distant future, in more than five years",0.01578,42,347,0.00265,0.02891
1990,Indirect migration background,In the next 2 to 5 years,0.02194,38,38,-0.02526,0.06913
1991,No migration background,As soon as possible,0.02375,395,1247,0.01530,0.03221
1991,No migration background,Next year,0.01965,292,1247,0.01194,0.02736
1991,No migration background,In the next 2 to 5 years,0.02975,398,1247,0.02032,0.03918
1991,No migration background,"In the distant future, in more than five years",0.01286,162,1247,0.00660,0.01912
1991,Direct migration background,As soon as possible,0.04308,129,320,0.02080,0.06537
1991,Direct migration background,Next year,0.02520,70,320,0.00800,0.04240
1991,Direct migration background,In the next 2 to 5 years,0.02667,81,320,0.00899,0.04435
1991,Direct migration background,"In the distant future, in more than five years",0.01424,40,320,0.00124,0.02724
1991,Indirect migration background,In the next 2 to 5 years,0.01702,39,39,-0.02411,0.05814
1992,No migration background,As soon as possible,0.03099,509,1443,0.02204,0.03993
1992,No migration background,Next year,0.02444,354,1443,0.01647,0.03241
1992,No migration background,In the next 2 to 5 years,0.03091,430,1443,0.02197,0.03984
