year,quintil_oecd,plb0418,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,1st Quintile,As soon as possible,0.06636,278,709,0.04802,0.08469
1984,1st Quintile,Next year,0.02712,99,709,0.01515,0.03908
1984,1st Quintile,In the next 2 to 5 years,0.06207,206,709,0.04430,0.07985
1984,1st Quintile,"In the distant future, in more than five years",0.03300,126,709,0.01984,0.04616
1984,2nd Quintile,As soon as possible,0.03499,136,469,0.01834,0.05164
1984,2nd Quintile,Next year,0.02635,82,469,0.01184,0.04086
1984,2nd Quintile,In the next 2 to 5 years,0.04632,154,469,0.02727,0.06536
1984,2nd Quintile,"In the distant future, in more than five years",0.03067,97,469,0.01505,0.04629
1984,3rd Quintile,As soon as possible,0.02442,87,344,0.00809,0.04076
1984,3rd Quintile,Next year,0.01757,53,344,0.00367,0.03147
1984,3rd Quintile,In the next 2 to 5 years,0.04161,118,344,0.02048,0.06274
1984,3rd Quintile,"In the distant future, in more than five years",0.03014,86,344,0.01205,0.04823
1984,4th Quintile,As soon as possible,0.02056,73,312,0.00479,0.03633
1984,4th Quintile,Next year,0.01927,56,312,0.00399,0.03455
1984,4th Quintile,In the next 2 to 5 years,0.03710,103,312,0.01609,0.05810
1984,4th Quintile,"In the distant future, in more than five years",0.02650,80,312,0.00865,0.04435
1984,5th Quintile,As soon as possible,0.01215,38,173,-0.00422,0.02853
1984,5th Quintile,In the next 2 to 5 years,0.03033,83,173,0.00470,0.05596
1984,5th Quintile,"In the distant future, in more than five years",0.01863,52,173,-0.00158,0.03884
1985,1st Quintile,As soon as possible,0.07596,266,561,0.05402,0.09791
1985,1st Quintile,Next year,0.03553,106,561,0.02020,0.05087
1985,1st Quintile,In the next 2 to 5 years,0.04125,136,561,0.02478,0.05772
1985,1st Quintile,"In the distant future, in more than five years",0.01519,53,561,0.00506,0.02532
1985,2nd Quintile,As soon as possible,0.04061,137,356,0.02008,0.06115
1985,2nd Quintile,Next year,0.02802,74,356,0.01085,0.04518
1985,2nd Quintile,In the next 2 to 5 years,0.03360,101,356,0.01486,0.05235
1985,2nd Quintile,"In the distant future, in more than five years",0.01300,44,356,0.00122,0.02478
1985,3rd Quintile,As soon as possible,0.03174,97,294,0.01166,0.05181
1985,3rd Quintile,Next year,0.02435,67,294,0.00670,0.04199
1985,3rd Quintile,In the next 2 to 5 years,0.03329,92,294,0.01275,0.05383
1985,3rd Quintile,"In the distant future, in more than five years",0.01389,38,294,0.00049,0.02729
1985,4th Quintile,As soon as possible,0.01248,45,197,-0.00306,0.02802
1985,4th Quintile,Next year,0.01461,42,197,-0.00219,0.03140
1985,4th Quintile,In the next 2 to 5 years,0.02144,59,197,0.00116,0.04171
1985,4th Quintile,"In the distant future, in more than five years",0.01878,51,197,-0.00022,0.03779
1985,5th Quintile,As soon as possible,0.01583,41,129,-0.00580,0.03745
1985,5th Quintile,Next year,0.01466,36,129,-0.00616,0.03548
1985,5th Quintile,In the next 2 to 5 years,0.02100,52,129,-0.00384,0.04583
1986,1st Quintile,As soon as possible,0.07130,230,536,0.04949,0.09310
1986,1st Quintile,Next year,0.03489,106,536,0.01934,0.05043
1986,1st Quintile,In the next 2 to 5 years,0.04087,134,536,0.02410,0.05765
1986,1st Quintile,"In the distant future, in more than five years",0.02246,66,536,0.00990,0.03501
1986,2nd Quintile,As soon as possible,0.03057,108,339,0.01222,0.04892
1986,2nd Quintile,Next year,0.01647,56,339,0.00290,0.03003
1986,2nd Quintile,In the next 2 to 5 years,0.03642,115,339,0.01644,0.05639
1986,2nd Quintile,"In the distant future, in more than five years",0.02150,60,339,0.00604,0.03697
1986,3rd Quintile,As soon as possible,0.02223,67,269,0.00458,0.03988
1986,3rd Quintile,Next year,0.01856,51,269,0.00240,0.03472
1986,3rd Quintile,In the next 2 to 5 years,0.02753,94,269,0.00794,0.04713
1986,3rd Quintile,"In the distant future, in more than five years",0.02266,57,269,0.00484,0.04047
1986,4th Quintile,As soon as possible,0.02274,63,186,0.00126,0.04422
1986,4th Quintile,In the next 2 to 5 years,0.02753,74,186,0.00395,0.05111
1986,4th Quintile,"In the distant future, in more than five years",0.01656,49,186,-0.00183,0.03495
1986,5th Quintile,As soon as possible,0.01292,36,167,-0.00426,0.03010
1986,5th Quintile,Next year,0.01151,32,167,-0.00472,0.02774
1986,5th Quintile,In the next 2 to 5 years,0.02315,57,167,0.00027,0.04603
1986,5th Quintile,"In the distant future, in more than five years",0.01602,42,167,-0.00308,0.03512
1987,1st Quintile,As soon as possible,0.07161,230,527,0.04957,0.09364
1987,1st Quintile,Next year,0.03506,111,527,0.01934,0.05078
1987,1st Quintile,In the next 2 to 5 years,0.03931,120,527,0.02270,0.05591
