year,sampreg,plb0418,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,West,As soon as possible,0.03179,614,2046,0.02418,0.03939
1984,West,Next year,0.02051,323,2046,0.01437,0.02665
1984,West,In the next 2 to 5 years,0.04353,666,2046,0.03469,0.05237
1984,West,"In the distant future, in more than five years",0.02794,443,2046,0.02079,0.03508
1985,West,As soon as possible,0.03531,587,1571,0.02618,0.04444
1985,West,Next year,0.02342,325,1571,0.01594,0.03090
1985,West,In the next 2 to 5 years,0.03055,444,1571,0.02204,0.03906
1985,West,"In the distant future, in more than five years",0.01465,215,1571,0.00871,0.02059
1986,West,As soon as possible,0.03227,507,1531,0.02341,0.04112
1986,West,Next year,0.01851,276,1531,0.01176,0.02527
1986,West,In the next 2 to 5 years,0.03109,474,1531,0.02239,0.03978
1986,West,"In the distant future, in more than five years",0.01983,274,1531,0.01285,0.02682
1987,West,As soon as possible,0.03158,498,1568,0.02292,0.04024
1987,West,Next year,0.02259,349,1568,0.01523,0.02995
1987,West,In the next 2 to 5 years,0.03288,476,1568,0.02405,0.04171
1987,West,"In the distant future, in more than five years",0.01691,245,1568,0.01053,0.02330
1988,West,As soon as possible,0.02869,443,1505,0.02025,0.03712
1988,West,Next year,0.02589,345,1505,0.01786,0.03391
1988,West,In the next 2 to 5 years,0.03603,498,1505,0.02661,0.04545
1988,West,"In the distant future, in more than five years",0.01601,219,1505,0.00966,0.02235
1989,West,As soon as possible,0.02414,362,1319,0.01586,0.03243
1989,West,Next year,0.01931,261,1319,0.01188,0.02674
1989,West,In the next 2 to 5 years,0.03598,486,1319,0.02592,0.04603
1989,West,"In the distant future, in more than five years",0.01637,210,1319,0.00952,0.02322
1990,West,As soon as possible,0.02039,290,1220,0.01246,0.02833
1990,West,Next year,0.01993,276,1220,0.01208,0.02778
1990,West,In the next 2 to 5 years,0.03311,426,1220,0.02306,0.04315
1990,West,"In the distant future, in more than five years",0.01816,228,1220,0.01066,0.02565
1990,East,As soon as possible,0.01823,108,311,0.00334,0.03312
1990,East,Next year,0.02206,123,311,0.00571,0.03842
1990,East,In the next 2 to 5 years,0.01296,80,311,0.00037,0.02555
1991,West,As soon as possible,0.01818,269,1149,0.01045,0.02590
1991,West,Next year,0.01871,249,1149,0.01087,0.02655
1991,West,In the next 2 to 5 years,0.03213,425,1149,0.02193,0.04233
1991,West,"In the distant future, in more than five years",0.01562,206,1149,0.00844,0.02279
1991,East,As soon as possible,0.05028,272,503,0.03116,0.06939
1991,East,Next year,0.02467,138,503,0.01110,0.03823
1991,East,In the next 2 to 5 years,0.01697,93,503,0.00567,0.02827
1992,West,As soon as possible,0.02059,297,1231,0.01265,0.02853
