"year","regtyp","mean","median","n","lower_confidence_mean","upper_confidence_mean"
"1985","Laendlicher Raum","50.58","35","1760","47.45","53.71"
"1985","Staedtischer Raum","58.17","40.5","3699","56.06","60.28"
"1986","Laendlicher Raum","53.1","35","1691","50.34","55.86"
"1986","Staedtischer Raum","58.49","40.5","3646","56.06","60.92"
"1987","Laendlicher Raum","51.34","37","1603","48.77","53.91"
"1987","Staedtischer Raum","58.81","40","3673","56.01","61.61"
"1988","Laendlicher Raum","52.58","36.5","1469","48.53","56.63"
"1988","Staedtischer Raum","63.21","42.5","3560","59.03","67.39"
"1989","Laendlicher Raum","60.11","34.5","1398","52.01","68.21"
"1989","Staedtischer Raum","60.69","45.5","3509","58.86","62.52"
"1990","Laendlicher Raum","47.48","25.5","3055","43.43","51.53"
"1990","Staedtischer Raum","63.7","45","3741","59.06","68.34"
"1991","Laendlicher Raum","47.85","32.5","2952","46.29","49.41"
"1991","Staedtischer Raum","64.08","50.5","3687","62.53","65.63"
"1992","Laendlicher Raum","56.93","40.5","2774","55.2","58.66"
"1992","Staedtischer Raum","69.29","50.5","3675","67.69","70.89"
"1993","Laendlicher Raum","60.02","50","2814","58.21","61.83"
"1993","Staedtischer Raum","75.3","60.5","3650","73.42","77.18"
"1994","Laendlicher Raum","65.69","50.5","2852","63.88","67.5"
"1994","Staedtischer Raum","82.17","60","3636","80.1","84.24"
"1995","Laendlicher Raum","73.23","50.5","2839","70.92","75.54"
"1995","Staedtischer Raum","87.27","73.5","3768","85.3","89.24"
"1996","Laendlicher Raum","76.63","60","2892","74.68","78.58"
"1996","Staedtischer Raum","88.92","76","3690","86.93","90.91"
"1997","Laendlicher Raum","79.03","60","2924","76.58","81.48"
"1997","Staedtischer Raum","88.85","70.5","3844","86.88","90.82"
"1998","Laendlicher Raum","78.48","62.5","3409","76.68","80.28"
"1998","Staedtischer Raum","92.9","76","4279","91.06","94.74"
"1999","Laendlicher Raum","73.18","55.5","3344","71.33","75.03"
"1999","Staedtischer Raum","84.29","71.5","4333","82.69","85.89"
"2000","Laendlicher Raum","49.37","42.38","6151","48.57","50.17"
"2000","Staedtischer Raum","56.4","46.71","8477","55.62","57.18"
"2001","Laendlicher Raum","52.3","42.46","5665","51.38","53.22"
"2001","Staedtischer Raum","59.14","51.08","7684","58.3","59.98"
"2002","Laendlicher Raum","56.04","45.71","5747","55","57.08"
"2002","Staedtischer Raum","61.49","49.88","8822","60.59","62.39"
"2003","Laendlicher Raum","56.37","45.75","5448","55.28","57.46"
"2003","Staedtischer Raum","64.43","51.79","8416","63.44","65.42"
"2004","Laendlicher Raum","60.22","49.79","5400","59.07","61.37"
"2004","Staedtischer Raum","67.73","58.12","8295","66.68","68.78"
"2005","Laendlicher Raum","61.6","49.62","5291","60.26","62.94"
"2005","Staedtischer Raum","69.6","58.21","7954","68.54","70.66"
"2006","Laendlicher Raum","60.64","49.75","5702","59.49","61.79"
"2006","Staedtischer Raum","70.85","58.25","8565","69.79","71.91"
"2007","Laendlicher Raum","61.12","51.58","5226","60.04","62.2"
"2007","Staedtischer Raum","69.71","58.21","8016","68.59","70.83"
"2008","Laendlicher Raum","64.01","53.92","4991","62.81","65.21"
"2008","Staedtischer Raum","68.77","56.62","7493","67.7","69.84"
"2009","Laendlicher Raum","59.06","49.96","4730","57.86","60.26"
"2009","Staedtischer Raum","71.46","58.12","6966","70.26","72.66"
"2010","Laendlicher Raum","54.49","49.83","6723","53.67","55.31"
"2010","Staedtischer Raum","63.34","54.08","9511","62.5","64.18"
"2011","Laendlicher Raum","52.6","48.17","8530","51.89","53.31"
"2011","Staedtischer Raum","63.33","54.29","12127","62.57","64.09"
"2012","Laendlicher Raum","53.15","48.12","8263","52.45","53.85"
"2012","Staedtischer Raum","67.41","58.04","11846","66.63","68.19"
"2013","Laendlicher Raum","53.16","49.92","8128","52.42","53.9"
"2013","Staedtischer Raum","66.2","58.25","12180","65.44","66.96"
"2014","Laendlicher Raum","48.81","42.46","8274","48.06","49.56"
"2014","Staedtischer Raum","59.7","49.79","12918","58.91","60.49"
"2015","Laendlicher Raum","3","3","1994","3","3"
"2015","Staedtischer Raum","3","3","4593","3","3"
"2016","Laendlicher Raum","45.62","41.62","7750","44.78","46.46"
"2016","Staedtischer Raum","51.49","43.29","11972","50.68","52.3"
"2017","Laendlicher Raum","49.39","41.62","8222","48.54","50.24"
"2017","Staedtischer Raum","54.27","42.42","12997","53.43","55.11"
"2018","Laendlicher Raum","48.07","41.42","7900","47.25","48.89"
"2018","Staedtischer Raum","55.69","48.04","12270","54.83","56.55"
"2019","Laendlicher Raum","49.6","41.5","8268","48.64","50.56"
"2019","Staedtischer Raum","58.9","49.62","13067","57.91","59.89"
"2020","Laendlicher Raum","51.35","45.75","8556","50.4","52.3"
"2020","Staedtischer Raum","59.22","49.96","15141","58.27","60.17"
