"year","hhtyp","regtyp","mean","median","n","lower_confidence_mean","upper_confidence_mean"
"1985","(Ehe-)Paar ohne Kind(er)","Laendlicher Raum","48.72","29.5","256","42.95","54.49"
"1985","(Ehe-)Paar ohne Kind(er)","Staedtischer Raum","56.51","36.5","620","48.84","64.18"
"1985","1-Pers.- Haushalt","Laendlicher Raum","46.16","25","49","33.3","59.02"
"1985","1-Pers.- Haushalt","Staedtischer Raum","45.8","29.5","159","39.36","52.24"
"1985","Alleinerziehende","Laendlicher Raum","49.24","39.5","82","39.03","59.45"
"1985","Alleinerziehende","Staedtischer Raum","65.52","33.5","122","52.55","78.49"
"1985","Paar mit Kind(ern)","Laendlicher Raum","46.04","32","1150","43.19","48.89"
"1985","Paar mit Kind(ern)","Staedtischer Raum","59.23","40","2571","57.1","61.36"
"1985","Sonstige","Laendlicher Raum","76.86","39.5","223","58.9","94.82"
"1985","Sonstige","Staedtischer Raum","63.06","39.5","227","53.58","72.54"
"1986","(Ehe-)Paar ohne Kind(er)","Laendlicher Raum","45.21","30","226","39.64","50.78"
"1986","(Ehe-)Paar ohne Kind(er)","Staedtischer Raum","51.47","35","654","46.88","56.06"
"1986","1-Pers.- Haushalt","Laendlicher Raum","36.02","25.5","50","28.84","43.2"
"1986","1-Pers.- Haushalt","Staedtischer Raum","49.34","30","159","41.98","56.7"
"1986","Alleinerziehende","Laendlicher Raum","52.14","43.5","74","42.69","61.59"
"1986","Alleinerziehende","Staedtischer Raum","50.5","39.5","143","42.93","58.07"
"1986","Paar mit Kind(ern)","Laendlicher Raum","53.14","34.5","1120","49.89","56.39"
"1986","Paar mit Kind(ern)","Staedtischer Raum","63.1","45","2474","59.83","66.37"
"1986","Sonstige","Laendlicher Raum","71.03","50","221","59.75","82.31"
"1986","Sonstige","Staedtischer Raum","53.53","44.5","216","48.3","58.76"
"1987","(Ehe-)Paar ohne Kind(er)","Laendlicher Raum","44.43","27","248","39.23","49.63"
"1987","(Ehe-)Paar ohne Kind(er)","Staedtischer Raum","51.26","35.5","676","46.65","55.87"
"1987","1-Pers.- Haushalt","Laendlicher Raum","36.57","23.5","55","24.13","49.01"
"1987","1-Pers.- Haushalt","Staedtischer Raum","47.39","34.5","161","41.16","53.62"
"1987","Alleinerziehende","Laendlicher Raum","50.5","38.5","79","43.33","57.67"
"1987","Alleinerziehende","Staedtischer Raum","64.76","45","146","53.52","76"
"1987","Paar mit Kind(ern)","Laendlicher Raum","53.71","40","1034","50.17","57.25"
"1987","Paar mit Kind(ern)","Staedtischer Raum","63.25","45","2468","59.39","67.11"
"1987","Sonstige","Laendlicher Raum","58.9","47.5","187","53.58","64.22"
"1987","Sonstige","Staedtischer Raum","50.56","40","222","45.26","55.86"
"1988","(Ehe-)Paar ohne Kind(er)","Laendlicher Raum","44.22","25","232","37.47","50.97"
"1988","(Ehe-)Paar ohne Kind(er)","Staedtischer Raum","57.2","40.5","642","47.02","67.38"
"1988","1-Pers.- Haushalt","Laendlicher Raum","33.36","23.5","51","24.2","42.52"
"1988","1-Pers.- Haushalt","Staedtischer Raum","78.89","32.5","163","35.39","122.39"
"1988","Alleinerziehende","Laendlicher Raum","88.69","47","81","27.83","149.55"
"1988","Alleinerziehende","Staedtischer Raum","56.6","39.5","157","50.67","62.53"
"1988","Paar mit Kind(ern)","Laendlicher Raum","53.53","39.5","962","50.58","56.48"
"1988","Paar mit Kind(ern)","Staedtischer Raum","63.98","45","2433","59.38","68.58"
"1988","Sonstige","Laendlicher Raum","54.73","48.5","143","48.84","60.62"
"1988","Sonstige","Staedtischer Raum","60.15","40.5","165","49","71.3"
"1989","(Ehe-)Paar ohne Kind(er)","Laendlicher Raum","86.59","30.5","240","41.08","132.1"
"1989","(Ehe-)Paar ohne Kind(er)","Staedtischer Raum","56.26","40.5","624","51.68","60.84"
"1989","1-Pers.- Haushalt","Laendlicher Raum","46.5","25","54","26.63","66.37"
"1989","1-Pers.- Haushalt","Staedtischer Raum","57.37","34.5","161","48.72","66.02"
"1989","Alleinerziehende","Laendlicher Raum","48.01","33.5","72","40.15","55.87"
"1989","Alleinerziehende","Staedtischer Raum","70.96","42","169","59.5","82.42"
"1989","Paar mit Kind(ern)","Laendlicher Raum","53.98","40.5","887","50.91","57.05"
"1989","Paar mit Kind(ern)","Staedtischer Raum","61.59","50","2364","59.48","63.7"
"1989","Sonstige","Laendlicher Raum","55.98","40","145","49.2","62.76"
"1989","Sonstige","Staedtischer Raum","63.95","47","191","55.35","72.55"
