"year","hhtyp","mean","median","n","percentile_10","percentile_25","percentile_75","percentile_90","percentile_99","lower_confidence_mean","upper_confidence_mean","minimum","maximum","lower_confidence_median","upper_confidence_median"
"1984","(Ehe-)Paar ohne Kind(er)","79.79","50","458","13","26","102","159","511","69.98","89.6","0","1534","51","59"
"1984","1-Pers.- Haushalt","70.84","48.5","220","5","23","92","153","383","58.19","83.49","0","1023","41","61"
"1984","Alleinerziehende","86.14","52.5","77","15","31","102","179","501","65","107.28","0","501","49","77"
"1984","Paar mit Kind(ern)","98.04","71.5","915","20","41","122","205","614","91.27","104.81","0","920","66","77"
"1984","Sonstige","79.97","48.5","110","17","26","102","164","460","64.37","95.57","0","511","46","72"
"1985","(Ehe-)Paar ohne Kind(er)","54.12","35.5","438","15","20","61","102","258","46.06","62.18","0","1534","33","41"
"1985","1-Pers.- Haushalt","45.89","29.5","208","10","20","53","102","205","40.17","51.61","0","205","26","36"
"1985","Alleinerziehende","57.94","33.5","82","13","25","77","128","358","44.39","71.49","4","358","31","46"
"1985","Paar mit Kind(ern)","54.4","40","957","18","26","61","102","256","50.95","57.85","0","716","37","41"
"1985","Sonstige","66.85","39.5","111","15","26","77","128","511","47.4","86.3","0","920","36","46"
"1986","(Ehe-)Paar ohne Kind(er)","49.73","33.5","440","13","20","56","102","256","44.49","54.97","0","767","31","38"
"1986","1-Pers.- Haushalt","45.94","30","209","10","18","61","102","205","40.05","51.83","0","243","26","40"
"1986","Alleinerziehende","51.64","39.5","85","15","20","61","112","266","42.16","61.12","5","266","31","51"
"1986","Paar mit Kind(ern)","58.84","40.5","930","18","26","72","102","307","54.1","63.58","0","1534","41","46"
"1986","Sonstige","59.58","47.5","110","13","26","77","123","210","48.3","70.86","0","511","41","51"
"1987","(Ehe-)Paar ohne Kind(er)","49.23","33.5","462","15","21","56","92","256","44.05","54.41","0","659","31","38"
"1987","1-Pers.- Haushalt","44.52","30.5","216","10","20","56","102","179","38.9","50.14","0","286","26","36"
"1987","Alleinerziehende","54.44","38.5","87","18","26","77","102","358","44.65","64.23","5","358","36","51"
"1987","Paar mit Kind(ern)","59.74","40","914","20","26","66","102","256","54.06","65.42","5","1534","41","46"
"1987","Sonstige","52.63","40","102","18","26","66","102","179","45.25","60.01","0","179","41","51"
"1988","(Ehe-)Paar ohne Kind(er)","53.47","35.5","437","15","23","56","100","307","42.57","64.37","0","2250","33","41"
"1988","1-Pers.- Haushalt","67.68","29.5","214","11","18","61","102","307","34.48","100.88","0","3592","26","36"
"1988","Alleinerziehende","69.13","39.5","89","15","27","66","112","153","29.32","108.94","10","1802","33","51"
"1988","Paar mit Kind(ern)","60.11","45","886","18","28","66","102","358","53.01","67.21","3","2301","41","51"
"1988","Sonstige","52.35","43.5","76","10","26","56","92","307","39.65","65.05","0","307","36","51"
"1989","(Ehe-)Paar ohne Kind(er)","65.09","36.5","432","15","26","61","102","307","46.63","83.55","0","3835","33","41"
"1989","1-Pers.- Haushalt","54.59","30.5","215","10","20","77","120","404","46.46","62.72","0","465","27","41"
"1989","Alleinerziehende","63.08","40.5","93","16","26","77","128","494","48.99","77.17","8","494","33","51"
"1989","Paar mit Kind(ern)","59.46","47.5","847","20","29","77","107","293","55.93","62.99","5","521","43","51"
"1989","Sonstige","55.2","40","84","15","28","69","102","307","44.67","65.73","0","307","36","54"
"1990","(Ehe-)Paar ohne Kind(er)","55.07","30.5","584","9","19","51","102","305","37.51","72.63","0","5112","26","31"
"1990","1-Pers.- Haushalt","49.29","30","261","10","18","51","102","205","34.8","63.78","0","1764","26","33"
"1990","Alleinerziehende","58.13","36.5","108","13","20","61","109","470","45.02","71.24","2","470","26","41"
"1990","Paar mit Kind(ern)","60.67","40.5","1185","10","26","67","102","409","54.56","66.78","0","2045","31","36"
"1990","Sonstige","42.04","35.5","145","5","15","61","92","153","25.96","58.12","0","1140","26","38"
"1991","(Ehe-)Paar ohne Kind(er)","49.2","35.5","586","13","26","61","97","256","45.63","52.77","1","424","33","38"
"1991","1-Pers.- Haushalt","48.39","35","247","10","20","61","102","194","42.88","53.9","2","383","30","41"
"1991","Alleinerziehende","62.02","40","113","16","31","87","128","256","53.34","70.7","3","256","34","46"
