"year","regtyp","sampreg","mean","median","n","percentile_10","percentile_25","percentile_75","percentile_90","percentile_99","lower_confidence_mean","upper_confidence_mean","minimum","maximum","lower_confidence_median","upper_confidence_median"
"1985","Ländlicher Raum","Ostdeutschland","","","","","","","","","","","","","",""
"1985","Ländlicher Raum","Westdeutschland","48.81","30","550","14","20","56","102","256","43.79","53.83","0","920","31","36"
"1985","Städtischer Raum","Ostdeutschland","","","","","","","","","","","","","",""
"1985","Städtischer Raum","Westdeutschland","55.9","38.5","1246","15","26","66","111","256","52.06","59.74","0","1534","38","41"
"1986","Ländlicher Raum","Ostdeutschland","","","","","","","","","","","","","",""
"1986","Ländlicher Raum","Westdeutschland","48.71","32.5","530","13","20","61","98","230","44.38","53.04","0","511","31","39"
"1986","Städtischer Raum","Ostdeutschland","","","","","","","","","","","","","",""
"1986","Städtischer Raum","Westdeutschland","55.84","40.5","1244","15","26","66","102","256","51.97","59.71","0","1534","41","46"
"1987","Ländlicher Raum","Ostdeutschland","","","","","","","","","","","","","",""
"1987","Ländlicher Raum","Westdeutschland","48.13","32.5","519","13","21","51","97","256","43.77","52.49","0","547","31","41"
"1987","Städtischer Raum","Ostdeutschland","","","","","","","","","","","","","",""
"1987","Städtischer Raum","Westdeutschland","55.52","40","1262","17","26","64","102","256","51.15","59.89","0","1534","41","43"
"1988","Ländlicher Raum","Ostdeutschland","","","","","","","","","","","","","",""
"1988","Ländlicher Raum","Westdeutschland","48.72","30.5","477","14","20","51","82","256","40.51","56.93","0","1802","31","41"
"1988","Städtischer Raum","Ostdeutschland","","","","","","","","","","","","","",""
"1988","Städtischer Raum","Westdeutschland","64.59","40.5","1225","15","26","66","102","322","56.05","73.13","0","3592","41","46"
"1989","Ländlicher Raum","Ostdeutschland","","","","","","","","","","","","","",""
"1989","Ländlicher Raum","Westdeutschland","61.3","30.5","462","14","20","61","102","465","44.12","78.48","0","3835","31","36"
"1989","Städtischer Raum","Ostdeutschland","","","","","","","","","","","","","",""
"1989","Städtischer Raum","Westdeutschland","59.59","42","1209","19","26","77","116","307","56.4","62.78","0","614","41","51"
"1990","Ländlicher Raum","Ostdeutschland","11.99","7.5","522","3","4","15","26","77","10.77","13.21","0","102","8","10"
"1990","Ländlicher Raum","Westdeutschland","57.56","31.5","472","15","20","51","102","440","44.08","71.04","0","2045","31","38"
"1990","Städtischer Raum","Ostdeutschland","13.05","7","79","2","5","14","33","87","9.46","16.64","0","87","6","10"
"1990","Städtischer Raum","Westdeutschland","64.41","42.5","1208","18","26","73","112","307","54.86","73.96","0","5112","41","51"
"1991","Ländlicher Raum","Ostdeutschland","28.96","17.5","488","5","10","31","61","179","25.57","32.35","1","307","18","20"
"1991","Ländlicher Raum","Westdeutschland","53.84","40","469","17","26","77","107","205","49.92","57.76","5","358","36","46"
"1991","Städtischer Raum","Ostdeutschland","32.47","17.5","84","5","8","41","77","173","24.78","40.16","2","173","15","29"
"1991","Städtischer Raum","Westdeutschland","61.15","50.5","1191","20","31","77","128","256","58.47","63.83","5","424","51","51"
"1992","Ländlicher Raum","Ostdeutschland","44.81","30","453","10","18","51","102","256","40.67","48.95","4","307","31","36"
"1992","Ländlicher Raum","Westdeutschland","58.9","44.5","452","20","26","77","123","230","54.68","63.12","6","307","41","51"
"1992","Städtischer Raum","Ostdeutschland","46.71","33.5","82","10","15","61","107","170","38.24","55.18","4","170","26","51"
"1992","Städtischer Raum","Westdeutschland","67.14","50.5","1191","23","33","77","133","256","64.29","69.99","5","358","51","54"
"1993","Ländlicher Raum","Ostdeutschland","44.92","29.5","451","13","20","51","92","256","41.16","48.68","5","261","31","36"
"1993","Ländlicher Raum","Westdeutschland","62.7","50","468","20","26","82","128","251","57.59","67.81","8","706","51","51"
"1993","Städtischer Raum","Ostdeutschland","48.06","31.5","79","10","20","66","102","153","39.54","56.58","5","205","26","51"
"1993","Städtischer Raum","Westdeutschland","72.71","55.5","1195","26","38","92","143","256","69.41","76.01","5","566","56","61"
"1994","Ländlicher Raum","Ostdeutschland","53.79","40","452","15","26","66","102","205","49.63","57.95","5","307","41","51"
"1994","Ländlicher Raum","Westdeutschland","64.74","50","487","20","29","82","128","281","60.34","69.14","6","307","46","51"
"1994","Städtischer Raum","Ostdeutschland","50.21","34.5","89","10","24","61","102","205","40.66","59.76","6","230","31","51"
"1994","Städtischer Raum","Westdeutschland","78.5","60","1186","26","41","102","153","353","74.71","82.29","0","826","56","61"
"1995","Ländlicher Raum","Ostdeutschland","70.82","50","443","23","31","77","128","386","64.11","77.53","6","643","51","51"
"1995","Ländlicher Raum","Westdeutschland","65.5","50.5","495","26","36","78","128","256","61.19","69.81","0","358","51","56"
"1995","Städtischer Raum","Ostdeutschland","70.34","45","96","10","26","86","143","358","53.76","86.92","6","603","35","51"
"1995","Städtischer Raum","Westdeutschland","81.69","64.5","1224","28","41","102","153","307","78.38","85","0","578","61","77"
"1996","Ländlicher Raum","Ostdeutschland","66.7","50.5","471","23","31","77","128","256","62.13","71.27","8","414","51","61"
"1996","Ländlicher Raum","Westdeutschland","73.28","50.5","492","26","36","102","153","307","68.81","77.75","10","307","51","61"
"1996","Städtischer Raum","Ostdeutschland","66.88","50","99","18","31","92","141","409","55.96","77.8","10","409","46","61"
"1996","Städtischer Raum","Westdeutschland","83.69","65","1196","31","46","102","153","281","80.31","87.07","6","767","64","77"
"1997","Ländlicher Raum","Ostdeutschland","78.01","59.5","476","23","41","102","153","307","72.49","83.53","5","511","61","77"
"1997","Ländlicher Raum","Westdeutschland","71.95","49","506","20","36","92","143","307","65.76","78.14","8","1023","51","61"
"1997","Städtischer Raum","Ostdeutschland","82.36","71.5","100","20","36","102","153","307","71.06","93.66","5","307","51","79"
"1997","Städtischer Raum","Westdeutschland","83.4","60","1244","26","44","102","171","281","80.05","86.75","5","614","61","72"
"1998","Ländlicher Raum","Ostdeutschland","73.15","52.5","525","20","36","102","153","256","68.77","77.53","5","281","56","66"
"1998","Ländlicher Raum","Westdeutschland","74.93","60","633","26","41","102","153","256","70.7","79.16","10","409","51","66"
"1998","Städtischer Raum","Ostdeutschland","89.65","76","114","26","41","118","153","409","78.7","100.6","10","409","54","77"
"1998","Städtischer Raum","Westdeutschland","87.31","76","1432","31","51","102","153","307","84.2","90.42","6","460","72","77"
"1999","Ländlicher Raum","Ostdeutschland","71.06","55","531","26","38","77","149","271","66.36","75.76","5","511","56","61"
"1999","Ländlicher Raum","Westdeutschland","69.34","50","612","26","36","80","128","358","65.1","73.58","7","388","51","56"
"1999","Städtischer Raum","Ostdeutschland","75.12","58.5","125","26","41","102","128","256","66.64","83.6","8","256","51","66"
"1999","Städtischer Raum","Westdeutschland","80.38","60.5","1424","29","46","102","153","307","77.53","83.23","0","409","61","66"
"2000","Ländlicher Raum","Ostdeutschland","48.96","42.38","905","17.08","25.58","63.92","91","170.42","46.79","51.13","0","234.33","42.5833320617676","42.5833320617676"
"2000","Ländlicher Raum","Westdeutschland","44.63","37.92","1271","17.08","25.58","55.42","85.25","149.17","43.06","46.2","0","182.58","35.75","40.9166679382324"
"2000","Städtischer Raum","Ostdeutschland","48.11","42.21","192","17.08","25.58","63.92","85.25","247.08","43.42","52.8","6.83","247.08","40.5","46.8333320617676"
"2000","Städtischer Raum","Westdeutschland","53.08","42.5","2951","19.58","29.83","63.92","102.25","178.92","51.81","54.35","0","340.83","42.5833320617676","46.8333320617676"
"2001","Ländlicher Raum","Ostdeutschland","51.92","42.38","871","19.58","29.83","63.92","85.25","178.92","49.55","54.29","0","374.92","42.5833320617676","51.1666679382324"
"2001","Ländlicher Raum","Westdeutschland","46.86","39.79","1144","19.17","25.58","59.67","85.25","170.42","45.05","48.67","0","383.5","40.5","42.5833320617676"
"2001","Städtischer Raum","Ostdeutschland","55.97","43.04","195","20.42","29.83","68.17","104.42","166.17","50.8","61.14","5.08","255.67","42.5833320617676","52.75"
"2001","Städtischer Raum","Westdeutschland","55.33","46.79","2617","20","33.58","68.17","102.25","178.92","53.94","56.72","0","370.67","46.8333320617676","51.1666679382324"
"2002","Ländlicher Raum","Ostdeutschland","54.81","48.25","836","20.83","29.17","66.67","100","183.33","52.18","57.44","1.67","306.5","50","50"
"2002","Ländlicher Raum","Westdeutschland","50.19","41.46","1186","17.5","25","62.5","100","200","48.02","52.36","0","350","41.6666679382324","42.6666679382324"
"2002","Städtischer Raum","Ostdeutschland","52.74","40.83","203","15","25","66.67","100","166.67","47.22","58.26","6.67","250","41.6666679382324","55"
"2002","Städtischer Raum","Westdeutschland","58.45","49.88","3013","20.83","33.33","75","105.25","208.33","56.98","59.92","0","333.33","50","54.1666679382324"
"2003","Ländlicher Raum","Ostdeutschland","55.56","47.25","827","20.83","32.92","66.67","100","200","52.93","58.19","4.17","333.33","48.3333320617676","50"
"2003","Ländlicher Raum","Westdeutschland","50.61","41.46","1114","17.08","25","66.67","100","166.67","48.38","52.84","0","333.33","41.6666679382324","48.3333320617676"
"2003","Städtischer Raum","Ostdeutschland","57.09","43","215","16.67","29.17","75","104.17","191.67","51.4","62.78","0","291.67","43.3333320617676","58"
"2003","Städtischer Raum","Westdeutschland","59.83","49.83","2868","21.67","33.33","75.5","115.33","206.42","58.21","61.45","0","613.83","50","54.1666679382324"
"2004","Ländlicher Raum","Ostdeutschland","57.53","49.58","814","20.83","33.33","69.58","100","208.33","54.65","60.41","0","300","50","54.1666679382324"
"2004","Ländlicher Raum","Westdeutschland","54.43","45.62","1129","18.33","29.17","69.17","100","183.33","52.16","56.7","0","338.17","46.6666679382324","50"
"2004","Städtischer Raum","Ostdeutschland","59.86","49.58","221","16.67","29.17","83.33","108.33","250","53.14","66.58","0","416.67","50","62.5"
