"year","mean","median","n","lower_confidence_mean","upper_confidence_mean"
"1984","91.46","60","5311","88.72","94.2"
"1985","55.65","37.5","5459","53.9","57.4"
"1986","56.72","40.5","5337","54.84","58.6"
"1987","56.41","40.5","5276","54.31","58.51"
"1988","59.93","40.5","5029","56.74","63.12"
"1989","60.51","40.5","4907","57.86","63.16"
"1990","57.55","38.5","6801","54.4","60.7"
"1991","57.87","45.5","6645","56.74","59"
"1992","64.72","50.5","6452","63.54","65.9"
"1993","69.64","50","6464","68.3","70.98"
"1994","76.01","55.5","6488","74.59","77.43"
"1995","82.05","60.5","6607","80.55","83.55"
"1996","84.31","68.5","6582","82.9","85.72"
"1997","85.17","65.5","6768","83.63","86.71"
"1998","87.19","76","7688","85.88","88.5"
"1999","80.01","60.5","7677","78.8","81.22"
"2000","53.68","42.5","14628","53.11","54.25"
"2001","56.45","48.5","13349","55.83","57.07"
"2002","59.35","49.88","14569","58.67","60.03"
"2003","61.27","49.83","13864","60.53","62.01"
"2004","64.8","54.08","13695","64.02","65.58"
"2005","66.37","54.08","13245","65.54","67.2"
"2006","66.77","54.08","14267","65.98","67.56"
"2007","66.36","54.96","13242","65.55","67.17"
"2008","66.91","55.38","12484","66.11","67.71"
"2009","66.61","54.08","11696","65.74","67.48"
"2010","59.96","49.88","16234","59.36","60.56"
"2011","59.26","49.83","20657","58.72","59.8"
"2012","62.19","51.54","20109","61.64","62.74"
"2013","61.28","50.38","20308","60.73","61.83"
"2014","55.8","49.96","21192","55.24","56.36"
"2015","3","3","6587","3","3"
"2016","49.42","41.62","19722","48.83","50.01"
"2017","52.63","41.62","21219","52.02","53.24"
"2018","53.05","45.71","20170","52.43","53.67"
"2019","55.51","45.75","21663","54.8","56.22"
"2020","56.46","49.04","23697","55.76","57.16"
