year,sampreg,pgpsbil,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,West,Secondary School Degree,0.50687,6111,12073,0.49795,0.51578
1984,West,Intermediate School Degree,0.15768,1957,12073,0.15118,0.16419
1984,West,Technical School Degree,0.02600,328,12073,0.02316,0.02884
1984,West,Upper Secondary Degree,0.07669,965,12073,0.07195,0.08144
1984,West,Other Degree,0.02351,1430,12073,0.02081,0.02622
1984,West,"Dropout, No School Degree",0.01672,871,12073,0.01444,0.01901
1984,West,No School Degree Yet,0.01334,201,12073,0.01129,0.01538
1984,West,No School Attended,0.00292,210,12073,0.00195,0.00388
1985,West,Secondary School Degree,0.50041,5478,10879,0.49102,0.50981
1985,West,Intermediate School Degree,0.16787,1879,10879,0.16085,0.17490
1985,West,Technical School Degree,0.02641,301,10879,0.02340,0.02942
1985,West,Upper Secondary Degree,0.07976,927,10879,0.07467,0.08485
1985,West,Other Degree,0.02343,1209,10879,0.02059,0.02627
1985,West,"Dropout, No School Degree",0.01686,717,10879,0.01444,0.01928
1985,West,No School Degree Yet,0.01484,192,10879,0.01257,0.01711
1985,West,No School Attended,0.00279,176,10879,0.00180,0.00378
1986,West,Secondary School Degree,0.49009,5169,10437,0.48050,0.49968
1986,West,Intermediate School Degree,0.17153,1837,10437,0.16430,0.17876
1986,West,Technical School Degree,0.02763,303,10437,0.02449,0.03078
1986,West,Upper Secondary Degree,0.08499,946,10437,0.07964,0.09034
1986,West,Other Degree,0.02386,1159,10437,0.02093,0.02679
1986,West,"Dropout, No School Degree",0.01713,665,10437,0.01464,0.01962
1986,West,No School Degree Yet,0.01258,196,10437,0.01044,0.01472
1986,West,No School Attended,0.00275,162,10437,0.00174,0.00375
1987,West,Secondary School Degree,0.48685,5100,10288,0.47719,0.49651
1987,West,Intermediate School Degree,0.17000,1826,10288,0.16274,0.17726
1987,West,Technical School Degree,0.02720,290,10288,0.02406,0.03035
1987,West,Upper Secondary Degree,0.08675,935,10288,0.08131,0.09219
1987,West,Other Degree,0.02545,1142,10288,0.02241,0.02850
1987,West,"Dropout, No School Degree",0.01634,639,10288,0.01389,0.01879
1987,West,No School Degree Yet,0.01152,197,10288,0.00945,0.01358
1987,West,No School Attended,0.00300,159,10288,0.00195,0.00406
1988,West,Secondary School Degree,0.48542,4872,9780,0.47551,0.49533
1988,West,Intermediate School Degree,0.17081,1764,9780,0.16335,0.17827
1988,West,Technical School Degree,0.02729,277,9780,0.02406,0.03052
1988,West,Upper Secondary Degree,0.08895,901,9780,0.08330,0.09459
1988,West,Other Degree,0.02325,1065,9780,0.02027,0.02624
1988,West,"Dropout, No School Degree",0.01516,582,9780,0.01274,0.01758
1988,West,No School Degree Yet,0.01176,167,9780,0.00962,0.01390
1988,West,No School Attended,0.00282,152,9780,0.00177,0.00387
1989,West,Secondary School Degree,0.47628,4652,9471,0.46622,0.48634
1989,West,Intermediate School Degree,0.16992,1710,9471,0.16235,0.17748
1989,West,Technical School Degree,0.02823,279,9471,0.02489,0.03156
1989,West,Upper Secondary Degree,0.09362,924,9471,0.08775,0.09949
1989,West,Other Degree,0.02490,1026,9471,0.02177,0.02804
1989,West,"Dropout, No School Degree",0.01566,557,9471,0.01316,0.01816
1989,West,No School Degree Yet,0.01398,178,9471,0.01162,0.01635
1989,West,No School Attended,0.00294,145,9471,0.00185,0.00403
1990,West,Secondary School Degree,0.46669,4525,9252,0.45652,0.47686
1990,West,Intermediate School Degree,0.17121,1682,9252,0.16354,0.17889
1990,West,Technical School Degree,0.02863,283,9252,0.02523,0.03202
1990,West,Upper Secondary Degree,0.09558,919,9252,0.08959,0.10157
1990,West,Other Degree,0.02693,1005,9252,0.02363,0.03023
1990,West,"Dropout, No School Degree",0.01661,532,9252,0.01400,0.01921
1990,West,No School Degree Yet,0.01246,167,9252,0.01020,0.01473
1990,West,No School Attended,0.00323,139,9252,0.00207,0.00438
1990,East,Secondary School Degree,0.34440,1734,4396,0.33036,0.35845
1990,East,Intermediate School Degree,0.32912,2040,4396,0.31522,0.34301
1990,East,Upper Secondary Degree,0.08498,531,4396,0.07674,0.09323
1990,East,Other Degree,0.01266,59,4396,0.00935,0.01596
1990,East,No School Degree Yet,0.00451,32,4396,0.00253,0.00649
1991,West,Secondary School Degree,0.45247,4450,9222,0.44231,0.46263
1991,West,Intermediate School Degree,0.17224,1714,9222,0.16453,0.17994
1991,West,Technical School Degree,0.02971,295,9222,0.02624,0.03317
1991,West,Upper Secondary Degree,0.09900,954,9222,0.09290,0.10510
1991,West,Other Degree,0.02881,989,9222,0.02540,0.03223
1991,West,"Dropout, No School Degree",0.01735,532,9222,0.01469,0.02002
1991,West,No School Degree Yet,0.01167,156,9222,0.00947,0.01386
1991,West,No School Attended,0.00339,132,9222,0.00221,0.00458
1991,East,Secondary School Degree,0.35344,1570,4100,0.33881,0.36808
1991,East,Intermediate School Degree,0.34274,1949,4100,0.32821,0.35727
1991,East,Upper Secondary Degree,0.08630,492,4100,0.07770,0.09489
1991,East,Other Degree,0.01078,48,4100,0.00762,0.01395
1991,East,"Dropout, No School Degree",0.00685,41,4100,0.00432,0.00937
1992,West,Secondary School Degree,0.44295,4342,9100,0.43274,0.45315
1992,West,Intermediate School Degree,0.17360,1745,9100,0.16581,0.18138
1992,West,Technical School Degree,0.03005,299,9100,0.02655,0.03356
1992,West,Upper Secondary Degree,0.10090,958,9100,0.09471,0.10708
1992,West,Other Degree,0.03070,959,9100,0.02716,0.03425
1992,West,"Dropout, No School Degree",0.01818,522,9100,0.01543,0.02092
1992,West,No School Degree Yet,0.01090,151,9100,0.00877,0.01304
1992,West,No School Attended,0.00350,124,9100,0.00229,0.00472
1992,East,Secondary School Degree,0.35290,1494,3912,0.33793,0.36788
1992,East,Intermediate School Degree,0.34387,1859,3912,0.32898,0.35876
1992,East,Upper Secondary Degree,0.08756,476,3912,0.07870,0.09642
1992,East,Other Degree,0.01096,47,3912,0.00770,0.01423
1992,East,No School Degree Yet,0.00514,36,3912,0.00290,0.00738
1993,West,Secondary School Degree,0.43546,4264,9018,0.42522,0.44569
1993,West,Intermediate School Degree,0.17555,1780,9018,0.16770,0.18340
1993,West,Technical School Degree,0.03037,302,9018,0.02683,0.03391
1993,West,Upper Secondary Degree,0.10180,978,9018,0.09556,0.10804
1993,West,Other Degree,0.03270,930,9018,0.02903,0.03638
1993,West,"Dropout, No School Degree",0.01952,510,9018,0.01666,0.02238
1993,West,No School Degree Yet,0.01013,129,9018,0.00807,0.01220
1993,West,No School Attended,0.00405,125,9018,0.00274,0.00536
1993,East,Secondary School Degree,0.34390,1405,3771,0.32874,0.35907
1993,East,Intermediate School Degree,0.34509,1790,3771,0.32992,0.36027
1993,East,Upper Secondary Degree,0.09380,481,3771,0.08449,0.10311
1993,East,Other Degree,0.01033,43,3771,0.00710,0.01355
1993,East,No School Degree Yet,0.00734,52,3771,0.00461,0.01006
1994,West,Secondary School Degree,0.42597,4125,8804,0.41564,0.43630
1994,West,Intermediate School Degree,0.17339,1756,8804,0.16548,0.18130
1994,West,Technical School Degree,0.03158,313,8804,0.02792,0.03523
1994,West,Upper Secondary Degree,0.10503,1005,8804,0.09863,0.11144
1994,West,Other Degree,0.03319,862,8804,0.02945,0.03693
1994,West,"Dropout, No School Degree",0.01931,472,8804,0.01643,0.02218
1994,West,No School Degree Yet,0.01248,156,8804,0.01016,0.01479
1994,West,No School Attended,0.00399,115,8804,0.00267,0.00531
1994,East,Secondary School Degree,0.34649,1365,3715,0.33118,0.36179
1994,East,Intermediate School Degree,0.34270,1753,3715,0.32744,0.35796
1994,East,Upper Secondary Degree,0.09757,489,3715,0.08802,0.10711
1994,East,Other Degree,0.00780,34,3715,0.00497,0.01063
1994,East,No School Degree Yet,0.01073,74,3715,0.00742,0.01405
1995,West,Secondary School Degree,0.40819,4086,9254,0.39817,0.41820
1995,West,Intermediate School Degree,0.17136,1880,9254,0.16368,0.17904
1995,West,Technical School Degree,0.03218,328,9254,0.02859,0.03578
1995,West,Upper Secondary Degree,0.10660,1072,9254,0.10031,0.11289
1995,West,Other Degree,0.04835,1126,9254,0.04398,0.05272
1995,West,"Dropout, No School Degree",0.01700,466,9254,0.01436,0.01963
1995,West,No School Degree Yet,0.01431,191,9254,0.01189,0.01673
1995,West,No School Attended,0.00297,105,9254,0.00186,0.00408
1995,East,Secondary School Degree,0.34899,1307,3626,0.33348,0.36451
1995,East,Intermediate School Degree,0.33788,1702,3626,0.32248,0.35327
1995,East,Upper Secondary Degree,0.10287,495,3626,0.09298,0.11276
1995,East,Other Degree,0.00768,33,3626,0.00484,0.01053
1995,East,No School Degree Yet,0.01239,89,3626,0.00879,0.01599
1996,West,Secondary School Degree,0.40385,3990,9029,0.39373,0.41397
1996,West,Intermediate School Degree,0.17364,1881,9029,0.16583,0.18146
1996,West,Technical School Degree,0.03241,323,9029,0.02875,0.03606
1996,West,Upper Secondary Degree,0.10720,1066,9029,0.10082,0.11359
1996,West,Other Degree,0.04767,1049,9029,0.04327,0.05206
1996,West,"Dropout, No School Degree",0.01734,429,9029,0.01465,0.02003
1996,West,No School Degree Yet,0.01557,197,9029,0.01302,0.01812
1996,West,No School Attended,0.00291,94,9029,0.00180,0.00402
1996,East,Secondary School Degree,0.33876,1271,3606,0.32331,0.35421
1996,East,Intermediate School Degree,0.34542,1701,3606,0.32989,0.36094
1996,East,Upper Secondary Degree,0.10462,506,3606,0.09463,0.11461
1996,East,Other Degree,0.00855,36,3606,0.00555,0.01156
1996,East,No School Degree Yet,0.01487,92,3606,0.01092,0.01882
1997,West,Secondary School Degree,0.40082,3900,8860,0.39062,0.41103
1997,West,Intermediate School Degree,0.17404,1880,8860,0.16615,0.18194
1997,West,Technical School Degree,0.03365,327,8860,0.02990,0.03741
1997,West,Upper Secondary Degree,0.10876,1074,8860,0.10228,0.11524
1997,West,Other Degree,0.04686,982,8860,0.04246,0.05126
1997,West,"Dropout, No School Degree",0.01733,400,8860,0.01461,0.02005
1997,West,No School Degree Yet,0.01512,207,8860,0.01258,0.01766
1997,West,No School Attended,0.00316,90,8860,0.00199,0.00433
1997,East,Secondary School Degree,0.33510,1234,3546,0.31957,0.35064
1997,East,Intermediate School Degree,0.34636,1655,3546,0.33069,0.36202
1997,East,Upper Secondary Degree,0.11002,519,3546,0.09972,0.12032
1997,East,Other Degree,0.00822,33,3546,0.00525,0.01119
1997,East,No School Degree Yet,0.01718,105,3546,0.01290,0.02145
1998,West,Secondary School Degree,0.37691,4329,9748,0.36729,0.38654
1998,West,Intermediate School Degree,0.17087,2116,9748,0.16340,0.17834
1998,West,Technical School Degree,0.03363,378,9748,0.03005,0.03721
1998,West,Upper Secondary Degree,0.11010,1285,9748,0.10388,0.11631
1998,West,Other Degree,0.04715,952,9748,0.04294,0.05136
1998,West,"Dropout, No School Degree",0.01755,380,9748,0.01494,0.02016
1998,West,No School Degree Yet,0.01534,225,9748,0.01290,0.01778
1998,West,No School Attended,0.00320,83,9748,0.00208,0.00432
1998,East,Secondary School Degree,0.32238,1276,3709,0.30733,0.33742
1998,East,Intermediate School Degree,0.35058,1762,3709,0.33522,0.36594
1998,East,Upper Secondary Degree,0.10212,527,3709,0.09238,0.11187
1998,East,Other Degree,0.00906,38,3709,0.00601,0.01211
1998,East,No School Degree Yet,0.01666,106,3709,0.01254,0.02078
1999,West,Secondary School Degree,0.38902,4239,9540,0.37923,0.39880
1999,West,Intermediate School Degree,0.17638,2101,9540,0.16873,0.18403
1999,West,Technical School Degree,0.03353,367,9540,0.02992,0.03714
1999,West,Upper Secondary Degree,0.11567,1289,9540,0.10926,0.12209
1999,West,Other Degree,0.04836,884,9540,0.04406,0.05267
1999,West,"Dropout, No School Degree",0.01904,371,9540,0.01630,0.02178
1999,West,No School Degree Yet,0.01529,214,9540,0.01282,0.01775
1999,West,No School Attended,0.00288,75,9540,0.00180,0.00395
1999,East,Secondary School Degree,0.32477,1245,3680,0.30964,0.33991
1999,East,Intermediate School Degree,0.36180,1748,3680,0.34628,0.37733
1999,East,Upper Secondary Degree,0.10764,544,3680,0.09762,0.11765
1999,East,Other Degree,0.00939,41,3680,0.00627,0.01250
1999,East,No School Degree Yet,0.01776,102,3680,0.01349,0.02202
2000,West,Secondary School Degree,0.37634,8051,18200,0.36930,0.38338
2000,West,Intermediate School Degree,0.18971,4296,18200,0.18402,0.19541
2000,West,Technical School Degree,0.04317,917,18200,0.04021,0.04612
2000,West,Upper Secondary Degree,0.12686,2744,18200,0.12202,0.13169
2000,West,Other Degree,0.05490,1443,18200,0.05159,0.05821
2000,West,"Dropout, No School Degree",0.01581,390,18200,0.01400,0.01763
2000,West,No School Degree Yet,0.01362,359,18200,0.01193,0.01530
2000,East,Secondary School Degree,0.31021,1878,5823,0.29833,0.32210
2000,East,Intermediate School Degree,0.36627,2684,5823,0.35389,0.37865
2000,East,Technical School Degree,0.01565,100,5823,0.01246,0.01884
2000,East,Upper Secondary Degree,0.12204,936,5823,0.11363,0.13044
2000,East,Other Degree,0.01207,83,5823,0.00927,0.01488
2000,East,No School Degree Yet,0.01803,142,5823,0.01461,0.02144
2001,West,Secondary School Degree,0.36623,7021,16370,0.35885,0.37361
2001,West,Intermediate School Degree,0.19166,3944,16370,0.18563,0.19769
2001,West,Technical School Degree,0.04391,855,16370,0.04077,0.04705
2001,West,Upper Secondary Degree,0.13100,2561,16370,0.12583,0.13617
2001,West,Other Degree,0.05666,1309,16370,0.05311,0.06020
2001,West,"Dropout, No School Degree",0.01289,295,16370,0.01117,0.01462
2001,West,No School Degree Yet,0.01539,385,16370,0.01351,0.01728
2001,East,Secondary School Degree,0.30511,1704,5385,0.29281,0.31741
2001,East,Intermediate School Degree,0.36689,2472,5385,0.35402,0.37977
2001,East,Technical School Degree,0.01831,104,5385,0.01473,0.02190
2001,East,Upper Secondary Degree,0.13027,897,5385,0.12128,0.13926
2001,East,Other Degree,0.00915,53,5385,0.00660,0.01169
2001,East,No School Degree Yet,0.01975,155,5385,0.01604,0.02347
2002,West,Secondary School Degree,0.36605,6715,17429,0.35890,0.37320
2002,West,Intermediate School Degree,0.19260,4254,17429,0.18675,0.19846
2002,West,Technical School Degree,0.04304,986,17429,0.04003,0.04605
2002,West,Upper Secondary Degree,0.12714,3474,17429,0.12219,0.13208
2002,West,Other Degree,0.05790,1270,17429,0.05444,0.06137
2002,West,"Dropout, No School Degree",0.01313,270,17429,0.01144,0.01482
2002,West,No School Degree Yet,0.01642,460,17429,0.01454,0.01831
2002,East,Secondary School Degree,0.30030,1608,5355,0.28802,0.31257
2002,East,Intermediate School Degree,0.37801,2428,5355,0.36503,0.39100
2002,East,Technical School Degree,0.01733,105,5355,0.01383,0.02083
2002,East,Upper Secondary Degree,0.12756,1014,5355,0.11862,0.13649
2002,East,Other Degree,0.00901,47,5355,0.00648,0.01155
2002,East,No School Degree Yet,0.01968,153,5355,0.01596,0.02340
2003,West,Secondary School Degree,0.35772,6353,16600,0.35042,0.36501
2003,West,Intermediate School Degree,0.19181,4052,16600,0.18582,0.19780
2003,West,Technical School Degree,0.04432,949,16600,0.04119,0.04745
2003,West,Upper Secondary Degree,0.13150,3342,16600,0.12636,0.13665
2003,West,Other Degree,0.05851,1193,16600,0.05494,0.06208
2003,West,"Dropout, No School Degree",0.01387,255,16600,0.01209,0.01565
2003,West,No School Degree Yet,0.01637,456,16600,0.01444,0.01830
2003,East,Secondary School Degree,0.28975,1539,5257,0.27748,0.30201
2003,East,Intermediate School Degree,0.38751,2390,5257,0.37434,0.40068
2003,East,Technical School Degree,0.01914,111,5257,0.01543,0.02284
2003,East,Upper Secondary Degree,0.12996,1009,5257,0.12086,0.13905
2003,East,Other Degree,0.00806,46,5257,0.00564,0.01048
2003,East,No School Degree Yet,0.02030,162,5257,0.01649,0.02411
2004,West,Secondary School Degree,0.35459,6069,16125,0.34720,0.36197
2004,West,Intermediate School Degree,0.19205,3962,16125,0.18597,0.19813
2004,West,Technical School Degree,0.04396,939,16125,0.04079,0.04712
2004,West,Upper Secondary Degree,0.13128,3295,16125,0.12607,0.13650
2004,West,Other Degree,0.06058,1140,16125,0.05689,0.06426
2004,West,"Dropout, No School Degree",0.01444,245,16125,0.01260,0.01628
2004,West,No School Degree Yet,0.01844,475,16125,0.01636,0.02051
2004,East,Secondary School Degree,0.28723,1467,5127,0.27484,0.29962
2004,East,Intermediate School Degree,0.38682,2318,5127,0.37349,0.40016
2004,East,Technical School Degree,0.01974,113,5127,0.01593,0.02355
2004,East,Upper Secondary Degree,0.13346,1012,5127,0.12415,0.14277
2004,East,Other Degree,0.00928,51,5127,0.00666,0.01191
2004,East,No School Degree Yet,0.02033,166,5127,0.01647,0.02419
2005,West,Secondary School Degree,0.34427,5689,15352,0.33675,0.35179
2005,West,Intermediate School Degree,0.19705,3799,15352,0.19076,0.20335
2005,West,Technical School Degree,0.04351,901,15352,0.04028,0.04674
2005,West,Upper Secondary Degree,0.13399,3152,15352,0.12860,0.13938
2005,West,Other Degree,0.06180,1076,15352,0.05799,0.06561
2005,West,"Dropout, No School Degree",0.01503,228,15352,0.01310,0.01695
2005,West,No School Degree Yet,0.02112,507,15352,0.01885,0.02340
2005,East,Secondary School Degree,0.27028,1381,4922,0.25787,0.28269
2005,East,Intermediate School Degree,0.38630,2220,4922,0.37270,0.39991
2005,East,Technical School Degree,0.02307,117,4922,0.01888,0.02726
2005,East,Upper Secondary Degree,0.14057,1007,4922,0.13086,0.15029
2005,East,Other Degree,0.01262,50,4922,0.00950,0.01574
2005,East,No School Degree Yet,0.02159,147,4922,0.01753,0.02565
2006,West,Secondary School Degree,0.33425,6147,16543,0.32706,0.34144
2006,West,Intermediate School Degree,0.19788,4126,16543,0.19181,0.20395
2006,West,Technical School Degree,0.04516,1000,16543,0.04199,0.04832
2006,West,Upper Secondary Degree,0.14094,3422,16543,0.13564,0.14624
