year,pgisced97,pgpsbil,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,Pre-primary Level,No School Degree Yet,0.96435,187,187,0.93770,0.99099
1984,Primary Level,"Dropout, No School Degree",0.74358,760,962,0.71598,0.77119
1984,Primary Level,No School Attended,0.14568,202,962,0.12337,0.16798
1984,Lower Secondary Level,Secondary School Degree,0.80086,2258,3448,0.78753,0.81419
1984,Lower Secondary Level,Intermediate School Degree,0.15681,477,3448,0.14467,0.16895
1984,Lower Secondary Level,Other Degree,0.04119,713,3448,0.03456,0.04783
1984,Upper Secondary Level,Secondary School Degree,0.68571,3525,5674,0.67363,0.69779
1984,Upper Secondary Level,Intermediate School Degree,0.23072,1199,5674,0.21975,0.24168
1984,Upper Secondary Level,Technical School Degree,0.00683,40,5674,0.00469,0.00898
1984,Upper Secondary Level,Upper Secondary Degree,0.04924,275,5674,0.04361,0.05487
1984,Upper Secondary Level,Other Degree,0.02064,527,5674,0.01694,0.02434
1984,Upper Secondary Level,"Dropout, No School Degree",0.00489,108,5674,0.00307,0.00670
1984,Post-secondary Non-tertiary Level,Technical School Degree,0.37444,88,302,0.31976,0.42912
1984,Post-secondary Non-tertiary Level,Upper Secondary Degree,0.52567,113,302,0.46925,0.58208
1984,Post-secondary Non-tertiary Level,Other Degree,0.09610,101,302,0.06281,0.12940
1984,First Stage of Tertiary Education,Secondary School Degree,0.46018,297,648,0.42177,0.49858
1984,First Stage of Tertiary Education,Intermediate School Degree,0.31438,211,648,0.27861,0.35016
1984,First Stage of Tertiary Education,Technical School Degree,0.10528,70,648,0.08163,0.12893
1984,First Stage of Tertiary Education,Upper Secondary Degree,0.11096,70,648,0.08676,0.13517
1984,Second Stage of Tertiary Education,Intermediate School Degree,0.09481,68,763,0.07401,0.11562
1984,Second Stage of Tertiary Education,Technical School Degree,0.17739,130,763,0.15027,0.20452
1984,Second Stage of Tertiary Education,Upper Secondary Degree,0.67394,507,763,0.64065,0.70722
1984,Second Stage of Tertiary Education,Other Degree,0.01909,58,763,0.00938,0.02881
1985,Pre-primary Level,No School Degree Yet,0.99798,187,187,0.99152,1.00443
1985,Primary Level,"Dropout, No School Degree",0.73354,628,796,0.70281,0.76428
1985,Primary Level,No School Attended,0.13088,168,796,0.10744,0.15433
1985,Lower Secondary Level,Secondary School Degree,0.78523,1998,3061,0.77067,0.79978
1985,Lower Secondary Level,Intermediate School Degree,0.17490,474,3061,0.16144,0.18836
1985,Lower Secondary Level,Other Degree,0.03983,589,3061,0.03290,0.04675
1985,Upper Secondary Level,Secondary School Degree,0.67654,3176,5148,0.66376,0.68932
1985,Upper Secondary Level,Intermediate School Degree,0.24203,1142,5148,0.23033,0.25374
1985,Upper Secondary Level,Technical School Degree,0.00734,42,5148,0.00501,0.00967
1985,Upper Secondary Level,Upper Secondary Degree,0.04674,253,5148,0.04097,0.05251
1985,Upper Secondary Level,Other Degree,0.02012,449,5148,0.01628,0.02396
1985,Upper Secondary Level,"Dropout, No School Degree",0.00477,86,5148,0.00289,0.00665
1985,Post-secondary Non-tertiary Level,Technical School Degree,0.37057,77,271,0.31296,0.42818
1985,Post-secondary Non-tertiary Level,Upper Secondary Degree,0.54540,112,271,0.48600,0.60479
1985,Post-secondary Non-tertiary Level,Other Degree,0.08135,82,271,0.04874,0.11395
1985,First Stage of Tertiary Education,Secondary School Degree,0.45391,278,609,0.41434,0.49349
