year,age_gr,pgpsbil,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,17-29 y.,Secondary School Degree,0.40107,1368,3400,0.38459,0.41755
1984,17-29 y.,Intermediate School Degree,0.29229,822,3400,0.27700,0.30758
1984,17-29 y.,Technical School Degree,0.04296,122,3400,0.03614,0.04978
1984,17-29 y.,Upper Secondary Degree,0.14129,394,3400,0.12958,0.15300
1984,17-29 y.,Other Degree,0.02730,307,3400,0.02182,0.03278
1984,17-29 y.,"Dropout, No School Degree",0.02549,186,3400,0.02019,0.03079
1984,17-29 y.,No School Degree Yet,0.06477,201,3400,0.05650,0.07305
1984,30-45 y.,Secondary School Degree,0.58062,1685,3865,0.56506,0.59618
1984,30-45 y.,Intermediate School Degree,0.18769,559,3865,0.17538,0.20000
1984,30-45 y.,Technical School Degree,0.03545,106,3865,0.02962,0.04128
1984,30-45 y.,Upper Secondary Degree,0.10637,312,3865,0.09665,0.11609
1984,30-45 y.,Other Degree,0.05372,757,3865,0.04661,0.06083
1984,30-45 y.,"Dropout, No School Degree",0.02499,349,3865,0.02007,0.02991
1984,30-45 y.,No School Attended,0.00665,97,3865,0.00409,0.00921
1984,46-65 y.,Secondary School Degree,0.72625,2096,3529,0.71153,0.74096
1984,46-65 y.,Intermediate School Degree,0.13659,395,3529,0.12526,0.14792
1984,46-65 y.,Technical School Degree,0.02677,77,3529,0.02144,0.03209
1984,46-65 y.,Upper Secondary Degree,0.06307,185,3529,0.05505,0.07109
1984,46-65 y.,Other Degree,0.02130,359,3529,0.01653,0.02606
1984,46-65 y.,"Dropout, No School Degree",0.01808,321,3529,0.01368,0.02248
1984,46-65 y.,No School Attended,0.00465,96,3529,0.00241,0.00690
1984,66 and older,Secondary School Degree,0.76574,962,1217,0.74193,0.78954
1984,66 and older,Intermediate School Degree,0.14667,181,1217,0.12679,0.16655
1984,66 and older,Upper Secondary Degree,0.05545,74,1217,0.04258,0.06831
1985,17-29 y.,Secondary School Degree,0.37573,1212,3055,0.35855,0.39290
1985,17-29 y.,Intermediate School Degree,0.30554,794,3055,0.28920,0.32187
1985,17-29 y.,Technical School Degree,0.04179,110,3055,0.03469,0.04888
1985,17-29 y.,Upper Secondary Degree,0.13678,372,3055,0.12459,0.14896
1985,17-29 y.,Other Degree,0.02618,230,3055,0.02052,0.03184
1985,17-29 y.,"Dropout, No School Degree",0.02549,145,3055,0.01990,0.03108
1985,17-29 y.,No School Degree Yet,0.06986,192,3055,0.06082,0.07890
1985,30-45 y.,Secondary School Degree,0.55999,1492,3433,0.54338,0.57660
1985,30-45 y.,Intermediate School Degree,0.19727,534,3433,0.18396,0.21059
1985,30-45 y.,Technical School Degree,0.03687,99,3433,0.03056,0.04317
