year,age_gr,pgisced97,pgpsbil,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,17-29 y.,Primary Level,"Dropout, No School Degree",0.77928,165,165,0.71581,0.84276
1984,17-29 y.,Lower Secondary Level,Secondary School Degree,0.50600,544,1046,0.47569,0.53631
1984,17-29 y.,Lower Secondary Level,Intermediate School Degree,0.45497,350,1046,0.42478,0.48516
1984,17-29 y.,Lower Secondary Level,Other Degree,0.03903,152,1046,0.02729,0.05077
1984,17-29 y.,Upper Secondary Level,Secondary School Degree,0.50092,793,1576,0.47622,0.52561
1984,17-29 y.,Upper Secondary Level,Intermediate School Degree,0.28100,400,1576,0.25880,0.30320
1984,17-29 y.,Upper Secondary Level,Technical School Degree,0.02543,37,1576,0.01765,0.03320
1984,17-29 y.,Upper Secondary Level,Upper Secondary Degree,0.16872,235,1576,0.15022,0.18722
1984,17-29 y.,Upper Secondary Level,Other Degree,0.01873,111,1576,0.01203,0.02542
1984,17-29 y.,Post-secondary Non-tertiary Level,Technical School Degree,0.47931,51,99,0.38040,0.57822
1984,17-29 y.,Post-secondary Non-tertiary Level,Upper Secondary Degree,0.47211,48,99,0.37327,0.57095
1984,17-29 y.,First Stage of Tertiary Education,Intermediate School Degree,0.54856,69,69,0.43028,0.66684
1984,17-29 y.,Second Stage of Tertiary Education,Upper Secondary Degree,0.78438,93,93,0.70035,0.86842
1984,30-45 y.,Primary Level,"Dropout, No School Degree",0.70429,301,392,0.65906,0.74953
1984,30-45 y.,Primary Level,No School Attended,0.20734,91,392,0.16715,0.24752
1984,30-45 y.,Lower Secondary Level,Secondary School Degree,0.78938,389,804,0.76118,0.81758
1984,30-45 y.,Lower Secondary Level,Intermediate School Degree,0.07060,38,804,0.05289,0.08832
1984,30-45 y.,Lower Secondary Level,Other Degree,0.14002,377,804,0.11601,0.16402
1984,30-45 y.,Upper Secondary Level,Secondary School Degree,0.70575,1176,1905,0.68528,0.72622
1984,30-45 y.,Upper Secondary Level,Intermediate School Degree,0.23716,406,1905,0.21806,0.25627
1984,30-45 y.,Upper Secondary Level,Other Degree,0.03365,276,1905,0.02555,0.04175
1984,30-45 y.,Upper Secondary Level,"Dropout, No School Degree",0.00533,47,1905,0.00206,0.00860
1984,30-45 y.,Post-secondary Non-tertiary Level,Other Degree,0.28254,61,61,0.16861,0.39646
1984,30-45 y.,First Stage of Tertiary Education,Secondary School Degree,0.47765,114,191,0.40663,0.54868
1984,30-45 y.,First Stage of Tertiary Education,Intermediate School Degree,0.30654,77,191,0.24098,0.37210
1984,30-45 y.,Second Stage of Tertiary Education,Intermediate School Degree,0.10914,38,371,0.07737,0.14092
1984,30-45 y.,Second Stage of Tertiary Education,Technical School Degree,0.16735,58,371,0.12931,0.20538
1984,30-45 y.,Second Stage of Tertiary Education,Upper Secondary Degree,0.68931,244,371,0.64216,0.73647
1984,30-45 y.,Second Stage of Tertiary Education,Other Degree,0.01952,31,371,0.00542,0.03362
1984,46-65 y.,Primary Level,"Dropout, No School Degree",0.73507,283,377,0.69047,0.77968
1984,46-65 y.,Primary Level,No School Attended,0.22383,94,377,0.18170,0.26596
1984,46-65 y.,Lower Secondary Level,Secondary School Degree,0.91256,844,1084,0.89573,0.92938
1984,46-65 y.,Lower Secondary Level,Intermediate School Degree,0.05906,57,1084,0.04502,0.07310
1984,46-65 y.,Lower Secondary Level,Other Degree,0.02838,183,1084,0.01849,0.03827
1984,46-65 y.,Upper Secondary Level,Secondary School Degree,0.77943,1121,1567,0.75889,0.79996
1984,46-65 y.,Upper Secondary Level,Intermediate School Degree,0.18921,270,1567,0.16981,0.20861
1984,46-65 y.,Upper Secondary Level,Other Degree,0.01796,138,1567,0.01139,0.02454
1984,46-65 y.,Upper Secondary Level,"Dropout, No School Degree",0.00611,38,1567,0.00225,0.00997
1984,46-65 y.,Post-secondary Non-tertiary Level,Upper Secondary Degree,0.65879,32,32,0.49189,0.82569
1984,46-65 y.,First Stage of Tertiary Education,Secondary School Degree,0.59638,121,164,0.52106,0.67170
1984,46-65 y.,First Stage of Tertiary Education,Intermediate School Degree,0.21793,43,164,0.15455,0.28131
1984,46-65 y.,Second Stage of Tertiary Education,Technical School Degree,0.21362,43,172,0.15219,0.27505
1984,46-65 y.,Second Stage of Tertiary Education,Upper Secondary Degree,0.60892,129,172,0.53578,0.68207
1984,66 and older,Lower Secondary Level,Secondary School Degree,0.93281,481,513,0.91113,0.95450
1984,66 and older,Lower Secondary Level,Intermediate School Degree,0.06679,32,513,0.04516,0.08841
1984,66 and older,Upper Secondary Level,Secondary School Degree,0.76213,435,558,0.72677,0.79749
1984,66 and older,Upper Secondary Level,Intermediate School Degree,0.21788,123,558,0.18360,0.25216
1984,66 and older,First Stage of Tertiary Education,Secondary School Degree,0.44839,39,39,0.29026,0.60652
1984,66 and older,Second Stage of Tertiary Education,Upper Secondary Degree,0.66073,41,41,0.51400,0.80745
1985,17-29 y.,Primary Level,"Dropout, No School Degree",0.73398,126,126,0.65651,0.81144
1985,17-29 y.,Lower Secondary Level,Secondary School Degree,0.48673,503,959,0.45508,0.51838
1985,17-29 y.,Lower Secondary Level,Intermediate School Degree,0.48383,354,959,0.45218,0.51547
1985,17-29 y.,Lower Secondary Level,Other Degree,0.02944,102,959,0.01874,0.04015
1985,17-29 y.,Upper Secondary Level,Secondary School Degree,0.48086,682,1402,0.45469,0.50702
1985,17-29 y.,Upper Secondary Level,Intermediate School Degree,0.30421,379,1402,0.28011,0.32830
1985,17-29 y.,Upper Secondary Level,Technical School Degree,0.02688,39,1402,0.01841,0.03535
1985,17-29 y.,Upper Secondary Level,Upper Secondary Degree,0.16253,217,1402,0.14321,0.18185
1985,17-29 y.,Upper Secondary Level,Other Degree,0.01796,85,1402,0.01100,0.02491
1985,17-29 y.,Post-secondary Non-tertiary Level,Technical School Degree,0.46414,42,93,0.36223,0.56605
1985,17-29 y.,Post-secondary Non-tertiary Level,Upper Secondary Degree,0.50414,51,93,0.40197,0.60631
1985,17-29 y.,First Stage of Tertiary Education,Intermediate School Degree,0.51202,59,59,0.38338,0.64067
1985,17-29 y.,Second Stage of Tertiary Education,Upper Secondary Degree,0.74115,84,84,0.64692,0.83538
1985,30-45 y.,Primary Level,"Dropout, No School Degree",0.67026,234,311,0.61792,0.72259
1985,30-45 y.,Primary Level,No School Attended,0.20497,77,311,0.16003,0.24991
1985,30-45 y.,Lower Secondary Level,Secondary School Degree,0.75690,318,679,0.72461,0.78919
1985,30-45 y.,Lower Secondary Level,Intermediate School Degree,0.08856,38,679,0.06717,0.10994
1985,30-45 y.,Lower Secondary Level,Other Degree,0.15455,323,679,0.12734,0.18176
1985,30-45 y.,Upper Secondary Level,Secondary School Degree,0.69598,1065,1725,0.67426,0.71769
1985,30-45 y.,Upper Secondary Level,Intermediate School Degree,0.24896,389,1725,0.22854,0.26937
1985,30-45 y.,Upper Secondary Level,Other Degree,0.03263,236,1725,0.02425,0.04102
1985,30-45 y.,Upper Secondary Level,"Dropout, No School Degree",0.00477,35,1725,0.00152,0.00803
1985,30-45 y.,Post-secondary Non-tertiary Level,Other Degree,0.20447,45,45,0.08530,0.32364
1985,30-45 y.,First Stage of Tertiary Education,Secondary School Degree,0.46271,103,177,0.38904,0.53637
1985,30-45 y.,First Stage of Tertiary Education,Intermediate School Degree,0.31422,74,177,0.24564,0.38280
1985,30-45 y.,Second Stage of Tertiary Education,Intermediate School Degree,0.09797,33,331,0.06590,0.13005
1985,30-45 y.,Second Stage of Tertiary Education,Technical School Degree,0.15358,53,331,0.11468,0.19248
1985,30-45 y.,Second Stage of Tertiary Education,Upper Secondary Degree,0.71722,245,331,0.66863,0.76581
1985,46-65 y.,Primary Level,"Dropout, No School Degree",0.75083,256,335,0.70444,0.79722
1985,46-65 y.,Primary Level,No School Attended,0.20539,79,335,0.16207,0.24872
1985,46-65 y.,Lower Secondary Level,Secondary School Degree,0.90980,783,999,0.89202,0.92757
1985,46-65 y.,Lower Secondary Level,Intermediate School Degree,0.06117,54,999,0.04630,0.07603
1985,46-65 y.,Lower Secondary Level,Other Degree,0.02904,162,999,0.01862,0.03945
1985,46-65 y.,Upper Secondary Level,Secondary School Degree,0.77381,1042,1426,0.75209,0.79553
1985,46-65 y.,Upper Secondary Level,Intermediate School Degree,0.19367,258,1426,0.17315,0.21419
1985,46-65 y.,Upper Secondary Level,Other Degree,0.01832,126,1426,0.01136,0.02529
1985,46-65 y.,First Stage of Tertiary Education,Secondary School Degree,0.58684,114,160,0.51030,0.66338
1985,46-65 y.,First Stage of Tertiary Education,Intermediate School Degree,0.23700,46,160,0.17090,0.30310
1985,46-65 y.,Second Stage of Tertiary Education,Technical School Degree,0.20679,40,168,0.14536,0.26821
1985,46-65 y.,Second Stage of Tertiary Education,Upper Secondary Degree,0.61256,128,168,0.53867,0.68645
1985,66 and older,Lower Secondary Level,Secondary School Degree,0.92668,394,394,0.90091,0.95245
1985,66 and older,Upper Secondary Level,Secondary School Degree,0.74937,387,503,0.71145,0.78728
1985,66 and older,Upper Secondary Level,Intermediate School Degree,0.22830,116,503,0.19158,0.26502
1985,66 and older,First Stage of Tertiary Education,Secondary School Degree,0.45681,39,39,0.29843,0.61520
1985,66 and older,Second Stage of Tertiary Education,Upper Secondary Degree,0.63660,34,34,0.47250,0.80071
1986,17-29 y.,Primary Level,"Dropout, No School Degree",0.69897,121,121,0.61690,0.78104
1986,17-29 y.,Lower Secondary Level,Secondary School Degree,0.48890,515,948,0.45706,0.52074
1986,17-29 y.,Lower Secondary Level,Intermediate School Degree,0.48284,346,948,0.45101,0.51466
1986,17-29 y.,Lower Secondary Level,Other Degree,0.02827,87,948,0.01771,0.03882
1986,17-29 y.,Upper Secondary Level,Secondary School Degree,0.45462,643,1373,0.42827,0.48097
1986,17-29 y.,Upper Secondary Level,Intermediate School Degree,0.30292,378,1373,0.27861,0.32724
1986,17-29 y.,Upper Secondary Level,Technical School Degree,0.03453,44,1373,0.02487,0.04419
1986,17-29 y.,Upper Secondary Level,Upper Secondary Degree,0.18369,236,1373,0.16320,0.20418
1986,17-29 y.,Upper Secondary Level,Other Degree,0.01685,72,1373,0.01004,0.02366
1986,17-29 y.,Post-secondary Non-tertiary Level,Technical School Degree,0.43795,41,89,0.33429,0.54161
1986,17-29 y.,Post-secondary Non-tertiary Level,Upper Secondary Degree,0.52517,48,89,0.42083,0.62950
1986,17-29 y.,First Stage of Tertiary Education,Intermediate School Degree,0.44621,47,47,0.30256,0.58987
1986,17-29 y.,Second Stage of Tertiary Education,Upper Secondary Degree,0.72433,63,63,0.61310,0.83556
1986,30-45 y.,Primary Level,"Dropout, No School Degree",0.72427,213,274,0.67126,0.77729
1986,30-45 y.,Primary Level,No School Attended,0.19134,61,274,0.14468,0.23800
1986,30-45 y.,Lower Secondary Level,Secondary School Degree,0.73048,281,617,0.69544,0.76552
1986,30-45 y.,Lower Secondary Level,Intermediate School Degree,0.10180,39,617,0.07792,0.12567
1986,30-45 y.,Lower Secondary Level,Other Degree,0.16772,297,617,0.13822,0.19723
1986,30-45 y.,Upper Secondary Level,Secondary School Degree,0.68774,992,1589,0.66495,0.71054
1986,30-45 y.,Upper Secondary Level,Intermediate School Degree,0.25666,376,1589,0.23518,0.27814
1986,30-45 y.,Upper Secondary Level,Other Degree,0.03229,221,1589,0.02360,0.04099
1986,30-45 y.,Post-secondary Non-tertiary Level,Other Degree,0.19521,46,46,0.07940,0.31102
1986,30-45 y.,First Stage of Tertiary Education,Secondary School Degree,0.40341,84,159,0.32692,0.47991
1986,30-45 y.,First Stage of Tertiary Education,Intermediate School Degree,0.34259,75,159,0.26859,0.41659
1986,30-45 y.,Second Stage of Tertiary Education,Technical School Degree,0.15568,53,316,0.11564,0.19571
1986,30-45 y.,Second Stage of Tertiary Education,Upper Secondary Degree,0.73389,263,316,0.68509,0.78270
1986,46-65 y.,Primary Level,"Dropout, No School Degree",0.73115,233,315,0.68211,0.78019
1986,46-65 y.,Primary Level,No School Attended,0.23033,82,315,0.18376,0.27690
1986,46-65 y.,Lower Secondary Level,Secondary School Degree,0.90026,718,949,0.88118,0.91933
1986,46-65 y.,Lower Secondary Level,Intermediate School Degree,0.06371,50,949,0.04816,0.07926
1986,46-65 y.,Lower Secondary Level,Other Degree,0.03603,181,949,0.02417,0.04790
1986,46-65 y.,Upper Secondary Level,Secondary School Degree,0.76060,1022,1451,0.73864,0.78257
1986,46-65 y.,Upper Secondary Level,Intermediate School Degree,0.20542,264,1451,0.18462,0.22621
1986,46-65 y.,Upper Secondary Level,Other Degree,0.01955,130,1451,0.01242,0.02668
1986,46-65 y.,Upper Secondary Level,"Dropout, No School Degree",0.00637,35,1451,0.00228,0.01047
1986,46-65 y.,First Stage of Tertiary Education,Secondary School Degree,0.61809,118,157,0.54185,0.69434
1986,46-65 y.,First Stage of Tertiary Education,Intermediate School Degree,0.20782,39,157,0.14415,0.27149
1986,46-65 y.,Second Stage of Tertiary Education,Technical School Degree,0.19443,39,171,0.13494,0.25393
1986,46-65 y.,Second Stage of Tertiary Education,Upper Secondary Degree,0.61416,132,171,0.54098,0.68734
1986,66 and older,Lower Secondary Level,Secondary School Degree,0.91601,360,360,0.88732,0.94470
1986,66 and older,Upper Secondary Level,Secondary School Degree,0.73745,353,465,0.69741,0.77748
1986,66 and older,Upper Secondary Level,Intermediate School Degree,0.24059,112,465,0.20170,0.27949
1986,66 and older,First Stage of Tertiary Education,Secondary School Degree,0.46308,35,35,0.29547,0.63069
1986,66 and older,Second Stage of Tertiary Education,Upper Secondary Degree,0.62279,32,32,0.45216,0.79341
1987,17-29 y.,Primary Level,"Dropout, No School Degree",0.62885,93,93,0.53013,0.72757
1987,17-29 y.,Lower Secondary Level,Secondary School Degree,0.52516,524,924,0.49295,0.55738
