year,quintil_oecd,pgpsbil,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,1st Quintile,Secondary School Degree,0.52911,1239,2451,0.50935,0.54888
1984,1st Quintile,Intermediate School Degree,0.07537,184,2451,0.06491,0.08582
1984,1st Quintile,Technical School Degree,0.01978,49,2451,0.01426,0.02529
1984,1st Quintile,Upper Secondary Degree,0.05783,149,2451,0.04859,0.06707
1984,1st Quintile,Other Degree,0.03323,410,2451,0.02613,0.04033
1984,1st Quintile,"Dropout, No School Degree",0.02795,272,2451,0.02143,0.03448
1984,1st Quintile,No School Degree Yet,0.01214,46,2451,0.00781,0.01648
1984,1st Quintile,No School Attended,0.00752,102,2451,0.00410,0.01094
1984,2nd Quintile,Secondary School Degree,0.56962,1354,2370,0.54968,0.58955
1984,2nd Quintile,Intermediate School Degree,0.10889,268,2370,0.09635,0.12144
1984,2nd Quintile,Technical School Degree,0.01545,41,2370,0.01048,0.02041
1984,2nd Quintile,Upper Secondary Degree,0.03144,84,2370,0.02441,0.03846
1984,2nd Quintile,Other Degree,0.02603,313,2370,0.01962,0.03244
1984,2nd Quintile,"Dropout, No School Degree",0.02095,214,2370,0.01519,0.02672
1984,2nd Quintile,No School Degree Yet,0.01613,51,2370,0.01105,0.02120
1984,2nd Quintile,No School Attended,0.00329,45,2370,0.00099,0.00560
1984,3rd Quintile,Secondary School Degree,0.53791,1291,2326,0.51765,0.55818
1984,3rd Quintile,Intermediate School Degree,0.15674,387,2326,0.14196,0.17151
1984,3rd Quintile,Technical School Degree,0.01931,51,2326,0.01372,0.02491
1984,3rd Quintile,Upper Secondary Degree,0.05176,129,2326,0.04275,0.06076
1984,3rd Quintile,Other Degree,0.02556,287,2326,0.01914,0.03197
1984,3rd Quintile,"Dropout, No School Degree",0.01319,147,2326,0.00855,0.01783
1984,3rd Quintile,No School Degree Yet,0.01314,34,2326,0.00851,0.01777
1984,4th Quintile,Secondary School Degree,0.48981,1217,2456,0.47003,0.50958
1984,4th Quintile,Intermediate School Degree,0.19576,492,2456,0.18007,0.21146
1984,4th Quintile,Technical School Degree,0.02602,67,2456,0.01972,0.03231
1984,4th Quintile,Upper Secondary Degree,0.08759,220,2456,0.07641,0.09877
1984,4th Quintile,Other Degree,0.01909,252,2456,0.01367,0.02450
1984,4th Quintile,"Dropout, No School Degree",0.01496,164,2456,0.01016,0.01976
1984,4th Quintile,No School Degree Yet,0.01504,44,2456,0.01023,0.01986
1984,5th Quintile,Secondary School Degree,0.40669,998,2359,0.38687,0.42652
1984,5th Quintile,Intermediate School Degree,0.25276,625,2359,0.23521,0.27030
1984,5th Quintile,Technical School Degree,0.04973,120,2359,0.04095,0.05850
1984,5th Quintile,Upper Secondary Degree,0.15307,377,2359,0.13854,0.16761
1984,5th Quintile,Other Degree,0.01382,167,2359,0.00911,0.01853
1984,5th Quintile,"Dropout, No School Degree",0.00657,72,2359,0.00331,0.00984
1985,1st Quintile,Secondary School Degree,0.51490,1104,2203,0.49402,0.53577
1985,1st Quintile,Intermediate School Degree,0.09487,217,2203,0.08263,0.10711
1985,1st Quintile,Technical School Degree,0.01687,37,2203,0.01149,0.02225
1985,1st Quintile,Upper Secondary Degree,0.05401,124,2203,0.04457,0.06345
1985,1st Quintile,Other Degree,0.03614,362,2203,0.02834,0.04393
1985,1st Quintile,"Dropout, No School Degree",0.03139,242,2203,0.02411,0.03868
1985,1st Quintile,No School Degree Yet,0.01237,42,2203,0.00775,0.01699
1985,1st Quintile,No School Attended,0.00619,75,2203,0.00291,0.00947
1985,2nd Quintile,Secondary School Degree,0.55923,1221,2126,0.53812,0.58034
1985,2nd Quintile,Intermediate School Degree,0.11585,250,2126,0.10225,0.12946
1985,2nd Quintile,Technical School Degree,0.01398,34,2126,0.00899,0.01898
1985,2nd Quintile,Upper Secondary Degree,0.04196,100,2126,0.03344,0.05049
1985,2nd Quintile,Other Degree,0.02764,284,2126,0.02067,0.03461
1985,2nd Quintile,"Dropout, No School Degree",0.01693,158,2126,0.01144,0.02242
1985,2nd Quintile,No School Degree Yet,0.01274,32,2126,0.00797,0.01751
1985,2nd Quintile,No School Attended,0.00371,47,2126,0.00112,0.00629
1985,3rd Quintile,Secondary School Degree,0.54318,1188,2161,0.52217,0.56419
1985,3rd Quintile,Intermediate School Degree,0.16713,376,2161,0.15140,0.18287
1985,3rd Quintile,Technical School Degree,0.01647,44,2161,0.01110,0.02184
1985,3rd Quintile,Upper Secondary Degree,0.05362,130,2161,0.04412,0.06312
1985,3rd Quintile,Other Degree,0.02245,231,2161,0.01620,0.02869
1985,3rd Quintile,"Dropout, No School Degree",0.01605,144,2161,0.01075,0.02135
1985,3rd Quintile,No School Degree Yet,0.01955,48,2161,0.01371,0.02539
1985,4th Quintile,Secondary School Degree,0.49916,1099,2185,0.47819,0.52013
1985,4th Quintile,Intermediate School Degree,0.19739,438,2185,0.18070,0.21409
1985,4th Quintile,Technical School Degree,0.03232,73,2185,0.02490,0.03974
1985,4th Quintile,Upper Secondary Degree,0.09042,215,2185,0.07839,0.10245
1985,4th Quintile,Other Degree,0.01798,206,2185,0.01241,0.02356
1985,4th Quintile,"Dropout, No School Degree",0.01410,120,2185,0.00916,0.01905
1985,4th Quintile,No School Degree Yet,0.01338,34,2185,0.00856,0.01820
1985,5th Quintile,Secondary School Degree,0.38671,865,2142,0.36608,0.40734
1985,5th Quintile,Intermediate School Degree,0.26430,596,2142,0.24562,0.28298
1985,5th Quintile,Technical School Degree,0.05252,113,2142,0.04307,0.06197
1985,5th Quintile,Upper Secondary Degree,0.15713,355,2142,0.14172,0.17255
