year,age_gr,quintil_oecd,pgpsbil,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,17-29 y.,1st Quintile,Secondary School Degree,0.39967,322,787,0.36543,0.43392
1984,17-29 y.,1st Quintile,Intermediate School Degree,0.18045,103,787,0.15357,0.20734
1984,17-29 y.,1st Quintile,Technical School Degree,0.05984,32,787,0.04326,0.07643
1984,17-29 y.,1st Quintile,Upper Secondary Degree,0.18837,103,787,0.16104,0.21571
1984,17-29 y.,1st Quintile,Other Degree,0.05397,115,787,0.03817,0.06976
1984,17-29 y.,1st Quintile,"Dropout, No School Degree",0.04521,66,787,0.03069,0.05974
1984,17-29 y.,1st Quintile,No School Degree Yet,0.06005,46,787,0.04344,0.07666
1984,17-29 y.,2nd Quintile,Secondary School Degree,0.41620,271,642,0.37804,0.45436
1984,17-29 y.,2nd Quintile,Intermediate School Degree,0.26935,139,642,0.23500,0.30369
1984,17-29 y.,2nd Quintile,Upper Secondary Degree,0.10566,57,642,0.08186,0.12945
1984,17-29 y.,2nd Quintile,Other Degree,0.03491,75,642,0.02070,0.04912
1984,17-29 y.,2nd Quintile,"Dropout, No School Degree",0.03977,49,642,0.02464,0.05490
1984,17-29 y.,2nd Quintile,No School Degree Yet,0.08374,51,642,0.06230,0.10519
1984,17-29 y.,3rd Quintile,Secondary School Degree,0.42636,276,642,0.38807,0.46464
1984,17-29 y.,3rd Quintile,Intermediate School Degree,0.33060,191,642,0.29418,0.36702
1984,17-29 y.,3rd Quintile,Upper Secondary Degree,0.11086,64,642,0.08655,0.13517
1984,17-29 y.,3rd Quintile,Other Degree,0.02305,44,642,0.01143,0.03467
1984,17-29 y.,3rd Quintile,"Dropout, No School Degree",0.02173,33,642,0.01045,0.03302
1984,17-29 y.,3rd Quintile,No School Degree Yet,0.06035,34,642,0.04191,0.07878
1984,17-29 y.,4th Quintile,Secondary School Degree,0.41611,307,680,0.37903,0.45319
1984,17-29 y.,4th Quintile,Intermediate School Degree,0.31019,193,680,0.27540,0.34499
1984,17-29 y.,4th Quintile,Upper Secondary Degree,0.14108,82,680,0.11489,0.16726
1984,17-29 y.,4th Quintile,Other Degree,0.01904,54,680,0.00876,0.02933
1984,17-29 y.,4th Quintile,No School Degree Yet,0.06688,44,680,0.04809,0.08567
1984,17-29 y.,5th Quintile,Secondary School Degree,0.34133,188,466,0.29824,0.38443
1984,17-29 y.,5th Quintile,Intermediate School Degree,0.37811,196,466,0.33403,0.42218
1984,17-29 y.,5th Quintile,Upper Secondary Degree,0.15226,82,466,0.11961,0.18492
1984,30-45 y.,1st Quintile,Secondary School Degree,0.67413,319,756,0.64070,0.70756
