year,age_gr,bula_h,pgpsbil,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,17-29 y.,Schleswig-Holstein,Secondary School Degree,0.33719,31,63,0.21952,0.45487
1984,17-29 y.,Schleswig-Holstein,Intermediate School Degree,0.35833,32,63,0.23897,0.47769
1984,17-29 y.,Lower Saxony,Secondary School Degree,0.38386,127,293,0.32808,0.43964
1984,17-29 y.,Lower Saxony,Intermediate School Degree,0.33551,99,293,0.28135,0.38967
1984,17-29 y.,Lower Saxony,Upper Secondary Degree,0.10943,36,293,0.07362,0.14523
1984,17-29 y.,Lower Saxony,No School Degree Yet,0.09903,31,293,0.06477,0.13329
1984,17-29 y.,North Rhine-Westphalia,Secondary School Degree,0.35883,347,954,0.32838,0.38928
1984,17-29 y.,North Rhine-Westphalia,Intermediate School Degree,0.28009,219,954,0.25158,0.30860
1984,17-29 y.,North Rhine-Westphalia,Technical School Degree,0.05551,46,954,0.04098,0.07005
1984,17-29 y.,North Rhine-Westphalia,Upper Secondary Degree,0.16255,120,954,0.13913,0.18598
1984,17-29 y.,North Rhine-Westphalia,Other Degree,0.02857,95,954,0.01799,0.03915
1984,17-29 y.,North Rhine-Westphalia,"Dropout, No School Degree",0.03269,60,954,0.02140,0.04398
1984,17-29 y.,North Rhine-Westphalia,No School Degree Yet,0.07516,67,954,0.05842,0.09190
1984,17-29 y.,Hesse,Secondary School Degree,0.28569,126,323,0.23635,0.33503
1984,17-29 y.,Hesse,Intermediate School Degree,0.31274,85,323,0.26210,0.36337
1984,17-29 y.,Hesse,Upper Secondary Degree,0.22458,58,323,0.17900,0.27016
1984,17-29 y.,Hesse,Other Degree,0.04366,54,323,0.02134,0.06597
1984,17-29 y.,"Rhineland-Palatinate, Saarland",Secondary School Degree,0.54111,130,185,0.46911,0.61311
1984,17-29 y.,"Rhineland-Palatinate, Saarland",Intermediate School Degree,0.24990,55,185,0.18734,0.31246
1984,17-29 y.,Baden-Wuerttemberg,Secondary School Degree,0.46052,292,621,0.42128,0.49975
1984,17-29 y.,Baden-Wuerttemberg,Intermediate School Degree,0.26650,130,621,0.23169,0.30130
1984,17-29 y.,Baden-Wuerttemberg,Upper Secondary Degree,0.10045,46,621,0.07679,0.12411
1984,17-29 y.,Baden-Wuerttemberg,Other Degree,0.03982,76,621,0.02443,0.05521
1984,17-29 y.,Baden-Wuerttemberg,"Dropout, No School Degree",0.01450,39,621,0.00509,0.02392
1984,17-29 y.,Baden-Wuerttemberg,No School Degree Yet,0.07390,38,621,0.05331,0.09450
1984,17-29 y.,Bavaria,Secondary School Degree,0.47092,256,482,0.42631,0.51553
1984,17-29 y.,Bavaria,Intermediate School Degree,0.29316,151,482,0.25247,0.33384
1984,17-29 y.,Bavaria,Upper Secondary Degree,0.13246,75,482,0.10217,0.16276
1984,30-45 y.,Schleswig-Holstein,Secondary School Degree,0.59879,77,112,0.50761,0.68998
1984,30-45 y.,Schleswig-Holstein,Intermediate School Degree,0.23459,35,112,0.15576,0.31342
1984,30-45 y.,Hamburg,Secondary School Degree,0.42048,33,33,0.24944,0.59152
1984,30-45 y.,Lower Saxony,Secondary School Degree,0.60528,198,354,0.55429,0.65627
1984,30-45 y.,Lower Saxony,Intermediate School Degree,0.20717,69,354,0.16489,0.24945
1984,30-45 y.,Lower Saxony,Upper Secondary Degree,0.11126,39,354,0.07846,0.14407
1984,30-45 y.,Lower Saxony,Other Degree,0.03165,48,354,0.01339,0.04992
1984,30-45 y.,North Rhine-Westphalia,Secondary School Degree,0.57666,473,1048,0.54673,0.60659
1984,30-45 y.,North Rhine-Westphalia,Intermediate School Degree,0.16586,142,1048,0.14333,0.18839
1984,30-45 y.,North Rhine-Westphalia,Upper Secondary Degree,0.12390,97,1048,0.10394,0.14386
1984,30-45 y.,North Rhine-Westphalia,Other Degree,0.05282,191,1048,0.03927,0.06637
1984,30-45 y.,North Rhine-Westphalia,"Dropout, No School Degree",0.03388,114,1048,0.02292,0.04484
1984,30-45 y.,North Rhine-Westphalia,No School Attended,0.00936,31,1048,0.00353,0.01520
1984,30-45 y.,Hesse,Secondary School Degree,0.54443,136,318,0.48960,0.59925
1984,30-45 y.,Hesse,Intermediate School Degree,0.19427,46,318,0.15072,0.23782
1984,30-45 y.,Hesse,Other Degree,0.07838,100,318,0.04879,0.10796
1984,30-45 y.,Hesse,"Dropout, No School Degree",0.02009,36,318,0.00464,0.03553
1984,30-45 y.,"Rhineland-Palatinate, Saarland",Secondary School Degree,0.70488,116,116,0.62151,0.78824
1984,30-45 y.,Baden-Wuerttemberg,Secondary School Degree,0.60216,287,687,0.56553,0.63878
1984,30-45 y.,Baden-Wuerttemberg,Intermediate School Degree,0.15145,72,687,0.12462,0.17828
1984,30-45 y.,Baden-Wuerttemberg,Upper Secondary Degree,0.09307,46,687,0.07133,0.11481
1984,30-45 y.,Baden-Wuerttemberg,Other Degree,0.06236,183,687,0.04426,0.08045
1984,30-45 y.,Baden-Wuerttemberg,"Dropout, No School Degree",0.03593,99,687,0.02200,0.04986
1984,30-45 y.,Bavaria,Secondary School Degree,0.58582,311,642,0.54769,0.62395
1984,30-45 y.,Bavaria,Intermediate School Degree,0.21368,116,642,0.18195,0.24541
1984,30-45 y.,Bavaria,Upper Secondary Degree,0.08579,49,642,0.06411,0.10748
1984,30-45 y.,Bavaria,Other Degree,0.05621,128,642,0.03838,0.07405
1984,30-45 y.,Bavaria,"Dropout, No School Degree",0.01396,38,642,0.00487,0.02304
1984,30-45 y.,Berlin,Secondary School Degree,0.41891,44,44,0.27144,0.56638
