year,bula_h,pgpsbil,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,Schleswig-Holstein,Secondary School Degree,0.49188,211,336,0.43834,0.54541
1984,Schleswig-Holstein,Intermediate School Degree,0.19715,94,336,0.15454,0.23975
1984,Schleswig-Holstein,Upper Secondary Degree,0.06676,31,336,0.04003,0.09348
1984,Hamburg,Secondary School Degree,0.49222,134,238,0.42857,0.55587
1984,Hamburg,Intermediate School Degree,0.20055,58,238,0.14957,0.25153
1984,Hamburg,Other Degree,0.03278,46,238,0.01011,0.05545
1984,Lower Saxony,Secondary School Degree,0.51410,683,1187,0.48565,0.54254
1984,Lower Saxony,Intermediate School Degree,0.17392,236,1187,0.15235,0.19549
1984,Lower Saxony,Upper Secondary Degree,0.06715,99,1187,0.05290,0.08139
1984,Lower Saxony,Other Degree,0.01510,88,1187,0.00816,0.02205
1984,Lower Saxony,"Dropout, No School Degree",0.01166,50,1187,0.00555,0.01777
1984,Lower Saxony,No School Degree Yet,0.02002,31,1187,0.01205,0.02799
1984,Bremen,Secondary School Degree,0.63035,73,73,0.51885,0.74185
1984,North Rhine-Westphalia,Secondary School Degree,0.49145,1579,3224,0.47419,0.50871
1984,North Rhine-Westphalia,Intermediate School Degree,0.14395,489,3224,0.13183,0.15607
1984,North Rhine-Westphalia,Technical School Degree,0.02821,99,3224,0.02250,0.03393
1984,North Rhine-Westphalia,Upper Secondary Degree,0.08403,275,3224,0.07445,0.09361
1984,North Rhine-Westphalia,Other Degree,0.02421,379,3224,0.01890,0.02952
1984,North Rhine-Westphalia,"Dropout, No School Degree",0.02159,269,3224,0.01658,0.02661
1984,North Rhine-Westphalia,No School Degree Yet,0.01604,67,3224,0.01170,0.02038
1984,North Rhine-Westphalia,No School Attended,0.00405,67,3224,0.00186,0.00625
1984,Hesse,Secondary School Degree,0.47424,545,1196,0.44593,0.50255
1984,Hesse,Intermediate School Degree,0.17122,192,1196,0.14986,0.19258
1984,Hesse,Technical School Degree,0.02658,31,1196,0.01746,0.03570
1984,Hesse,Upper Secondary Degree,0.10969,120,1196,0.09197,0.12741
1984,Hesse,Other Degree,0.03256,205,1196,0.02250,0.04262
1984,Hesse,"Dropout, No School Degree",0.01950,103,1196,0.01166,0.02734
1984,"Rhineland-Palatinate, Saarland",Secondary School Degree,0.61022,545,814,0.57669,0.64374
1984,"Rhineland-Palatinate, Saarland",Intermediate School Degree,0.12459,112,814,0.10189,0.14729
1984,"Rhineland-Palatinate, Saarland",Upper Secondary Degree,0.04717,47,814,0.03260,0.06175
1984,"Rhineland-Palatinate, Saarland",Other Degree,0.01848,53,814,0.00922,0.02774
1984,"Rhineland-Palatinate, Saarland","Dropout, No School Degree",0.01836,57,814,0.00913,0.02759
1984,Baden-Wuerttemberg,Secondary School Degree,0.50313,1061,2231,0.48238,0.52389
1984,Baden-Wuerttemberg,Intermediate School Degree,0.14026,291,2231,0.12585,0.15467
1984,Baden-Wuerttemberg,Technical School Degree,0.02927,60,2231,0.02228,0.03627
1984,Baden-Wuerttemberg,Upper Secondary Degree,0.06290,134,2231,0.05283,0.07298
1984,Baden-Wuerttemberg,Other Degree,0.02846,350,2231,0.02156,0.03536
1984,Baden-Wuerttemberg,"Dropout, No School Degree",0.01779,237,2231,0.01231,0.02328
1984,Baden-Wuerttemberg,No School Degree Yet,0.01510,38,2231,0.01004,0.02016
1984,Baden-Wuerttemberg,No School Attended,0.00387,60,2231,0.00129,0.00645
1984,Bavaria,Secondary School Degree,0.51299,1109,2036,0.49127,0.53471
1984,Bavaria,Intermediate School Degree,0.16866,382,2036,0.15239,0.18493
1984,Bavaria,Technical School Degree,0.02576,59,2036,0.01888,0.03265
1984,Bavaria,Upper Secondary Degree,0.07521,180,2036,0.06375,0.08667
1984,Bavaria,Other Degree,0.02124,219,2036,0.01497,0.02750
1984,Bavaria,"Dropout, No School Degree",0.00995,87,2036,0.00564,0.01426
1984,Berlin,Secondary School Degree,0.43536,171,382,0.38558,0.48515
1984,Berlin,Intermediate School Degree,0.19212,80,382,0.15256,0.23168
1984,Berlin,Upper Secondary Degree,0.11328,46,382,0.08146,0.14511
1984,Berlin,Other Degree,0.03021,51,382,0.01302,0.04740
1984,Berlin,"Dropout, No School Degree",0.02371,34,382,0.00843,0.03898
1985,Schleswig-Holstein,Secondary School Degree,0.50501,200,282,0.44655,0.56347
1985,Schleswig-Holstein,Intermediate School Degree,0.19070,82,282,0.14477,0.23663
1985,Hamburg,Secondary School Degree,0.49590,120,217,0.42922,0.56258
1985,Hamburg,Intermediate School Degree,0.22133,60,217,0.16597,0.27670
1985,Hamburg,Other Degree,0.02865,37,217,0.00640,0.05090
1985,Lower Saxony,Secondary School Degree,0.50581,602,1029,0.47525,0.53637
1985,Lower Saxony,Intermediate School Degree,0.18683,226,1029,0.16300,0.21066
1985,Lower Saxony,Upper Secondary Degree,0.07274,98,1029,0.05687,0.08862
1985,Lower Saxony,Other Degree,0.01504,66,1029,0.00760,0.02248
1985,Lower Saxony,"Dropout, No School Degree",0.01079,37,1029,0.00448,0.01711
1985,Bremen,Secondary School Degree,0.64223,70,70,0.52913,0.75533
1985,North Rhine-Westphalia,Secondary School Degree,0.48010,1408,2918,0.46196,0.49823
1985,North Rhine-Westphalia,Intermediate School Degree,0.15369,476,2918,0.14060,0.16678
1985,North Rhine-Westphalia,Technical School Degree,0.03008,94,2918,0.02388,0.03628
1985,North Rhine-Westphalia,Upper Secondary Degree,0.09003,284,2918,0.07964,0.10042
1985,North Rhine-Westphalia,Other Degree,0.02353,317,2918,0.01802,0.02903
1985,North Rhine-Westphalia,"Dropout, No School Degree",0.02139,223,2918,0.01614,0.02664
1985,North Rhine-Westphalia,No School Degree Yet,0.01866,65,2918,0.01375,0.02358
1985,North Rhine-Westphalia,No School Attended,0.00342,51,2918,0.00130,0.00554
1985,Hesse,Secondary School Degree,0.47416,497,1052,0.44397,0.50435
1985,Hesse,Intermediate School Degree,0.17811,181,1052,0.15498,0.20124
1985,Hesse,Upper Secondary Degree,0.11222,114,1052,0.09314,0.13130
1985,Hesse,Other Degree,0.03244,176,1052,0.02173,0.04315
1985,Hesse,"Dropout, No School Degree",0.01826,84,1052,0.01016,0.02635
1985,"Rhineland-Palatinate, Saarland",Secondary School Degree,0.60230,488,733,0.56684,0.63776
1985,"Rhineland-Palatinate, Saarland",Intermediate School Degree,0.13287,107,733,0.10828,0.15746
1985,"Rhineland-Palatinate, Saarland",Upper Secondary Degree,0.04645,43,733,0.03120,0.06169
1985,"Rhineland-Palatinate, Saarland",Other Degree,0.01777,43,733,0.00820,0.02734
1985,"Rhineland-Palatinate, Saarland","Dropout, No School Degree",0.02128,52,733,0.01082,0.03173
1985,Baden-Wuerttemberg,Secondary School Degree,0.49431,954,2009,0.47244,0.51617
1985,Baden-Wuerttemberg,Intermediate School Degree,0.15269,282,2009,0.13695,0.16842
1985,Baden-Wuerttemberg,Technical School Degree,0.02974,55,2009,0.02231,0.03717
1985,Baden-Wuerttemberg,Upper Secondary Degree,0.06452,123,2009,0.05377,0.07526
1985,Baden-Wuerttemberg,Other Degree,0.02880,300,2009,0.02149,0.03612
1985,Baden-Wuerttemberg,"Dropout, No School Degree",0.01822,196,2009,0.01237,0.02407
1985,Baden-Wuerttemberg,No School Degree Yet,0.01890,42,2009,0.01295,0.02486
1985,Baden-Wuerttemberg,No School Attended,0.00422,57,2009,0.00139,0.00706
1985,Bavaria,Secondary School Degree,0.50995,999,1845,0.48713,0.53276
1985,Bavaria,Intermediate School Degree,0.17853,366,1845,0.16105,0.19601
1985,Bavaria,Technical School Degree,0.02565,53,1845,0.01843,0.03287
1985,Bavaria,Upper Secondary Degree,0.07450,164,1845,0.06252,0.08649
1985,Bavaria,Other Degree,0.02256,192,1845,0.01578,0.02934
1985,Bavaria,"Dropout, No School Degree",0.01152,71,1845,0.00665,0.01639
1985,Berlin,Secondary School Degree,0.40667,140,308,0.35172,0.46161
1985,Berlin,Intermediate School Degree,0.20909,77,308,0.16360,0.25458
1985,Berlin,Upper Secondary Degree,0.13086,46,308,0.09314,0.16859
1985,Berlin,Other Degree,0.03088,45,308,0.01153,0.05023
1986,Schleswig-Holstein,Secondary School Degree,0.49912,182,257,0.43787,0.56037
1986,Schleswig-Holstein,Intermediate School Degree,0.19944,75,257,0.15049,0.24838
1986,Hamburg,Secondary School Degree,0.49491,110,199,0.42526,0.56455
1986,Hamburg,Intermediate School Degree,0.22127,52,199,0.16345,0.27909
1986,Hamburg,Other Degree,0.03079,37,199,0.00673,0.05485
1986,Lower Saxony,Secondary School Degree,0.49760,584,1036,0.46713,0.52806
1986,Lower Saxony,Intermediate School Degree,0.19642,237,1036,0.17222,0.22063
1986,Lower Saxony,Upper Secondary Degree,0.08136,107,1036,0.06471,0.09802
1986,Lower Saxony,Other Degree,0.01701,69,1036,0.00914,0.02489
