year,sampreg,hlc0052,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2006,West,Yes,0.06807,559,8960,0.06285,0.07328
2006,West,No,0.88082,8401,8960,0.87411,0.88753
2006,East,Yes,0.15064,426,2770,0.13731,0.16396
2006,East,No,0.79299,2344,2770,0.77789,0.80808
2007,West,Yes,0.08038,620,8333,0.07454,0.08622
2007,West,No,0.86269,7713,8333,0.85530,0.87008
2007,East,Yes,0.16802,458,2637,0.15375,0.18229
2007,East,No,0.77747,2179,2637,0.76159,0.79335
2008,West,Yes,0.07234,509,7779,0.06658,0.07809
2008,West,No,0.86773,7270,7779,0.86020,0.87526
2008,East,Yes,0.16697,411,2532,0.15244,0.18150
2008,East,No,0.77697,2121,2532,0.76075,0.79319
2009,West,Yes,0.06671,452,7617,0.06111,0.07231
2009,West,No,0.93264,7165,7617,0.92701,0.93827
2009,East,Yes,0.15868,358,2555,0.14451,0.17285
2009,East,No,0.84132,2197,2555,0.82715,0.85549
2010,West,Yes,0.06860,1116,10638,0.06379,0.07340
2010,West,No,0.93104,9522,10638,0.92622,0.93585
2010,East,Yes,0.14231,589,3158,0.13013,0.15450
2010,East,No,0.85739,2569,3158,0.84519,0.86959
2011,West,Yes,0.06855,1296,12664,0.06415,0.07295
2011,West,No,0.91111,11368,12664,0.90616,0.91607
2011,East,Yes,0.14475,705,3670,0.13336,0.15613
2011,East,No,0.82933,2965,3670,0.81715,0.84150
2012,West,Yes,0.06559,1176,12389,0.06123,0.06995
2012,West,No,0.91467,11213,12389,0.90975,0.91959
2012,East,Yes,0.14717,690,3630,0.13564,0.15869
2012,East,No,0.82683,2940,3630,0.81452,0.83914
2013,West,Yes,0.07223,1537,13979,0.06794,0.07652
2013,West,No,0.90479,12442,13979,0.89992,0.90965
2013,East,Yes,0.13692,656,3572,0.12564,0.14819
2013,East,No,0.83802,2916,3572,0.82593,0.85010
2014,West,Yes,0.07457,1319,12327,0.06993,0.07920
2014,West,No,0.90990,11008,12327,0.90485,0.91496
2014,East,Yes,0.13208,543,3352,0.12062,0.14355
2014,East,No,0.85845,2809,3352,0.84665,0.87025
2015,West,Yes,0.07374,1325,12220,0.06911,0.07838
2015,West,No,0.89956,10895,12220,0.89424,0.90489
2015,East,Yes,0.13680,528,3200,0.12490,0.14871
2015,East,No,0.82960,2672,3200,0.81657,0.84263
2016,West,Yes,0.07204,1139,11083,0.06722,0.07685
2016,West,No,0.90809,9944,11083,0.90272,0.91347
2016,East,Yes,0.12900,461,3025,0.11705,0.14094
2016,East,No,0.84756,2564,3025,0.83474,0.86037
2017,West,Yes,0.06958,1646,13439,0.06528,0.07388
2017,West,No,0.91367,11793,13439,0.90892,0.91842
2017,East,Yes,0.11396,542,3641,0.10363,0.12428
2017,East,No,0.86670,3099,3641,0.85566,0.87774
2018,West,Yes,0.06925,2265,13976,0.06504,0.07346
2018,West,No,0.92001,11711,13976,0.91551,0.92451
2018,East,Yes,0.10506,684,3736,0.09522,0.11489
2018,East,No,0.87411,3052,3736,0.86347,0.88475
2019,West,Yes,0.06432,2221,14359,0.06031,0.06833
2019,West,No,0.92637,12138,14359,0.92209,0.93064
2019,East,Yes,0.09814,598,3868,0.08876,0.10752
2019,East,No,0.88015,3270,3868,0.86992,0.89039
2020,West,Yes,0.06104,2532,15263,0.05724,0.06483
2020,West,No,0.91666,12731,15263,0.91228,0.92105
2020,East,Yes,0.09629,599,3799,0.08690,0.10567
2020,East,No,0.88188,3200,3799,0.87161,0.89214
2021,West,Yes,0.05805,1201,9915,0.05345,0.06265
2021,West,No,0.93457,8714,9915,0.92970,0.93944
2021,East,Yes,0.07583,325,2570,0.06559,0.08606
2021,East,No,0.91484,2245,2570,0.90404,0.92563
2022,West,Yes,0.04733,1087,15859,0.04402,0.05063
2022,West,No,0.93629,14772,15859,0.93249,0.94009
2022,East,Yes,0.05627,336,4327,0.04941,0.06314
2022,East,No,0.91993,3991,4327,0.91184,0.92802
