year,bula_h,hlc0052,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2006,Schleswig-Holstein,Yes,0.09388,37,373,0.06424,0.12351
2006,Schleswig-Holstein,No,0.86179,336,373,0.82672,0.89686
2006,Hamburg,No,0.88818,174,174,0.84122,0.93514
2006,Lower Saxony,Yes,0.06563,70,1033,0.05052,0.08074
2006,Lower Saxony,No,0.87593,963,1033,0.85582,0.89605
2006,Bremen,No,0.89485,82,82,0.82804,0.96165
2006,North Rhine-Westphalia,Yes,0.08589,177,2457,0.07481,0.09697
2006,North Rhine-Westphalia,No,0.87892,2280,2457,0.86602,0.89183
2006,Hesse,Yes,0.04013,32,803,0.02654,0.05371
2006,Hesse,No,0.89778,771,803,0.87681,0.91875
2006,"Rhineland-Palatinate, Saarland",Yes,0.07999,55,693,0.05978,0.10020
2006,"Rhineland-Palatinate, Saarland",No,0.86073,638,693,0.83493,0.88652
2006,Baden-Wuerttemberg,Yes,0.04238,57,1403,0.03183,0.05292
2006,Baden-Wuerttemberg,No,0.89372,1346,1403,0.87758,0.90985
2006,Bavaria,Yes,0.05620,77,1665,0.04514,0.06727
2006,Bavaria,No,0.89720,1588,1665,0.88261,0.91179
2006,Berlin,Yes,0.14446,70,456,0.11216,0.17677
2006,Berlin,No,0.78468,386,456,0.74691,0.82245
2006,Brandenburg,Yes,0.15690,81,497,0.12490,0.18891
2006,Brandenburg,No,0.78265,416,497,0.74635,0.81895
2006,Mecklenburg-Western Pomerania,Yes,0.15730,45,291,0.11540,0.19921
2006,Mecklenburg-Western Pomerania,No,0.79996,246,291,0.75391,0.84600
2006,Saxony,Yes,0.14597,114,827,0.12190,0.17005
2006,Saxony,No,0.79088,713,827,0.76315,0.81862
2006,Saxony-Anhalt,Yes,0.16822,78,472,0.13444,0.20200
2006,Saxony-Anhalt,No,0.78935,394,472,0.75252,0.82617
2006,Thuringa,Yes,0.13561,75,487,0.10517,0.16606
2006,Thuringa,No,0.81023,412,487,0.77537,0.84510
2007,Schleswig-Holstein,Yes,0.09608,36,347,0.06503,0.12713
