year,quintil_oecd_hh,hlc0052,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2006,1st Quintile,Yes,0.28068,637,1991,0.26094,0.30042
2006,1st Quintile,No,0.65519,1354,1991,0.63430,0.67607
2006,2nd Quintile,Yes,0.07157,175,2125,0.06061,0.08253
2006,2nd Quintile,No,0.87325,1950,2125,0.85910,0.88740
2006,3rd Quintile,Yes,0.03394,90,2280,0.02650,0.04137
2006,3rd Quintile,No,0.91539,2190,2280,0.90396,0.92681
2006,4th Quintile,Yes,0.02211,52,2368,0.01619,0.02803
2006,4th Quintile,No,0.92296,2316,2368,0.91221,0.93370
2006,5th Quintile,Yes,0.00960,31,2962,0.00608,0.01311
2006,5th Quintile,No,0.95568,2931,2962,0.94827,0.96309
2007,1st Quintile,Yes,0.30200,639,1871,0.28119,0.32281
2007,1st Quintile,No,0.63602,1232,1871,0.61421,0.65783
2007,2nd Quintile,Yes,0.09143,213,2004,0.07881,0.10405
2007,2nd Quintile,No,0.83973,1791,2004,0.82367,0.85580
2007,3rd Quintile,Yes,0.04678,112,2117,0.03778,0.05577
2007,3rd Quintile,No,0.89568,2005,2117,0.88265,0.90870
2007,4th Quintile,Yes,0.02686,64,2239,0.02016,0.03356
2007,4th Quintile,No,0.91941,2175,2239,0.90813,0.93069
2007,5th Quintile,Yes,0.01709,50,2736,0.01223,0.02195
2007,5th Quintile,No,0.94260,2686,2736,0.93389,0.95132
2008,1st Quintile,Yes,0.28719,569,1787,0.26621,0.30818
2008,1st Quintile,No,0.64946,1218,1787,0.62733,0.67159
2008,2nd Quintile,Yes,0.08108,167,1874,0.06872,0.09344
2008,2nd Quintile,No,0.86164,1707,1874,0.84601,0.87728
2008,3rd Quintile,Yes,0.03955,86,2048,0.03111,0.04800
2008,3rd Quintile,No,0.89261,1962,2048,0.87919,0.90602
2008,4th Quintile,Yes,0.03026,68,2016,0.02278,0.03774
2008,4th Quintile,No,0.91254,1948,2016,0.90021,0.92488
2008,5th Quintile,No,0.93790,2554,2554,0.92854,0.94727
2009,1st Quintile,Yes,0.27305,515,1792,0.25242,0.29369
2009,1st Quintile,No,0.72610,1277,1792,0.70545,0.74676
2009,2nd Quintile,Yes,0.08244,159,1885,0.07002,0.09486
2009,2nd Quintile,No,0.91707,1726,1885,0.90462,0.92953
2009,3rd Quintile,Yes,0.02968,65,1949,0.02215,0.03722
2009,3rd Quintile,No,0.97032,1884,1949,0.96278,0.97785
2009,4th Quintile,Yes,0.02258,44,2061,0.01617,0.02900
2009,4th Quintile,No,0.97742,2017,2061,0.97100,0.98383
2009,5th Quintile,No,0.98713,2455,2455,0.98267,0.99159
2010,1st Quintile,Yes,0.27907,1242,3146,0.26339,0.29474
2010,1st Quintile,No,0.72066,1904,3146,0.70498,0.73634
2010,2nd Quintile,Yes,0.08077,315,2919,0.07088,0.09066
2010,2nd Quintile,No,0.91775,2604,2919,0.90778,0.92772
2010,3rd Quintile,Yes,0.02562,87,2557,0.01950,0.03175
2010,3rd Quintile,No,0.97438,2470,2557,0.96825,0.98050
2010,4th Quintile,Yes,0.01551,40,2457,0.01062,0.02040
2010,4th Quintile,No,0.98449,2417,2457,0.97960,0.98938
2010,5th Quintile,No,0.99042,2692,2692,0.98675,0.99410
2011,1st Quintile,Yes,0.28829,1434,3673,0.27364,0.30295
2011,1st Quintile,No,0.69461,2239,3673,0.67971,0.70951
2011,2nd Quintile,Yes,0.06566,350,3366,0.05729,0.07403
2011,2nd Quintile,No,0.91303,3016,3366,0.90351,0.92255
2011,3rd Quintile,Yes,0.03279,128,3164,0.02658,0.03899
2011,3rd Quintile,No,0.94663,3036,3164,0.93880,0.95447
2011,4th Quintile,Yes,0.01654,53,3004,0.01197,0.02110
2011,4th Quintile,No,0.96308,2951,3004,0.95633,0.96982
2011,5th Quintile,Yes,0.00950,36,3124,0.00610,0.01290
2011,5th Quintile,No,0.96296,3088,3124,0.95634,0.96959
2012,1st Quintile,Yes,0.27733,1324,3552,0.26260,0.29205
2012,1st Quintile,No,0.70254,2228,3552,0.68750,0.71758
2012,2nd Quintile,Yes,0.07104,325,3261,0.06222,0.07986
2012,2nd Quintile,No,0.90843,2936,3261,0.89853,0.91833
2012,3rd Quintile,Yes,0.03245,129,3138,0.02625,0.03866
2012,3rd Quintile,No,0.94401,3009,3138,0.93596,0.95205
2012,4th Quintile,Yes,0.01500,60,2961,0.01062,0.01938
2012,4th Quintile,No,0.96182,2901,2961,0.95491,0.96872
2012,5th Quintile,No,0.97616,3073,3073,0.97077,0.98156
2013,1st Quintile,Yes,0.29427,1576,4190,0.28047,0.30807
2013,1st Quintile,No,0.68013,2614,4190,0.66601,0.69426
2013,2nd Quintile,Yes,0.06948,399,3793,0.06139,0.07757
2013,2nd Quintile,No,0.90329,3394,3793,0.89388,0.91270
2013,3rd Quintile,Yes,0.03058,139,3319,0.02472,0.03644
2013,3rd Quintile,No,0.94423,3180,3319,0.93642,0.95204
2013,4th Quintile,Yes,0.01322,52,3052,0.00916,0.01727
2013,4th Quintile,No,0.97073,3000,3052,0.96475,0.97671
2013,5th Quintile,No,0.96484,3162,3162,0.95842,0.97126
2014,1st Quintile,Yes,0.29292,1324,3426,0.27768,0.30816
2014,1st Quintile,No,0.68908,2102,3426,0.67358,0.70458
2014,2nd Quintile,Yes,0.08118,354,3287,0.07184,0.09052
2014,2nd Quintile,No,0.90214,2933,3287,0.89198,0.91230
2014,3rd Quintile,Yes,0.02516,109,3084,0.01963,0.03069
2014,3rd Quintile,No,0.96375,2975,3084,0.95715,0.97035
2014,4th Quintile,Yes,0.01842,51,2890,0.01352,0.02333
2014,4th Quintile,No,0.96723,2839,2890,0.96073,0.97372
2014,5th Quintile,No,0.98060,2964,2964,0.97563,0.98556
2015,1st Quintile,Yes,0.29894,1343,3505,0.28378,0.31410
2015,1st Quintile,No,0.68031,2162,3505,0.66487,0.69575
2015,2nd Quintile,Yes,0.07068,320,3300,0.06193,0.07942
2015,2nd Quintile,No,0.89178,2980,3300,0.88118,0.90238
2015,3rd Quintile,Yes,0.02581,106,2945,0.02008,0.03153
2015,3rd Quintile,No,0.94392,2839,2945,0.93561,0.95223
2015,4th Quintile,Yes,0.02049,54,2753,0.01520,0.02578
2015,4th Quintile,No,0.94429,2699,2753,0.93572,0.95286
2015,5th Quintile,No,0.97414,2881,2881,0.96835,0.97994
2016,1st Quintile,Yes,0.29950,1182,3075,0.28330,0.31569
2016,1st Quintile,No,0.66390,1893,3075,0.64721,0.68060
2016,2nd Quintile,Yes,0.06646,275,3003,0.05755,0.07537
2016,2nd Quintile,No,0.91720,2728,3003,0.90734,0.92706
2016,3rd Quintile,Yes,0.02596,81,2698,0.01996,0.03196
2016,3rd Quintile,No,0.95602,2617,2698,0.94828,0.96376
2016,4th Quintile,Yes,0.01395,47,2619,0.00946,0.01845
2016,4th Quintile,No,0.96911,2572,2619,0.96248,0.97574
2016,5th Quintile,No,0.98023,2693,2693,0.97497,0.98549
2017,1st Quintile,Yes,0.28636,1701,4622,0.27333,0.29939
2017,1st Quintile,No,0.68732,2921,4622,0.67395,0.70068
2017,2nd Quintile,Yes,0.06585,335,3291,0.05738,0.07433
