year,bula_h,quintil_oecd_hh,hlc0052,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2006,Schleswig-Holstein,1st Quintile,No,0.62963,39,39,0.47609,0.78318
2006,Schleswig-Holstein,2nd Quintile,No,0.86355,57,57,0.77365,0.95346
2006,Schleswig-Holstein,3rd Quintile,No,0.94621,65,65,0.89094,1.00148
2006,Schleswig-Holstein,4th Quintile,No,0.88696,79,79,0.81670,0.95723
2006,Schleswig-Holstein,5th Quintile,No,0.93281,96,96,0.88246,0.98315
2006,Hamburg,4th Quintile,No,0.97037,35,35,0.91337,1.02737
2006,Hamburg,5th Quintile,No,0.97912,55,55,0.94098,1.01726
2006,Lower Saxony,1st Quintile,Yes,0.28113,54,148,0.20845,0.35380
2006,Lower Saxony,1st Quintile,No,0.62725,94,148,0.54909,0.70542
2006,Lower Saxony,2nd Quintile,No,0.85858,173,173,0.80651,0.91066
2006,Lower Saxony,3rd Quintile,No,0.93872,186,186,0.90416,0.97328
2006,Lower Saxony,4th Quintile,No,0.94528,225,225,0.91549,0.97506
2006,Lower Saxony,5th Quintile,No,0.97451,284,284,0.95615,0.99287
2006,North Rhine-Westphalia,1st Quintile,Yes,0.26341,116,419,0.22118,0.30564
2006,North Rhine-Westphalia,1st Quintile,No,0.69412,303,419,0.64994,0.73829
2006,North Rhine-Westphalia,2nd Quintile,No,0.88612,375,375,0.85393,0.91832
2006,North Rhine-Westphalia,3rd Quintile,No,0.92139,413,413,0.89540,0.94737
2006,North Rhine-Westphalia,4th Quintile,No,0.93082,494,494,0.90842,0.95322
2006,North Rhine-Westphalia,5th Quintile,No,0.95973,694,694,0.94509,0.97437
2006,Hesse,1st Quintile,No,0.77861,98,98,0.69599,0.86124
2006,Hesse,2nd Quintile,No,0.91799,108,108,0.86600,0.96998
2006,Hesse,3rd Quintile,No,0.89598,144,144,0.84595,0.94602
2006,Hesse,4th Quintile,No,0.92325,149,149,0.88037,0.96614
2006,Hesse,5th Quintile,No,0.94903,271,271,0.92280,0.97526
