year,rentown,hlc0052,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2006,Owner,Yes,0.02424,163,5723,0.02026,0.02823
2006,Owner,No,0.91825,5560,5723,0.91115,0.92535
2006,Tenant,Yes,0.12576,822,6005,0.11737,0.13414
2006,Tenant,No,0.82595,5183,6005,0.81636,0.83554
2007,Owner,Yes,0.02604,183,5383,0.02179,0.03030
2007,Owner,No,0.91599,5200,5383,0.90858,0.92341
2007,Tenant,Yes,0.14924,895,5587,0.13990,0.15859
2007,Tenant,No,0.79538,4692,5587,0.78481,0.80596
2008,Owner,Yes,0.02338,144,5102,0.01923,0.02752
2008,Owner,No,0.90704,4958,5102,0.89908,0.91501
2008,Tenant,Yes,0.14141,776,5209,0.13195,0.15088
2008,Tenant,No,0.80739,4433,5209,0.79668,0.81810
2009,Owner,Yes,0.02128,111,5061,0.01731,0.02526
2009,Owner,No,0.97832,4950,5061,0.97431,0.98233
2009,Tenant,Yes,0.13443,699,5111,0.12508,0.14378
2009,Tenant,No,0.86494,4412,5111,0.85557,0.87431
2010,Owner,Yes,0.01943,155,6331,0.01603,0.02283
2010,Owner,No,0.98057,6176,6331,0.97717,0.98397
2010,Tenant,Yes,0.13479,1550,7465,0.12704,0.14254
2010,Tenant,No,0.86456,5915,7465,0.85680,0.87233
2011,Owner,Yes,0.01656,172,7561,0.01368,0.01943
2011,Owner,No,0.95687,7389,7561,0.95229,0.96145
2011,Tenant,Yes,0.13782,1829,8773,0.13060,0.14503
2011,Tenant,No,0.84520,6944,8773,0.83763,0.85276
2012,Owner,Yes,0.01612,159,7446,0.01326,0.01899
2012,Owner,No,0.96158,7287,7446,0.95722,0.96595
2012,Tenant,Yes,0.13433,1707,8573,0.12711,0.14154
2012,Tenant,No,0.84596,6866,8573,0.83832,0.85360
2013,Owner,Yes,0.01665,146,7541,0.01376,0.01953
2013,Owner,No,0.95740,7395,7541,0.95284,0.96196
2013,Tenant,Yes,0.14011,2047,10010,0.13331,0.14691
2013,Tenant,No,0.83870,7963,10010,0.83150,0.84591
2014,Owner,Yes,0.01533,139,6971,0.01244,0.01821
2014,Owner,No,0.96797,6832,6971,0.96384,0.97211
2014,Tenant,Yes,0.14298,1723,8708,0.13563,0.15033
2014,Tenant,No,0.84448,6985,8708,0.83687,0.85209
2015,Owner,Yes,0.01623,128,6548,0.01317,0.01929
2015,Owner,No,0.95129,6420,6548,0.94608,0.95651
2015,Tenant,Yes,0.14314,1725,8872,0.13586,0.15043
2015,Tenant,No,0.83272,7147,8872,0.82495,0.84049
2016,Owner,Yes,0.01480,108,6187,0.01179,0.01781
2016,Owner,No,0.96824,6079,6187,0.96387,0.97261
2016,Tenant,Yes,0.14108,1492,7920,0.13342,0.14875
2016,Tenant,No,0.84505,6428,7920,0.83708,0.85302
2017,Owner,Yes,0.01058,103,6962,0.00818,0.01298
2017,Owner,No,0.97390,6859,6962,0.97015,0.97764
2017,Tenant,Yes,0.13532,2085,10118,0.12865,0.14198
2017,Tenant,No,0.84902,8033,10118,0.84204,0.85599
2018,Owner,Yes,0.01187,94,6688,0.00928,0.01447
2018,Owner,No,0.97500,6594,6688,0.97125,0.97874
2018,Tenant,Yes,0.13086,2855,11024,0.12456,0.13715
2018,Tenant,No,0.85716,8169,11024,0.85063,0.86369
2019,Owner,Yes,0.00933,75,7807,0.00719,0.01146
2019,Owner,No,0.97731,7732,7807,0.97401,0.98061
2019,Tenant,Yes,0.12341,2750,10482,0.11711,0.12971
2019,Tenant,No,0.86674,7732,10482,0.86023,0.87324
2020,Owner,Yes,0.00866,73,6847,0.00646,0.01085
2020,Owner,No,0.96843,6774,6847,0.96429,0.97258
2020,Tenant,Yes,0.11822,3058,12215,0.11249,0.12394
2020,Tenant,No,0.86017,9157,12215,0.85401,0.86632
2021,Owner,Yes,0.01291,70,5065,0.00980,0.01601
2021,Owner,No,0.97999,4995,5065,0.97613,0.98384
2021,Tenant,Yes,0.10344,1456,7416,0.09651,0.11038
2021,Tenant,No,0.88855,5960,7416,0.88139,0.89571
2022,Owner,Yes,0.00763,58,7773,0.00569,0.00956
2022,Owner,No,0.97751,7715,7773,0.97421,0.98081
2022,Tenant,Yes,0.08480,1363,12402,0.07989,0.08970
2022,Tenant,No,0.89549,11039,12402,0.89010,0.90087
