year,quintil_oecd_hh,rentown,hlc0052,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2006,1st Quintile,Owner,Yes,0.11020,49,332,0.07646,0.14393
2006,1st Quintile,Owner,No,0.78859,283,332,0.74460,0.83258
2006,1st Quintile,Tenant,Yes,0.31182,588,1659,0.28952,0.33411
2006,1st Quintile,Tenant,No,0.63082,1071,1659,0.60759,0.65405
2006,2nd Quintile,Owner,Yes,0.03250,37,772,0.01998,0.04502
2006,2nd Quintile,Owner,No,0.91623,735,772,0.89667,0.93578
2006,2nd Quintile,Tenant,Yes,0.08959,138,1353,0.07436,0.10481
2006,2nd Quintile,Tenant,No,0.85344,1215,1353,0.83459,0.87229
2006,3rd Quintile,Owner,Yes,0.02059,34,1134,0.01232,0.02886
2006,3rd Quintile,Owner,No,0.93077,1100,1134,0.91599,0.94555
2006,3rd Quintile,Tenant,Yes,0.04488,56,1145,0.03288,0.05688
2006,3rd Quintile,Tenant,No,0.90272,1089,1145,0.88554,0.91989
2006,4th Quintile,Owner,No,0.91217,1372,1372,0.89719,0.92716
2006,4th Quintile,Tenant,No,0.93540,944,944,0.91971,0.95109
2006,5th Quintile,Owner,No,0.94757,2069,2069,0.93797,0.95718
2006,5th Quintile,Tenant,No,0.96898,861,861,0.95739,0.98057
2007,1st Quintile,Owner,Yes,0.10290,48,319,0.06950,0.13629
2007,1st Quintile,Owner,No,0.82785,271,319,0.78636,0.86934
2007,1st Quintile,Tenant,Yes,0.34112,591,1552,0.31752,0.36471
2007,1st Quintile,Tenant,No,0.59833,961,1552,0.57393,0.62273
2007,2nd Quintile,Owner,Yes,0.03505,46,700,0.02142,0.04868
2007,2nd Quintile,Owner,No,0.88301,654,700,0.85918,0.90684
2007,2nd Quintile,Tenant,Yes,0.11824,167,1304,0.10071,0.13577
2007,2nd Quintile,Tenant,No,0.81916,1137,1304,0.79826,0.84006
2007,3rd Quintile,Owner,Yes,0.01944,34,1067,0.01115,0.02773
2007,3rd Quintile,Owner,No,0.91747,1033,1067,0.90095,0.93399
2007,3rd Quintile,Tenant,Yes,0.07064,78,1050,0.05513,0.08615
2007,3rd Quintile,Tenant,No,0.87665,972,1050,0.85675,0.89655
2007,4th Quintile,Owner,No,0.92109,1305,1305,0.90645,0.93572
2007,4th Quintile,Tenant,Yes,0.03810,38,908,0.02564,0.05055
2007,4th Quintile,Tenant,No,0.91747,870,908,0.89956,0.93538
2007,5th Quintile,Owner,No,0.94998,1937,1937,0.94026,0.95969
2007,5th Quintile,Tenant,No,0.92958,749,749,0.91124,0.94792
2008,1st Quintile,Owner,Yes,0.09540,42,309,0.06259,0.12820
2008,1st Quintile,Owner,No,0.80731,267,309,0.76326,0.85136
2008,1st Quintile,Tenant,Yes,0.32586,527,1478,0.30195,0.34976
2008,1st Quintile,Tenant,No,0.61764,951,1478,0.59286,0.64242
2008,2nd Quintile,Owner,No,0.89251,664,664,0.86893,0.91609
2008,2nd Quintile,Tenant,Yes,0.10874,140,1183,0.09099,0.12649
2008,2nd Quintile,Tenant,No,0.84577,1043,1183,0.82518,0.86636
2008,3rd Quintile,Owner,Yes,0.01925,32,1026,0.01084,0.02766
2008,3rd Quintile,Owner,No,0.89996,994,1026,0.88159,0.91833
2008,3rd Quintile,Tenant,Yes,0.05689,54,1022,0.04268,0.07109
2008,3rd Quintile,Tenant,No,0.88633,968,1022,0.86686,0.90580
2008,4th Quintile,Owner,No,0.91414,1177,1177,0.89813,0.93016
2008,4th Quintile,Tenant,Yes,0.03991,38,809,0.02642,0.05341
2008,4th Quintile,Tenant,No,0.91059,771,809,0.89092,0.93027
2008,5th Quintile,Owner,No,0.93884,1856,1856,0.92794,0.94975
2008,5th Quintile,Tenant,No,0.93606,698,698,0.91790,0.95423
2009,1st Quintile,Owner,Yes,0.07450,32,303,0.04488,0.10411
2009,1st Quintile,Owner,No,0.92550,271,303,0.89589,0.95512
2009,1st Quintile,Tenant,Yes,0.31284,483,1489,0.28928,0.33640
2009,1st Quintile,Tenant,No,0.68614,1006,1489,0.66256,0.70972
2009,2nd Quintile,Owner,No,0.96966,665,665,0.95661,0.98270
2009,2nd Quintile,Tenant,Yes,0.11017,134,1195,0.09241,0.12793
2009,2nd Quintile,Tenant,No,0.88983,1061,1195,0.87207,0.90759
2009,3rd Quintile,Owner,No,0.98420,989,989,0.97642,0.99198
2009,3rd Quintile,Tenant,Yes,0.04260,47,942,0.02970,0.05550
2009,3rd Quintile,Tenant,No,0.95740,895,942,0.94450,0.97030
2009,4th Quintile,Owner,No,0.98743,1247,1247,0.98125,0.99362
2009,4th Quintile,Tenant,No,0.96445,770,770,0.95136,0.97754
2009,5th Quintile,Owner,No,0.98389,1777,1777,0.97804,0.98975
2009,5th Quintile,Tenant,No,0.99384,678,678,0.98795,0.99973
2010,1st Quintile,Owner,Yes,0.08946,62,457,0.06327,0.11566
2010,1st Quintile,Owner,No,0.91054,395,457,0.88434,0.93673
2010,1st Quintile,Tenant,Yes,0.31797,1180,2689,0.30037,0.33558
2010,1st Quintile,Tenant,No,0.68170,1509,2689,0.66409,0.69931
2010,2nd Quintile,Owner,Yes,0.03337,44,1117,0.02283,0.04391
2010,2nd Quintile,Owner,No,0.96663,1073,1117,0.95609,0.97717
2010,2nd Quintile,Tenant,Yes,0.10831,271,1802,0.09395,0.12266
2010,2nd Quintile,Tenant,No,0.88935,1531,1802,0.87486,0.90384
2010,3rd Quintile,Owner,No,0.98297,1306,1306,0.97595,0.98999
2010,3rd Quintile,Tenant,Yes,0.03396,61,1225,0.02381,0.04411
2010,3rd Quintile,Tenant,No,0.96604,1164,1225,0.95589,0.97619
2010,4th Quintile,Owner,No,0.99229,1486,1486,0.98784,0.99674
2010,4th Quintile,Tenant,No,0.97353,931,931,0.96321,0.98385
2010,5th Quintile,Owner,No,0.99413,1916,1916,0.99071,0.99755
2010,5th Quintile,Tenant,No,0.98300,776,776,0.97389,0.99210
2011,1st Quintile,Owner,Yes,0.10299,71,580,0.07824,0.12775
2011,1st Quintile,Owner,No,0.87453,509,580,0.84755,0.90152
2011,1st Quintile,Tenant,Yes,0.32461,1363,3093,0.30811,0.34112
2011,1st Quintile,Tenant,No,0.65935,1730,3093,0.64264,0.67605
2011,2nd Quintile,Owner,Yes,0.01598,42,1281,0.00911,0.02285
2011,2nd Quintile,Owner,No,0.96040,1239,1281,0.94972,0.97109
2011,2nd Quintile,Tenant,Yes,0.09452,308,2085,0.08196,0.10708
2011,2nd Quintile,Tenant,No,0.88551,1777,2085,0.87184,0.89918
2011,3rd Quintile,Owner,No,0.96528,1603,1603,0.95632,0.97425
2011,3rd Quintile,Tenant,Yes,0.05655,106,1539,0.04501,0.06809
2011,3rd Quintile,Tenant,No,0.92849,1433,1539,0.91562,0.94137
2011,4th Quintile,Owner,No,0.96249,1817,1817,0.95376,0.97123
2011,4th Quintile,Tenant,Yes,0.02407,37,1171,0.01528,0.03285
2011,4th Quintile,Tenant,No,0.96389,1134,1171,0.95319,0.97458
2011,5th Quintile,Owner,No,0.96393,2221,2221,0.95617,0.97168
2011,5th Quintile,Tenant,No,0.96092,867,867,0.94802,0.97383
2012,1st Quintile,Owner,Yes,0.09097,56,526,0.06637,0.11557
2012,1st Quintile,Owner,No,0.88810,470,526,0.86113,0.91507
2012,1st Quintile,Tenant,Yes,0.31101,1268,3026,0.29451,0.32750
2012,1st Quintile,Tenant,No,0.66900,1758,3026,0.65223,0.68577
2012,2nd Quintile,Owner,Yes,0.02561,33,1202,0.01668,0.03455
2012,2nd Quintile,Owner,No,0.95640,1169,1202,0.94485,0.96795
2012,2nd Quintile,Tenant,Yes,0.09549,292,2059,0.08279,0.10819
2012,2nd Quintile,Tenant,No,0.88261,1767,2059,0.86870,0.89652
2012,3rd Quintile,Owner,No,0.96485,1584,1584,0.95578,0.97392
2012,3rd Quintile,Tenant,Yes,0.05240,101,1526,0.04122,0.06358
2012,3rd Quintile,Tenant,No,0.92448,1425,1526,0.91122,0.93774
2012,4th Quintile,Owner,No,0.96124,1823,1823,0.95238,0.97011
2012,4th Quintile,Tenant,Yes,0.02482,34,1112,0.01567,0.03397
2012,4th Quintile,Tenant,No,0.96270,1078,1112,0.95156,0.97384
2012,5th Quintile,Owner,No,0.97862,2240,2240,0.97263,0.98461
2012,5th Quintile,Tenant,No,0.97078,833,833,0.95934,0.98223
2013,1st Quintile,Owner,Yes,0.12112,70,568,0.09427,0.14798
2013,1st Quintile,Owner,No,0.83750,498,568,0.80713,0.86787
2013,1st Quintile,Tenant,Yes,0.32554,1506,3622,0.31028,0.34081
2013,1st Quintile,Tenant,No,0.65171,2116,3622,0.63619,0.66723
