year,quintil_oecd,plj0589,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2013,1st Quintile,Very often,0.02343,146,5115,0.01928,0.02757
2013,1st Quintile,Often,0.07156,402,5115,0.06449,0.07862
2013,1st Quintile,Sometimes,0.13719,850,5115,0.12776,0.14662
2013,1st Quintile,Seldom,0.20931,1427,5115,0.19816,0.22046
2013,1st Quintile,Never,0.35868,2290,5115,0.34554,0.37183
2013,2nd Quintile,Very often,0.00898,62,5136,0.00640,0.01156
2013,2nd Quintile,Often,0.03473,195,5136,0.02972,0.03973
2013,2nd Quintile,Sometimes,0.09375,577,5136,0.08577,0.10172
2013,2nd Quintile,Seldom,0.23438,1462,5136,0.22279,0.24597
2013,2nd Quintile,Never,0.44974,2840,5136,0.43613,0.46334
2013,3rd Quintile,Very often,0.00831,37,4890,0.00576,0.01085
2013,3rd Quintile,Often,0.03104,147,4890,0.02618,0.03590
2013,3rd Quintile,Sometimes,0.08255,448,4890,0.07483,0.09026
2013,3rd Quintile,Seldom,0.24427,1359,4890,0.23223,0.25631
2013,3rd Quintile,Never,0.46862,2899,4890,0.45463,0.48261
2013,4th Quintile,Often,0.02248,101,4826,0.01830,0.02666
2013,4th Quintile,Sometimes,0.06423,338,4826,0.05731,0.07114
2013,4th Quintile,Seldom,0.24567,1319,4826,0.23352,0.25782
2013,4th Quintile,Never,0.52107,3068,4826,0.50697,0.53517
2013,5th Quintile,Often,0.01385,72,5419,0.01074,0.01696
2013,5th Quintile,Sometimes,0.06045,340,5419,0.05410,0.06679
2013,5th Quintile,Seldom,0.24828,1369,5419,0.23677,0.25978
2013,5th Quintile,Never,0.56480,3638,5419,0.55160,0.57801
2021,1st Quintile,Very often,0.02745,237,4725,0.02279,0.03211
2021,1st Quintile,Often,0.07479,502,4725,0.06729,0.08229
2021,1st Quintile,Sometimes,0.13316,874,4725,0.12347,0.14285
2021,1st Quintile,Seldom,0.23368,1150,4725,0.22161,0.24575
2021,1st Quintile,Never,0.32232,1962,4725,0.30899,0.33565
2021,2nd Quintile,Very often,0.01909,95,3591,0.01461,0.02356
2021,2nd Quintile,Often,0.06113,260,3591,0.05330,0.06897
2021,2nd Quintile,Sometimes,0.09914,466,3591,0.08936,0.10891
2021,2nd Quintile,Seldom,0.27126,1104,3591,0.25672,0.28581
2021,2nd Quintile,Never,0.35795,1666,3591,0.34226,0.37363
2021,3rd Quintile,Very often,0.01302,49,3054,0.00900,0.01705
2021,3rd Quintile,Often,0.04380,183,3054,0.03654,0.05106
2021,3rd Quintile,Sometimes,0.09419,350,3054,0.08383,0.10455
2021,3rd Quintile,Seldom,0.26471,944,3054,0.24906,0.28036
2021,3rd Quintile,Never,0.40517,1528,3054,0.38775,0.42258
2021,4th Quintile,Very often,0.00748,31,3261,0.00452,0.01043
2021,4th Quintile,Often,0.03399,126,3261,0.02777,0.04021
2021,4th Quintile,Sometimes,0.09235,315,3261,0.08241,0.10229
2021,4th Quintile,Seldom,0.26209,954,3261,0.24699,0.27719
2021,4th Quintile,Never,0.46310,1835,3261,0.44598,0.48022
2021,5th Quintile,Often,0.02161,119,4286,0.01726,0.02596
2021,5th Quintile,Sometimes,0.08332,331,4286,0.07504,0.09159
2021,5th Quintile,Seldom,0.24941,1134,4286,0.23645,0.26236
2021,5th Quintile,Never,0.51847,2702,4286,0.50351,0.53343
