year,sampreg,plj0589,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2013,West,Very often,0.00752,204,19735,0.00632,0.00873
2013,West,Often,0.02835,668,19735,0.02603,0.03066
2013,West,Sometimes,0.07117,1854,19735,0.06758,0.07476
2013,West,Seldom,0.20541,5244,19735,0.19977,0.21104
2013,West,Never,0.43312,11765,19735,0.42621,0.44004
2013,East,Very often,0.01229,82,5696,0.00943,0.01516
2013,East,Often,0.04076,249,5696,0.03563,0.04590
2013,East,Sometimes,0.10991,700,5696,0.10179,0.11804
2013,East,Seldom,0.25651,1693,5696,0.24517,0.26786
2013,East,Never,0.41742,2972,5696,0.40461,0.43023
2019,West,Sometimes,0.00011,49,210,-0.00133,0.00155
2019,West,Seldom,0.00013,46,210,-0.00140,0.00166
2019,West,Never,0.00031,115,210,-0.00208,0.00270
2020,West,Often,0.00025,84,840,-0.00082,0.00132
2020,West,Sometimes,0.00058,217,840,-0.00105,0.00220
2020,West,Seldom,0.00057,236,840,-0.00105,0.00220
2020,West,Never,0.00094,303,840,-0.00113,0.00302
2020,East,Never,0.00079,49,49,-0.00716,0.00874
2021,West,Very often,0.01331,394,15601,0.01151,0.01511
2021,West,Often,0.04630,1014,15601,0.04300,0.04960
2021,West,Sometimes,0.10165,2037,15601,0.09691,0.10639
2021,West,Seldom,0.25200,4231,15601,0.24519,0.25882
2021,West,Never,0.41538,7925,15601,0.40765,0.42312
2021,East,Very often,0.02063,92,3898,0.01616,0.02509
2021,East,Often,0.05036,239,3898,0.04350,0.05723
2021,East,Sometimes,0.09339,422,3898,0.08425,0.10253
2021,East,Seldom,0.27121,1135,3898,0.25725,0.28517
2021,East,Never,0.40044,2010,3898,0.38506,0.41583
