year,migback,plj0589,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2013,No migration background,Very often,0.00891,234,21562,0.00765,0.01016
2013,No migration background,Often,0.03287,736,21562,0.03049,0.03525
2013,No migration background,Sometimes,0.08220,2010,21562,0.07853,0.08586
2013,No migration background,Seldom,0.23801,5861,21562,0.23233,0.24370
2013,No migration background,Never,0.48311,12721,21562,0.47643,0.48978
2013,Direct migration background,Very often,0.00861,40,2743,0.00515,0.01207
2013,Direct migration background,Often,0.02911,138,2743,0.02282,0.03541
2013,Direct migration background,Sometimes,0.08105,412,2743,0.07083,0.09126
2013,Direct migration background,Seldom,0.15309,784,2743,0.13961,0.16656
2013,Direct migration background,Never,0.27099,1369,2743,0.25435,0.28763
2013,Indirect migration background,Often,0.00959,43,1114,0.00387,0.01532
2013,Indirect migration background,Sometimes,0.03153,132,1114,0.02126,0.04179
2013,Indirect migration background,Seldom,0.07545,292,1114,0.05993,0.09097
2013,Indirect migration background,Never,0.15578,647,1114,0.13448,0.17709
2019,Direct migration background,Sometimes,0.00069,54,229,-0.00272,0.00410
2019,Direct migration background,Seldom,0.00087,50,229,-0.00296,0.00470
2019,Direct migration background,Never,0.00205,125,229,-0.00382,0.00792
2020,Direct migration background,Very often,0.00069,34,974,-0.00096,0.00233
2020,Direct migration background,Often,0.00184,93,974,-0.00085,0.00453
2020,Direct migration background,Sometimes,0.00450,241,974,0.00029,0.00870
2020,Direct migration background,Seldom,0.00393,254,974,-0.00000,0.00786
2020,Direct migration background,Never,0.00703,352,974,0.00178,0.01228
2021,No migration background,Very often,0.01280,191,13209,0.01088,0.01472
2021,No migration background,Often,0.04336,674,13209,0.03988,0.04683
2021,No migration background,Sometimes,0.09172,1281,13209,0.08680,0.09664
2021,No migration background,Seldom,0.26735,3890,13209,0.25981,0.27490
2021,No migration background,Never,0.44039,7173,13209,0.43192,0.44885
2021,Direct migration background,Very often,0.02350,274,5355,0.01944,0.02756
2021,Direct migration background,Often,0.07752,515,5355,0.07035,0.08468
2021,Direct migration background,Sometimes,0.16910,1042,5355,0.15906,0.17915
2021,Direct migration background,Seldom,0.26522,1189,5355,0.25340,0.27705
2021,Direct migration background,Never,0.39614,2335,5355,0.38304,0.40924
2021,Indirect migration background,Often,0.03223,64,914,0.02078,0.04369
2021,Indirect migration background,Sometimes,0.06973,136,914,0.05321,0.08625
2021,Indirect migration background,Seldom,0.14207,287,914,0.11942,0.16472
2021,Indirect migration background,Never,0.21251,427,914,0.18597,0.23905
