year,sex,plj0589,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2013,male,Very often,0.00746,95,11507,0.00588,0.00903
2013,male,Often,0.02494,343,11507,0.02209,0.02779
2013,male,Sometimes,0.07224,1037,11507,0.06751,0.07697
2013,male,Seldom,0.22357,3330,11507,0.21596,0.23118
2013,male,Never,0.42252,6702,11507,0.41349,0.43154
2013,female,Very often,0.00922,191,13924,0.00764,0.01081
2013,female,Often,0.03590,574,13924,0.03281,0.03899
2013,female,Sometimes,0.08345,1517,13924,0.07886,0.08805
2013,female,Seldom,0.20546,3607,13924,0.19875,0.21217
2013,female,Never,0.43796,8035,13924,0.42971,0.44620
2019,male,Never,0.00027,64,64,-0.00380,0.00435
2019,female,Sometimes,0.00013,31,92,-0.00224,0.00250
2019,female,Never,0.00031,61,92,-0.00329,0.00390
2020,male,Often,0.00029,58,609,-0.00106,0.00164
2020,male,Sometimes,0.00068,145,609,-0.00139,0.00275
2020,male,Seldom,0.00068,171,609,-0.00139,0.00275
2020,male,Never,0.00122,235,609,-0.00155,0.00400
2020,female,Often,0.00019,35,331,-0.00130,0.00168
2020,female,Sometimes,0.00050,96,331,-0.00191,0.00291
2020,female,Seldom,0.00035,83,331,-0.00167,0.00237
2020,female,Never,0.00062,117,331,-0.00207,0.00332
2021,male,Very often,0.01321,227,9445,0.01091,0.01551
2021,male,Often,0.04049,531,9445,0.03652,0.04447
2021,male,Sometimes,0.09787,1145,9445,0.09188,0.10387
2021,male,Seldom,0.25418,2572,9445,0.24540,0.26297
2021,male,Never,0.41896,4970,9445,0.40901,0.42891
2021,female,Very often,0.01584,258,10047,0.01340,0.01829
2021,female,Often,0.05337,721,10047,0.04897,0.05776
2021,female,Sometimes,0.10245,1313,10047,0.09652,0.10838
2021,female,Seldom,0.25620,2790,10047,0.24767,0.26474
2021,female,Never,0.40710,4965,10047,0.39750,0.41671
