year,age_gr,migback,plj0589,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2013,17-29 y.,No migration background,Often,0.03109,95,2778,0.02463,0.03754
2013,17-29 y.,No migration background,Sometimes,0.09167,296,2778,0.08093,0.10240
2013,17-29 y.,No migration background,Seldom,0.26096,789,2778,0.24463,0.27730
2013,17-29 y.,No migration background,Never,0.50104,1598,2778,0.48245,0.51964
2013,17-29 y.,Direct migration background,Sometimes,0.03925,35,275,0.01626,0.06224
2013,17-29 y.,Direct migration background,Seldom,0.10967,98,275,0.07267,0.14667
2013,17-29 y.,Direct migration background,Never,0.18703,142,275,0.14086,0.23320
2013,17-29 y.,Indirect migration background,Sometimes,0.05193,55,449,0.03139,0.07248
2013,17-29 y.,Indirect migration background,Seldom,0.11816,133,449,0.08827,0.14805
2013,17-29 y.,Indirect migration background,Never,0.25120,261,449,0.21104,0.29137
2013,30-45 y.,No migration background,Very often,0.00710,65,6260,0.00502,0.00918
2013,30-45 y.,No migration background,Often,0.03566,200,6260,0.03107,0.04025
2013,30-45 y.,No migration background,Sometimes,0.09356,597,6260,0.08634,0.10077
2013,30-45 y.,No migration background,Seldom,0.27551,1704,6260,0.26444,0.28658
2013,30-45 y.,No migration background,Never,0.56415,3694,6260,0.55187,0.57644
2013,30-45 y.,Direct migration background,Often,0.02268,64,1205,0.01427,0.03109
2013,30-45 y.,Direct migration background,Sometimes,0.05970,196,1205,0.04632,0.07309
2013,30-45 y.,Direct migration background,Seldom,0.12049,353,1205,0.10211,0.13888
2013,30-45 y.,Direct migration background,Never,0.20857,592,1205,0.18562,0.23152
2013,30-45 y.,Indirect migration background,Sometimes,0.07068,62,480,0.04773,0.09363
2013,30-45 y.,Indirect migration background,Seldom,0.16745,119,480,0.13402,0.20089
2013,30-45 y.,Indirect migration background,Never,0.34301,299,480,0.30049,0.38552
2013,46-65 y.,No migration background,Very often,0.01510,106,7957,0.01242,0.01778
2013,46-65 y.,No migration background,Often,0.04283,309,7957,0.03838,0.04728
2013,46-65 y.,No migration background,Sometimes,0.10006,749,7957,0.09347,0.10666
2013,46-65 y.,No migration background,Seldom,0.28243,2207,7957,0.27254,0.29232
2013,46-65 y.,No migration background,Never,0.54752,4586,7957,0.53658,0.55846
2013,46-65 y.,Direct migration background,Often,0.03351,41,846,0.02138,0.04565
2013,46-65 y.,Direct migration background,Sometimes,0.10078,123,846,0.08048,0.12107
2013,46-65 y.,Direct migration background,Seldom,0.20202,248,846,0.17495,0.22909
2013,46-65 y.,Direct migration background,Never,0.30027,434,846,0.26937,0.33118
2013,46-65 y.,Indirect migration background,Seldom,0.25065,37,123,0.17375,0.32756
2013,46-65 y.,Indirect migration background,Never,0.56070,86,123,0.47263,0.64877
2013,66 and older,No migration background,Very often,0.00842,36,4540,0.00576,0.01108
2013,66 and older,No migration background,Often,0.03643,132,4540,0.03098,0.04188
2013,66 and older,No migration background,Sometimes,0.08945,368,4540,0.08114,0.09775
2013,66 and older,No migration background,Seldom,0.26776,1161,4540,0.25488,0.28065
2013,66 and older,No migration background,Never,0.59036,2843,4540,0.57605,0.60466
2013,66 and older,Direct migration background,Sometimes,0.14911,58,344,0.11142,0.18681
2013,66 and older,Direct migration background,Seldom,0.20010,85,344,0.15776,0.24243
2013,66 and older,Direct migration background,Never,0.50176,201,344,0.44884,0.55467
2019,17-29 y.,Direct migration background,Never,0.00823,57,57,-0.01543,0.03189
2019,30-45 y.,Direct migration background,Never,0.00196,42,42,-0.01158,0.01551
2020,17-29 y.,Direct migration background,Often,0.00668,35,372,-0.00161,0.01496
2020,17-29 y.,Direct migration background,Sometimes,0.01796,90,372,0.00445,0.03148
2020,17-29 y.,Direct migration background,Seldom,0.01581,97,372,0.00312,0.02850
2020,17-29 y.,Direct migration background,Never,0.02619,150,372,0.00994,0.04244
2020,30-45 y.,Direct migration background,Often,0.00208,38,430,-0.00223,0.00638
2020,30-45 y.,Direct migration background,Sometimes,0.00547,113,430,-0.00151,0.01245
2020,30-45 y.,Direct migration background,Seldom,0.00483,122,430,-0.00173,0.01140
2020,30-45 y.,Direct migration background,Never,0.00927,157,430,0.00020,0.01833
2020,46-65 y.,Direct migration background,Sometimes,0.00161,35,108,-0.00599,0.00921
2020,46-65 y.,Direct migration background,Seldom,0.00139,33,108,-0.00568,0.00847
2020,46-65 y.,Direct migration background,Never,0.00233,40,108,-0.00680,0.01146
2021,17-29 y.,No migration background,Very often,0.01834,38,1780,0.01210,0.02457
2021,17-29 y.,No migration background,Often,0.06688,142,1780,0.05527,0.07849
2021,17-29 y.,No migration background,Sometimes,0.14238,290,1780,0.12615,0.15862
2021,17-29 y.,No migration background,Seldom,0.32142,605,1780,0.29972,0.34313
2021,17-29 y.,No migration background,Never,0.38348,705,1780,0.36089,0.40608
2021,17-29 y.,Direct migration background,Very often,0.03620,59,1096,0.02514,0.04726
2021,17-29 y.,Direct migration background,Often,0.06738,98,1096,0.05253,0.08222
2021,17-29 y.,Direct migration background,Sometimes,0.27455,258,1096,0.24811,0.30098
2021,17-29 y.,Direct migration background,Seldom,0.20509,228,1096,0.18117,0.22900
2021,17-29 y.,Direct migration background,Never,0.35605,453,1096,0.32769,0.38441
2021,17-29 y.,Indirect migration background,Often,0.08303,37,392,0.05568,0.11038
2021,17-29 y.,Indirect migration background,Sometimes,0.17818,76,392,0.14025,0.21611
2021,17-29 y.,Indirect migration background,Seldom,0.27310,131,392,0.22893,0.31726
2021,17-29 y.,Indirect migration background,Never,0.37236,148,392,0.32444,0.42028
2021,30-45 y.,No migration background,Very often,0.01896,40,2611,0.01373,0.02419
2021,30-45 y.,No migration background,Often,0.05605,166,2611,0.04722,0.06487
2021,30-45 y.,No migration background,Sometimes,0.11310,278,2611,0.10095,0.12525
2021,30-45 y.,No migration background,Seldom,0.32080,774,2611,0.30289,0.33870
2021,30-45 y.,No migration background,Never,0.48827,1353,2611,0.46909,0.50745
2021,30-45 y.,Direct migration background,Very often,0.02758,136,2406,0.02103,0.03412
2021,30-45 y.,Direct migration background,Often,0.09450,249,2406,0.08281,0.10620
2021,30-45 y.,Direct migration background,Sometimes,0.20478,491,2406,0.18865,0.22091
2021,30-45 y.,Direct migration background,Seldom,0.27021,527,2406,0.25246,0.28795
2021,30-45 y.,Direct migration background,Never,0.39645,1003,2406,0.37690,0.41600
2021,30-45 y.,Indirect migration background,Sometimes,0.11042,41,287,0.07409,0.14674
2021,30-45 y.,Indirect migration background,Seldom,0.33421,98,287,0.27954,0.38888
2021,30-45 y.,Indirect migration background,Never,0.44743,148,287,0.38980,0.50506
2021,46-65 y.,No migration background,Very often,0.01420,83,5590,0.01110,0.01730
2021,46-65 y.,No migration background,Often,0.04649,253,5590,0.04097,0.05201
2021,46-65 y.,No migration background,Sometimes,0.09282,450,5590,0.08522,0.10043
2021,46-65 y.,No migration background,Seldom,0.30052,1554,5590,0.28850,0.31254
2021,46-65 y.,No migration background,Never,0.54321,3250,5590,0.53015,0.55627
2021,46-65 y.,Direct migration background,Very often,0.02400,69,1522,0.01631,0.03169
2021,46-65 y.,Direct migration background,Often,0.09627,149,1522,0.08144,0.11109
2021,46-65 y.,Direct migration background,Sometimes,0.14579,252,1522,0.12805,0.16352
2021,46-65 y.,Direct migration background,Seldom,0.30121,342,1522,0.27816,0.32427
2021,46-65 y.,Direct migration background,Never,0.42661,710,1522,0.40175,0.45146
