year,age_gr,pgisced97,pli0083,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1990,17-29 y.,Pre-primary Level,Daily,0.64877,123,123,0.56406,0.73348
1990,17-29 y.,Primary Level,Daily,0.82021,97,97,0.74339,0.89703
1990,17-29 y.,Lower Secondary Level,Daily,0.65544,593,770,0.62185,0.68903
1990,17-29 y.,Lower Secondary Level,At least once per week,0.13801,146,770,0.11363,0.16239
1990,17-29 y.,Lower Secondary Level,Seldom,0.03643,31,770,0.02319,0.04967
1990,17-29 y.,Upper Secondary Level,Daily,0.53149,910,1232,0.50362,0.55937
1990,17-29 y.,Upper Secondary Level,At least once per week,0.17151,278,1232,0.15046,0.19257
1990,17-29 y.,Upper Secondary Level,Seldom,0.02690,44,1232,0.01786,0.03594
1990,17-29 y.,Post-secondary Non-tertiary Level,Daily,0.40884,72,113,0.31779,0.49989
1990,17-29 y.,Post-secondary Non-tertiary Level,At least once per week,0.37977,41,113,0.28989,0.46966
1990,17-29 y.,First Stage of Tertiary Education,Daily,0.61633,58,58,0.49009,0.74257
1990,17-29 y.,Second Stage of Tertiary Education,Daily,0.26890,44,44,0.13638,0.40143
1990,30-45 y.,Primary Level,Daily,0.81464,162,162,0.75461,0.87467
1990,30-45 y.,Lower Secondary Level,Daily,0.77940,396,463,0.74159,0.81722
1990,30-45 y.,Lower Secondary Level,At least once per week,0.11607,67,463,0.08686,0.14528
1990,30-45 y.,Upper Secondary Level,Daily,0.62477,1130,1385,0.59926,0.65028
1990,30-45 y.,Upper Secondary Level,At least once per week,0.11977,208,1385,0.10266,0.13688
1990,30-45 y.,Upper Secondary Level,Seldom,0.02977,47,1385,0.02082,0.03873
1990,30-45 y.,Post-secondary Non-tertiary Level,Daily,0.58659,69,69,0.46954,0.70364
1990,30-45 y.,First Stage of Tertiary Education,Daily,0.55410,134,180,0.48128,0.62692
1990,30-45 y.,First Stage of Tertiary Education,At least once per week,0.18711,46,180,0.12997,0.24424
1990,30-45 y.,Second Stage of Tertiary Education,Daily,0.37132,188,314,0.31780,0.42485
1990,30-45 y.,Second Stage of Tertiary Education,At least once per week,0.18861,94,314,0.14527,0.23195
1990,30-45 y.,Second Stage of Tertiary Education,Seldom,0.06630,32,314,0.03874,0.09387
1990,46-65 y.,Primary Level,Daily,0.72299,233,276,0.67010,0.77589
1990,46-65 y.,Primary Level,At least once per week,0.16743,43,276,0.12330,0.21155
1990,46-65 y.,Lower Secondary Level,Daily,0.74827,655,748,0.71714,0.77939
1990,46-65 y.,Lower Secondary Level,At least once per week,0.08735,93,748,0.06710,0.10759
1990,46-65 y.,Upper Secondary Level,Daily,0.67066,1150,1334,0.64543,0.69589
