year,age_gr,migback,pli0083,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1990,17-29 y.,No migration background,Daily,0.53775,1247,1746,0.51436,0.56114
1990,17-29 y.,No migration background,At least once per week,0.17597,391,1746,0.15811,0.19384
1990,17-29 y.,No migration background,At least once per month,0.01909,44,1746,0.01267,0.02551
1990,17-29 y.,No migration background,Seldom,0.02775,64,1746,0.02005,0.03546
1990,17-29 y.,Direct migration background,Daily,0.70496,522,655,0.67000,0.73991
1990,17-29 y.,Direct migration background,At least once per week,0.21028,133,655,0.17905,0.24151
1990,17-29 y.,Indirect migration background,Daily,0.74161,196,239,0.68599,0.79722
1990,17-29 y.,Indirect migration background,At least once per week,0.15265,43,239,0.10696,0.19834
1990,30-45 y.,No migration background,Daily,0.57719,1429,1901,0.55498,0.59940
1990,30-45 y.,No migration background,At least once per week,0.13302,324,1901,0.11775,0.14829
1990,30-45 y.,No migration background,At least once per month,0.02110,45,1901,0.01464,0.02756
1990,30-45 y.,No migration background,Seldom,0.04156,103,1901,0.03259,0.05054
1990,30-45 y.,Direct migration background,Daily,0.72085,666,796,0.68967,0.75203
1990,30-45 y.,Direct migration background,At least once per week,0.17745,130,796,0.15089,0.20400
1990,46-65 y.,No migration background,Daily,0.65171,1656,1941,0.63051,0.67291
1990,46-65 y.,No migration background,At least once per week,0.08701,221,1941,0.07447,0.09955
1990,46-65 y.,No migration background,Seldom,0.02652,64,1941,0.01937,0.03367
1990,46-65 y.,Direct migration background,Daily,0.75738,737,852,0.72858,0.78619
1990,46-65 y.,Direct migration background,At least once per week,0.09588,115,852,0.07610,0.11567
1990,66 and older,No migration background,Daily,0.73129,851,906,0.70241,0.76017
1990,66 and older,No migration background,At least once per week,0.04879,55,906,0.03475,0.06282
1990,66 and older,Direct migration background,Daily,0.77345,74,74,0.67742,0.86948
1995,17-29 y.,No migration background,Daily,0.77506,1811,2284,0.75793,0.79219
1995,17-29 y.,No migration background,At least once per week,0.16453,364,2284,0.14932,0.17974
1995,17-29 y.,No migration background,At least once per month,0.01665,33,2284,0.01140,0.02190
1995,17-29 y.,No migration background,Seldom,0.03332,76,2284,0.02596,0.04068
1995,17-29 y.,Direct migration background,Daily,0.81205,508,576,0.78012,0.84399
1995,17-29 y.,Direct migration background,At least once per week,0.12402,68,576,0.09707,0.15096
1995,17-29 y.,Indirect migration background,Daily,0.78813,364,424,0.74919,0.82707
1995,17-29 y.,Indirect migration background,At least once per week,0.15499,60,424,0.12051,0.18948
1995,30-45 y.,No migration background,Daily,0.77364,2753,3432,0.75964,0.78765
1995,30-45 y.,No migration background,At least once per week,0.15178,494,3432,0.13977,0.16379
1995,30-45 y.,No migration background,At least once per month,0.02317,61,3432,0.01813,0.02820
1995,30-45 y.,No migration background,Seldom,0.03995,124,3432,0.03340,0.04650
1995,30-45 y.,Direct migration background,Daily,0.81236,772,877,0.78650,0.83821
1995,30-45 y.,Direct migration background,At least once per week,0.12900,105,877,0.10680,0.15119
1995,30-45 y.,Indirect migration background,Daily,0.79972,32,32,0.65883,0.94060
1995,46-65 y.,No migration background,Daily,0.86308,2560,2866,0.85049,0.87566
1995,46-65 y.,No migration background,At least once per week,0.09608,250,2866,0.08529,0.10687
1995,46-65 y.,No migration background,Seldom,0.02019,56,2866,0.01504,0.02534
1995,46-65 y.,Direct migration background,Daily,0.87809,933,993,0.85773,0.89845
1995,46-65 y.,Direct migration background,At least once per week,0.07411,60,993,0.05781,0.09041
1995,66 and older,No migration background,Daily,0.92886,1217,1257,0.91465,0.94308
1995,66 and older,No migration background,At least once per week,0.03363,40,1257,0.02366,0.04360
1995,66 and older,Direct migration background,Daily,0.93216,196,196,0.89687,0.96746
1998,17-29 y.,No migration background,Daily,0.78804,1827,2193,0.77093,0.80515
1998,17-29 y.,No migration background,At least once per week,0.16329,316,2193,0.14781,0.17876
1998,17-29 y.,No migration background,Seldom,0.02156,50,2193,0.01548,0.02764
1998,17-29 y.,Direct migration background,Daily,0.81012,368,410,0.77211,0.84813
1998,17-29 y.,Direct migration background,At least once per week,0.12149,42,410,0.08983,0.15315
1998,17-29 y.,Indirect migration background,Daily,0.81238,410,465,0.77686,0.84791
1998,17-29 y.,Indirect migration background,At least once per week,0.13539,55,465,0.10426,0.16652
1998,30-45 y.,No migration background,Daily,0.77075,3118,3934,0.75761,0.78389
1998,30-45 y.,No migration background,At least once per week,0.15753,588,3934,0.14614,0.16892
1998,30-45 y.,No migration background,At least once per month,0.01669,47,3934,0.01268,0.02069
1998,30-45 y.,No migration background,Seldom,0.03922,142,3934,0.03315,0.04528
1998,30-45 y.,No migration background,Never,0.01149,39,3934,0.00816,0.01482
1998,30-45 y.,Direct migration background,Daily,0.84306,679,741,0.81685,0.86927
1998,30-45 y.,Direct migration background,At least once per week,0.09736,62,741,0.07600,0.11872
1998,30-45 y.,Indirect migration background,Daily,0.75292,68,68,0.64965,0.85620
1998,46-65 y.,No migration background,Daily,0.87149,3044,3371,0.86019,0.88278
1998,46-65 y.,No migration background,At least once per week,0.08220,265,3371,0.07293,0.09147
1998,46-65 y.,No migration background,Seldom,0.02299,62,3371,0.01793,0.02805
1998,46-65 y.,Direct migration background,Daily,0.87137,829,885,0.84929,0.89344
1998,46-65 y.,Direct migration background,At least once per week,0.07275,56,885,0.05563,0.08988
1998,66 and older,No migration background,Daily,0.93459,1504,1546,0.92226,0.94692
1998,66 and older,No migration background,At least once per week,0.02709,42,1546,0.01899,0.03518
1998,66 and older,Direct migration background,Daily,0.92285,230,230,0.88829,0.95741
2003,17-29 y.,No migration background,Daily,0.81072,2543,3100,0.79693,0.82451
2003,17-29 y.,No migration background,At least once per week,0.14141,442,3100,0.12914,0.15367
2003,17-29 y.,No migration background,At least once per month,0.01613,46,3100,0.01170,0.02057
2003,17-29 y.,No migration background,Seldom,0.02287,69,3100,0.01761,0.02813
2003,17-29 y.,Direct migration background,Daily,0.81583,309,347,0.77499,0.85668
2003,17-29 y.,Direct migration background,At least once per week,0.10002,38,347,0.06841,0.13164
2003,17-29 y.,Indirect migration background,Daily,0.82012,404,478,0.78565,0.85459
2003,17-29 y.,Indirect migration background,At least once per week,0.13939,74,478,0.10831,0.17047
2003,30-45 y.,No migration background,Daily,0.81958,4759,5815,0.80969,0.82946
2003,30-45 y.,No migration background,At least once per week,0.13234,806,5815,0.12363,0.14105
