year,migback,pli0083,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1990,No migration background,Daily,0.51693,5183,6615,0.50488,0.52897
1990,No migration background,At least once per week,0.09488,991,6615,0.08782,0.10195
1990,No migration background,At least once per month,0.01302,130,6615,0.01029,0.01575
1990,No migration background,Seldom,0.02421,251,6615,0.02051,0.02791
1990,No migration background,Never,0.00621,60,6615,0.00431,0.00810
1990,Direct migration background,Daily,0.70539,1999,2487,0.68747,0.72331
1990,Direct migration background,At least once per week,0.13039,383,2487,0.11716,0.14363
1990,Direct migration background,Seldom,0.02631,69,2487,0.02002,0.03260
1990,Direct migration background,Never,0.01248,36,2487,0.00812,0.01684
1990,Indirect migration background,Daily,0.14977,224,272,0.10729,0.19226
1990,Indirect migration background,At least once per week,0.02489,48,272,0.00634,0.04344
1995,No migration background,Daily,0.69244,8341,9957,0.68337,0.70150
1995,No migration background,At least once per week,0.09421,1148,9957,0.08847,0.09994
1995,No migration background,At least once per month,0.01058,117,9957,0.00857,0.01259
1995,No migration background,Seldom,0.02230,269,9957,0.01940,0.02520
1995,No migration background,Never,0.00858,82,9957,0.00677,0.01039
1995,Direct migration background,Daily,0.80161,2409,2729,0.78665,0.81658
1995,Direct migration background,At least once per week,0.09057,243,2729,0.07980,0.10134
1995,Direct migration background,Seldom,0.01661,44,2729,0.01181,0.02141
1995,Direct migration background,Never,0.01377,33,2729,0.00940,0.01814
1995,Indirect migration background,Daily,0.25524,407,478,0.21612,0.29437
1995,Indirect migration background,At least once per week,0.04610,71,478,0.02728,0.06492
1998,No migration background,Daily,0.70416,9493,11179,0.69570,0.71262
1998,No migration background,At least once per week,0.09020,1211,11179,0.08489,0.09551
1998,No migration background,At least once per month,0.00856,103,11179,0.00685,0.01027
1998,No migration background,Seldom,0.02086,269,11179,0.01821,0.02351
1998,No migration background,Never,0.00946,103,11179,0.00767,0.01126
1998,Direct migration background,Daily,0.81309,2106,2330,0.79726,0.82892
1998,Direct migration background,At least once per week,0.07898,168,2330,0.06803,0.08994
1998,Direct migration background,Seldom,0.02402,56,2330,0.01780,0.03024
1998,Indirect migration background,Daily,0.31556,496,567,0.27727,0.35385
1998,Indirect migration background,At least once per week,0.04961,71,567,0.03172,0.06750
2003,No migration background,Daily,0.73859,16123,18712,0.73229,0.74488
2003,No migration background,At least once per week,0.07665,1874,18712,0.07284,0.08046
2003,No migration background,At least once per month,0.00837,175,18712,0.00707,0.00968
2003,No migration background,Seldom,0.01387,335,18712,0.01220,0.01555
2003,No migration background,Never,0.01117,205,18712,0.00966,0.01268
2003,Direct migration background,Daily,0.82318,2293,2584,0.80846,0.83789
2003,Direct migration background,At least once per week,0.07419,203,2584,0.06408,0.08429
2003,Direct migration background,Seldom,0.01766,39,2584,0.01258,0.02274
2003,Direct migration background,Never,0.01819,49,2584,0.01303,0.02334
2003,Indirect migration background,Daily,0.31810,626,731,0.28431,0.35189
2003,Indirect migration background,At least once per week,0.05225,105,731,0.03611,0.06840
2008,No migration background,Daily,0.71283,13849,16597,0.70595,0.71971
