year,age_gr,pli0083,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1990,17-29 y.,Daily,0.55684,1965,2685,0.53805,0.57563
1990,17-29 y.,At least once per week,0.17827,567,2685,0.16379,0.19275
1990,17-29 y.,At least once per month,0.01776,53,2685,0.01276,0.02275
1990,17-29 y.,Seldom,0.02929,100,2685,0.02291,0.03567
1990,30-45 y.,Daily,0.59428,2111,2778,0.57602,0.61255
1990,30-45 y.,At least once per week,0.13778,458,2778,0.12496,0.15060
1990,30-45 y.,At least once per month,0.01953,53,2778,0.01439,0.02468
1990,30-45 y.,Seldom,0.04042,124,2778,0.03309,0.04774
1990,30-45 y.,Never,0.00732,32,2778,0.00415,0.01049
1990,46-65 y.,Daily,0.66521,2402,2902,0.64804,0.68238
1990,46-65 y.,At least once per week,0.08813,337,2902,0.07782,0.09845
1990,46-65 y.,At least once per month,0.01116,36,2902,0.00733,0.01498
1990,46-65 y.,Seldom,0.02569,88,2902,0.01993,0.03145
1990,46-65 y.,Never,0.00894,39,2902,0.00552,0.01237
1990,66 and older,Daily,0.73448,928,988,0.70693,0.76203
1990,66 and older,At least once per week,0.04723,60,988,0.03400,0.06046
1995,17-29 y.,Daily,0.78093,2683,3311,0.76684,0.79502
1995,17-29 y.,At least once per week,0.15845,492,3311,0.14601,0.17089
1995,17-29 y.,At least once per month,0.01822,45,3311,0.01366,0.02277
1995,17-29 y.,Seldom,0.03015,91,3311,0.02433,0.03598
1995,30-45 y.,Daily,0.77955,3557,4421,0.76733,0.79177
1995,30-45 y.,At least once per week,0.14804,607,4421,0.13757,0.15851
1995,30-45 y.,At least once per month,0.02025,67,4421,0.01610,0.02441
1995,30-45 y.,Seldom,0.03889,149,4421,0.03319,0.04459
1995,30-45 y.,Never,0.00899,41,4421,0.00620,0.01177
1995,46-65 y.,Daily,0.86535,3500,3946,0.85470,0.87600
1995,46-65 y.,At least once per week,0.09278,313,3946,0.08373,0.10183
1995,46-65 y.,At least once per month,0.00789,31,3946,0.00513,0.01065
1995,46-65 y.,Seldom,0.01820,69,3946,0.01403,0.02237
1995,46-65 y.,Never,0.01229,33,3946,0.00885,0.01573
1995,66 and older,Daily,0.92947,1417,1467,0.91636,0.94257
1995,66 and older,At least once per week,0.03436,50,1467,0.02504,0.04369
1998,17-29 y.,Daily,0.79363,2605,3126,0.77944,0.80781
1998,17-29 y.,At least once per week,0.15481,413,3126,0.14213,0.16749
1998,17-29 y.,At least once per month,0.01347,34,3126,0.00943,0.01751
1998,17-29 y.,Seldom,0.02302,74,3126,0.01776,0.02828
1998,30-45 y.,Daily,0.78002,3865,4804,0.76830,0.79173
1998,30-45 y.,At least once per week,0.14912,663,4804,0.13904,0.15919
1998,30-45 y.,At least once per month,0.01609,54,4804,0.01254,0.01965
1998,30-45 y.,Seldom,0.03907,173,4804,0.03359,0.04455
1998,30-45 y.,Never,0.01149,49,4804,0.00847,0.01450
1998,46-65 y.,Daily,0.87147,3886,4361,0.86154,0.88141
1998,46-65 y.,At least once per week,0.08072,324,4361,0.07263,0.08880
1998,46-65 y.,At least once per month,0.00872,41,4361,0.00596,0.01148
1998,46-65 y.,Seldom,0.02209,77,4361,0.01773,0.02645
