year,pli0083,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1990,Daily,0.52024,7406,9415,0.51015,0.53033
1990,At least once per week,0.09548,1422,9415,0.08954,0.10142
1990,At least once per month,0.01211,155,9415,0.00990,0.01432
1990,Seldom,0.02387,334,9415,0.02079,0.02696
1990,Never,0.00657,98,9415,0.00494,0.00820
1995,Daily,0.68589,11157,13211,0.67797,0.69380
1995,At least once per week,0.09156,1462,13211,0.08664,0.09648
1995,At least once per month,0.01038,148,13211,0.00865,0.01211
1995,Seldom,0.02086,324,13211,0.01843,0.02330
1995,Never,0.00900,120,13211,0.00739,0.01061
1998,Daily,0.69533,12095,14156,0.68775,0.70291
1998,At least once per week,0.08663,1450,14156,0.08199,0.09126
1998,At least once per month,0.00894,137,14156,0.00739,0.01049
1998,Seldom,0.02055,340,14156,0.01822,0.02289
1998,Never,0.00923,134,14156,0.00765,0.01080
2003,Daily,0.72102,19042,22088,0.71511,0.72694
2003,At least once per week,0.07480,2182,22088,0.07133,0.07827
2003,At least once per month,0.00841,207,22088,0.00720,0.00961
2003,Seldom,0.01401,392,22088,0.01246,0.01556
2003,Never,0.01154,265,22088,0.01013,0.01295
2008,Daily,0.70042,16086,19255,0.69395,0.70689
2008,At least once per week,0.09518,2245,19255,0.09104,0.09933
2008,At least once per month,0.01182,271,19255,0.01030,0.01335
2008,Seldom,0.01888,436,19255,0.01696,0.02081
2008,Never,0.01113,217,19255,0.00964,0.01261
2013,Daily,0.60513,19806,25461,0.59912,0.61113
2013,At least once per week,0.10911,3984,25461,0.10528,0.11294
2013,At least once per month,0.01608,561,25461,0.01453,0.01762
2013,Seldom,0.02176,815,25461,0.01997,0.02356
2013,Never,0.01001,295,25461,0.00879,0.01123
2019,Daily,0.63949,19335,25702,0.63362,0.64536
2019,At least once per week,0.13242,4423,25702,0.12827,0.13656
2019,At least once per month,0.01677,534,25702,0.01520,0.01834
2019,Seldom,0.02984,1047,25702,0.02776,0.03192
2019,Never,0.01176,363,25702,0.01044,0.01307
2021,Daily,0.59733,12141,17191,0.59000,0.60466
2021,At least once per week,0.15889,3588,17191,0.15343,0.16436
2021,At least once per month,0.01858,462,17191,0.01656,0.02060
2021,Seldom,0.03159,695,17191,0.02897,0.03420
2021,Never,0.01553,305,17191,0.01368,0.01738
