year,bula_h,pli0083,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1990,Schleswig-Holstein,Daily,0.63757,220,266,0.57969,0.69544
1990,Schleswig-Holstein,At least once per week,0.12733,46,266,0.08719,0.16746
1990,Hamburg,Daily,0.69927,134,134,0.62133,0.77720
1990,Lower Saxony,Daily,0.67604,765,950,0.64627,0.70582
1990,Lower Saxony,At least once per week,0.11679,148,950,0.09635,0.13722
1990,Lower Saxony,Seldom,0.03173,37,950,0.02058,0.04288
1990,Bremen,Daily,0.71867,83,83,0.62135,0.81600
1990,North Rhine-Westphalia,Daily,0.66087,2050,2526,0.64240,0.67933
1990,North Rhine-Westphalia,At least once per week,0.11397,356,2526,0.10158,0.12637
1990,North Rhine-Westphalia,At least once per month,0.01060,31,2526,0.00661,0.01459
1990,North Rhine-Westphalia,Seldom,0.02859,89,2526,0.02209,0.03509
1990,Hesse,Daily,0.66303,748,950,0.63295,0.69310
1990,Hesse,At least once per week,0.11761,160,950,0.09712,0.13811
1990,Hesse,Seldom,0.03506,42,950,0.02336,0.04676
1990,"Rhineland-Palatinate, Saarland",Daily,0.68384,539,640,0.64779,0.71990
1990,"Rhineland-Palatinate, Saarland",At least once per week,0.12617,101,640,0.10042,0.15191
1990,Baden-Wuerttemberg,Daily,0.63361,1415,1727,0.61088,0.65634
1990,Baden-Wuerttemberg,At least once per week,0.11856,256,1727,0.10331,0.13381
1990,Baden-Wuerttemberg,Seldom,0.02843,56,1727,0.02059,0.03628
1990,Bavaria,Daily,0.62554,1186,1573,0.60161,0.64946
1990,Bavaria,At least once per week,0.14054,283,1573,0.12336,0.15772
1990,Bavaria,At least once per month,0.02567,43,1573,0.01785,0.03349
1990,Bavaria,Seldom,0.03027,61,1573,0.02180,0.03874
1990,Berlin,Daily,0.44446,266,307,0.38879,0.50014
1990,Berlin,At least once per week,0.05849,41,307,0.03220,0.08479
1995,Schleswig-Holstein,Daily,0.61788,217,267,0.55949,0.67628
1995,Schleswig-Holstein,At least once per week,0.13311,50,267,0.09229,0.17393
1995,Hamburg,Daily,0.71590,114,114,0.63275,0.79905
1995,Lower Saxony,Daily,0.68273,885,1022,0.65418,0.71128
1995,Lower Saxony,At least once per week,0.08200,106,1022,0.06517,0.09883
1995,Lower Saxony,Seldom,0.02588,31,1022,0.01614,0.03562
1995,Bremen,Daily,0.80513,77,77,0.71608,0.89418
1995,North Rhine-Westphalia,Daily,0.69792,2194,2510,0.67996,0.71589
1995,North Rhine-Westphalia,At least once per week,0.07953,261,2510,0.06895,0.09012
1995,North Rhine-Westphalia,Seldom,0.01648,55,2510,0.01150,0.02146
1995,Hesse,Daily,0.70936,781,890,0.67951,0.73921
1995,Hesse,At least once per week,0.08346,109,890,0.06528,0.10164
1995,"Rhineland-Palatinate, Saarland",Daily,0.65623,593,676,0.62040,0.69207
1995,"Rhineland-Palatinate, Saarland",At least once per week,0.10113,83,676,0.07838,0.12387
1995,Baden-Wuerttemberg,Daily,0.65139,1487,1747,0.62903,0.67374
1995,Baden-Wuerttemberg,At least once per week,0.10464,208,1747,0.09028,0.11900
1995,Baden-Wuerttemberg,Seldom,0.03137,52,1747,0.02320,0.03955
1995,Bavaria,Daily,0.65457,1328,1662,0.63170,0.67744
1995,Bavaria,At least once per week,0.11636,258,1662,0.10094,0.13178
1995,Bavaria,At least once per month,0.01123,32,1662,0.00616,0.01629
1995,Bavaria,Seldom,0.02506,44,1662,0.01755,0.03258
1995,Berlin,Daily,0.67919,468,540,0.63978,0.71860
1995,Berlin,At least once per week,0.11882,72,540,0.09151,0.14614
1995,Brandenburg,Daily,0.71249,507,551,0.67466,0.75031
1995,Brandenburg,At least once per week,0.06822,44,551,0.04715,0.08929
1995,Mecklenburg-Western Pomerania,Daily,0.73019,368,368,0.68478,0.77560
1995,Saxony,Daily,0.72164,936,1063,0.69469,0.74860
1995,Saxony,At least once per week,0.07890,127,1063,0.06268,0.09511
1995,Saxony-Anhalt,Daily,0.78004,619,667,0.74858,0.81150
1995,Saxony-Anhalt,At least once per week,0.04728,48,667,0.03116,0.06340
