year,regtyp,pli0083,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1990,Urban regions,Daily,0.58886,5860,7451,0.57769,0.60003
1990,Urban regions,At least once per week,0.10820,1127,7451,0.10114,0.11525
1990,Urban regions,At least once per month,0.01184,109,7451,0.00938,0.01429
1990,Urban regions,Seldom,0.02819,275,7451,0.02443,0.03195
1990,Urban regions,Never,0.00767,80,7451,0.00569,0.00965
1990,Rural regions,Daily,0.37952,1546,1946,0.35796,0.40109
1990,Rural regions,At least once per week,0.06938,295,1946,0.05809,0.08068
1990,Rural regions,At least once per month,0.01286,46,1946,0.00785,0.01786
1990,Rural regions,Seldom,0.01491,59,1946,0.00953,0.02030
1995,Urban regions,Daily,0.68935,7294,8666,0.67960,0.69909
1995,Urban regions,At least once per week,0.09379,983,8666,0.08765,0.09993
1995,Urban regions,At least once per month,0.01119,106,8666,0.00897,0.01340
1995,Urban regions,Seldom,0.01872,192,8666,0.01587,0.02157
1995,Urban regions,Never,0.00930,91,8666,0.00728,0.01133
1995,Rural regions,Daily,0.67854,3863,4516,0.66492,0.69217
1995,Rural regions,At least once per week,0.08682,479,4516,0.07861,0.09503
1995,Rural regions,At least once per month,0.00868,42,4516,0.00597,0.01138
1995,Rural regions,Seldom,0.02541,132,4516,0.02082,0.03000
1998,Urban regions,Daily,0.69403,7807,9215,0.68462,0.70344
1998,Urban regions,At least once per week,0.09428,1010,9215,0.08831,0.10025
1998,Urban regions,At least once per month,0.00791,85,9215,0.00610,0.00972
1998,Urban regions,Seldom,0.01985,212,9215,0.01700,0.02270
1998,Urban regions,Never,0.00962,101,9215,0.00762,0.01161
1998,Rural regions,Daily,0.69813,4288,4941,0.68532,0.71093
1998,Rural regions,At least once per week,0.07016,440,4941,0.06303,0.07728
1998,Rural regions,At least once per month,0.01115,52,4941,0.00822,0.01408
1998,Rural regions,Seldom,0.02207,128,4941,0.01797,0.02617
1998,Rural regions,Never,0.00839,33,4941,0.00584,0.01093
2003,Urban regions,Daily,0.71680,12593,14685,0.70951,0.72409
2003,Urban regions,At least once per week,0.07860,1526,14685,0.07425,0.08296
2003,Urban regions,At least once per month,0.00844,136,14685,0.00696,0.00992
2003,Urban regions,Seldom,0.01315,252,14685,0.01131,0.01499
2003,Urban regions,Never,0.01177,178,14685,0.01002,0.01351
2003,Rural regions,Daily,0.73013,6449,7403,0.72002,0.74024
2003,Rural regions,At least once per week,0.06659,656,7403,0.06091,0.07227
2003,Rural regions,At least once per month,0.00833,71,7403,0.00626,0.01040
2003,Rural regions,Seldom,0.01586,140,7403,0.01302,0.01871
2003,Rural regions,Never,0.01105,87,7403,0.00867,0.01343
2008,Urban regions,Daily,0.69392,10432,12627,0.68588,0.70196
2008,Urban regions,At least once per week,0.09999,1571,12627,0.09476,0.10523
2008,Urban regions,At least once per month,0.01289,192,12627,0.01092,0.01486
2008,Urban regions,Seldom,0.01710,279,12627,0.01484,0.01936
2008,Urban regions,Never,0.01072,153,12627,0.00892,0.01252
2008,Rural regions,Daily,0.71431,5654,6628,0.70343,0.72519
2008,Rural regions,At least once per week,0.08491,674,6628,0.07820,0.09162
2008,Rural regions,At least once per month,0.00955,79,6628,0.00721,0.01189
2008,Rural regions,Seldom,0.02269,157,6628,0.01911,0.02628
2008,Rural regions,Never,0.01199,64,6628,0.00937,0.01461
2013,Urban regions,Daily,0.58320,12309,16156,0.57560,0.59081
2013,Urban regions,At least once per week,0.11526,2747,16156,0.11034,0.12018
2013,Urban regions,At least once per month,0.01515,372,16156,0.01327,0.01704
2013,Urban regions,Seldom,0.02124,521,16156,0.01902,0.02347
2013,Urban regions,Never,0.01028,207,16156,0.00873,0.01184
2013,Rural regions,Daily,0.65045,7497,9305,0.64076,0.66014
2013,Rural regions,At least once per week,0.09638,1237,9305,0.09039,0.10238
2013,Rural regions,At least once per month,0.01799,189,9305,0.01529,0.02069
2013,Rural regions,Seldom,0.02284,294,9305,0.01980,0.02588
2013,Rural regions,Never,0.00945,88,9305,0.00748,0.01141
2019,Urban regions,Daily,0.62974,12023,16349,0.62234,0.63714
2019,Urban regions,At least once per week,0.13930,3024,16349,0.13399,0.14461
2019,Urban regions,At least once per month,0.01686,356,16349,0.01488,0.01883
2019,Urban regions,Seldom,0.02980,686,16349,0.02720,0.03241
2019,Urban regions,Never,0.01288,260,16349,0.01115,0.01461
2019,Rural regions,Daily,0.66496,6938,8799,0.65510,0.67482
2019,Rural regions,At least once per week,0.11534,1290,8799,0.10866,0.12201
2019,Rural regions,At least once per month,0.01533,159,8799,0.01276,0.01790
2019,Rural regions,Seldom,0.02904,325,8799,0.02553,0.03255
2019,Rural regions,Never,0.00829,87,8799,0.00639,0.01018
2021,Urban regions,Daily,0.58815,7861,11386,0.57911,0.59719
2021,Urban regions,At least once per week,0.16402,2528,11386,0.15721,0.17082
2021,Urban regions,At least once per month,0.01713,309,11386,0.01475,0.01951
2021,Urban regions,Seldom,0.03325,472,11386,0.02995,0.03654
2021,Urban regions,Never,0.01499,216,11386,0.01276,0.01722
2021,Rural regions,Daily,0.61669,4279,5804,0.60418,0.62920
2021,Rural regions,At least once per week,0.14806,1060,5804,0.13892,0.15719
2021,Rural regions,At least once per month,0.02170,153,5804,0.01795,0.02545
2021,Rural regions,Seldom,0.02806,223,5804,0.02381,0.03231
2021,Rural regions,Never,0.01671,89,5804,0.01341,0.02001
