year,sex,pli0083,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1990,male,Daily,0.51174,3632,4642,0.49736,0.52612
1990,male,At least once per week,0.09858,732,4642,0.09000,0.10715
1990,male,At least once per month,0.01176,79,4642,0.00866,0.01486
1990,male,Seldom,0.02376,150,4642,0.01938,0.02814
1990,male,Never,0.00553,49,4642,0.00340,0.00766
1990,female,Daily,0.52852,3774,4773,0.51435,0.54268
1990,female,At least once per week,0.09263,690,4773,0.08440,0.10085
1990,female,At least once per month,0.01245,76,4773,0.00931,0.01560
1990,female,Seldom,0.02400,184,4773,0.01966,0.02834
1990,female,Never,0.00755,49,4773,0.00509,0.01001
1995,male,Daily,0.67709,5382,6375,0.66561,0.68857
1995,male,At least once per week,0.09133,712,6375,0.08426,0.09841
1995,male,At least once per month,0.01024,71,6375,0.00777,0.01272
1995,male,Seldom,0.01971,155,6375,0.01630,0.02313
1995,male,Never,0.00771,55,6375,0.00557,0.00986
1995,female,Daily,0.69426,5775,6836,0.68334,0.70518
1995,female,At least once per week,0.09177,750,6836,0.08493,0.09862
1995,female,At least once per month,0.01051,77,6836,0.00810,0.01293
1995,female,Seldom,0.02195,169,6836,0.01848,0.02543
1995,female,Never,0.01022,65,6836,0.00783,0.01260
1998,male,Daily,0.68870,5865,6859,0.67774,0.69966
1998,male,At least once per week,0.08833,715,6859,0.08162,0.09505
1998,male,At least once per month,0.00989,73,6859,0.00755,0.01223
1998,male,Seldom,0.01859,152,6859,0.01539,0.02179
1998,male,Never,0.00716,54,6859,0.00516,0.00915
1998,female,Daily,0.70167,6230,7297,0.69117,0.71217
1998,female,At least once per week,0.08499,735,7297,0.07860,0.09139
1998,female,At least once per month,0.00803,64,7297,0.00598,0.01008
1998,female,Seldom,0.02243,188,7297,0.01903,0.02583
1998,female,Never,0.01121,80,7297,0.00879,0.01362
2003,male,Daily,0.70939,9146,10641,0.70076,0.71802
2003,male,At least once per week,0.07816,1082,10641,0.07305,0.08326
2003,male,At least once per month,0.00934,103,10641,0.00751,0.01117
2003,male,Seldom,0.01456,194,10641,0.01229,0.01684
2003,male,Never,0.01077,116,10641,0.00881,0.01273
2003,female,Daily,0.73222,9896,11447,0.72411,0.74033
2003,female,At least once per week,0.07156,1100,11447,0.06684,0.07629
2003,female,At least once per month,0.00751,104,11447,0.00592,0.00909
2003,female,Seldom,0.01348,198,11447,0.01137,0.01560
2003,female,Never,0.01228,149,11447,0.01026,0.01430
2008,male,Daily,0.68953,7621,9167,0.68006,0.69900
2008,male,At least once per week,0.09987,1122,9167,0.09373,0.10601
2008,male,At least once per month,0.01229,139,9167,0.01004,0.01455
2008,male,Seldom,0.01793,190,9167,0.01521,0.02065
2008,male,Never,0.00899,95,9167,0.00705,0.01092
2008,female,Daily,0.71093,8465,10088,0.70208,0.71978
2008,female,At least once per week,0.09066,1123,10088,0.08506,0.09626
2008,female,At least once per month,0.01137,132,10088,0.00930,0.01344
2008,female,Seldom,0.01980,246,10088,0.01708,0.02252
2008,female,Never,0.01319,122,10088,0.01096,0.01542
2013,male,Daily,0.58806,8939,11520,0.57907,0.59705
2013,male,At least once per week,0.11559,1805,11520,0.10975,0.12143
2013,male,At least once per month,0.01876,292,11520,0.01628,0.02123
2013,male,Seldom,0.01955,354,11520,0.01703,0.02208
2013,male,Never,0.00934,130,11520,0.00759,0.01110
2013,female,Daily,0.62159,10867,13941,0.61354,0.62964
2013,female,At least once per week,0.10286,2179,13941,0.09782,0.10790
2013,female,At least once per month,0.01350,269,13941,0.01158,0.01541
2013,female,Seldom,0.02389,461,13941,0.02136,0.02643
2013,female,Never,0.01065,165,13941,0.00895,0.01236
2019,male,Daily,0.63280,9237,12266,0.62427,0.64133
2019,male,At least once per week,0.13335,2094,12266,0.12733,0.13936
2019,male,At least once per month,0.01629,268,12266,0.01405,0.01853
2019,male,Seldom,0.02782,489,12266,0.02491,0.03073
2019,male,Never,0.01133,178,12266,0.00946,0.01321
2019,female,Daily,0.64628,10092,13429,0.63819,0.65436
2019,female,At least once per week,0.13161,2328,13429,0.12589,0.13733
2019,female,At least once per month,0.01725,266,13429,0.01504,0.01945
2019,female,Seldom,0.03185,558,13429,0.02888,0.03482
2019,female,Never,0.01218,185,13429,0.01032,0.01403
2021,male,Daily,0.58427,5671,8085,0.57353,0.59502
2021,male,At least once per week,0.15908,1681,8085,0.15111,0.16706
2021,male,At least once per month,0.01858,220,8085,0.01564,0.02152
2021,male,Seldom,0.03528,356,8085,0.03126,0.03930
2021,male,Never,0.01512,157,8085,0.01246,0.01777
2021,female,Daily,0.61002,6464,9099,0.60000,0.62005
2021,female,At least once per week,0.15877,1906,9099,0.15126,0.16628
2021,female,At least once per month,0.01860,242,9099,0.01582,0.02137
2021,female,Seldom,0.02798,339,9099,0.02459,0.03137
2021,female,Never,0.01595,148,9099,0.01338,0.01853
