"year","bildungsniveau","regtyp","mean","median","n","lower_confidence_mean","upper_confidence_mean"
"1985","(Fach-)Abitur","Laendlicher Raum","6.23","5.5","109","5.73","6.73"
"1985","(Fach-)Abitur","Staedtischer Raum","6.29","6.5","664","6.09","6.49"
"1985","(noch) kein Abschluss","Laendlicher Raum","5.83","5.5","128","5.34","6.32"
"1985","(noch) kein Abschluss","Staedtischer Raum","6.36","6.5","905","6.19","6.53"
"1985","AkademikerIn","Laendlicher Raum","7.72","7.5","121","7.39","8.05"
"1985","AkademikerIn","Staedtischer Raum","7.19","7.5","628","7.01","7.37"
"1985","Hauptschule","Laendlicher Raum","6.2","5.5","1537","6.08","6.32"
"1985","Hauptschule","Staedtischer Raum","6.39","6.5","4808","6.32","6.46"
"1985","Realschule","Laendlicher Raum","6.92","6.5","399","6.69","7.15"
"1985","Realschule","Staedtischer Raum","6.78","6.5","1374","6.66","6.9"
"1986","(Fach-)Abitur","Laendlicher Raum","6.5","6.5","119","5.99","7.01"
"1986","(Fach-)Abitur","Staedtischer Raum","6.37","6.5","680","6.18","6.56"
"1986","(noch) kein Abschluss","Laendlicher Raum","5.94","5.5","123","5.48","6.4"
"1986","(noch) kein Abschluss","Staedtischer Raum","6.3","6.5","871","6.13","6.47"
"1986","AkademikerIn","Laendlicher Raum","7.76","7.5","125","7.49","8.03"
"1986","AkademikerIn","Staedtischer Raum","7.18","7.5","621","7.01","7.35"
"1986","Hauptschule","Laendlicher Raum","6.3","6.5","1456","6.18","6.42"
"1986","Hauptschule","Staedtischer Raum","6.46","6.5","4575","6.39","6.53"
"1986","Realschule","Laendlicher Raum","6.94","6.5","385","6.72","7.16"
"1986","Realschule","Staedtischer Raum","6.84","6.5","1357","6.72","6.96"
"1987","(Fach-)Abitur","Laendlicher Raum","6.97","6.5","105","6.53","7.41"
"1987","(Fach-)Abitur","Staedtischer Raum","6.43","6.5","667","6.25","6.61"
"1987","(noch) kein Abschluss","Laendlicher Raum","5.88","6.5","119","5.41","6.35"
"1987","(noch) kein Abschluss","Staedtischer Raum","6.29","6.5","852","6.13","6.45"
"1987","AkademikerIn","Laendlicher Raum","7.65","7.5","123","7.31","7.99"
"1987","AkademikerIn","Staedtischer Raum","7.03","7.5","617","6.85","7.21"
"1987","Hauptschule","Laendlicher Raum","6.34","6.5","1429","6.22","6.46"
"1987","Hauptschule","Staedtischer Raum","6.48","6.5","4535","6.41","6.55"
"1987","Realschule","Laendlicher Raum","6.78","6.5","396","6.56","7"
"1987","Realschule","Staedtischer Raum","6.86","6.5","1344","6.75","6.97"
"1988","(Fach-)Abitur","Laendlicher Raum","6.5","6.5","96","6","7"
"1988","(Fach-)Abitur","Staedtischer Raum","6.47","6.5","631","6.3","6.64"
"1988","(noch) kein Abschluss","Laendlicher Raum","6.25","6.5","117","5.78","6.72"
"1988","(noch) kein Abschluss","Staedtischer Raum","6.14","5.5","763","5.97","6.31"
"1988","AkademikerIn","Laendlicher Raum","7.59","7.5","115","7.24","7.94"
"1988","AkademikerIn","Staedtischer Raum","7.11","7.5","584","6.93","7.29"
"1988","Hauptschule","Laendlicher Raum","6.39","6.5","1339","6.26","6.52"
"1988","Hauptschule","Staedtischer Raum","6.48","6.5","4359","6.41","6.55"
"1988","Realschule","Laendlicher Raum","6.84","6.5","368","6.63","7.05"
"1988","Realschule","Staedtischer Raum","6.77","6.5","1307","6.66","6.88"
"1989","(Fach-)Abitur","Laendlicher Raum","6.79","6.5","96","6.32","7.26"
"1989","(Fach-)Abitur","Staedtischer Raum","6.57","6.5","646","6.4","6.74"
"1989","(noch) kein Abschluss","Laendlicher Raum","5.73","5.5","109","5.24","6.22"
"1989","(noch) kein Abschluss","Staedtischer Raum","6.16","5.5","744","5.99","6.33"
"1989","AkademikerIn","Laendlicher Raum","7.41","7.5","113","7.04","7.78"
"1989","AkademikerIn","Staedtischer Raum","7.28","7.5","584","7.12","7.44"
"1989","Hauptschule","Laendlicher Raum","6.35","6.5","1260","6.22","6.48"
"1989","Hauptschule","Staedtischer Raum","6.5","6.5","4194","6.43","6.57"
"1989","Realschule","Laendlicher Raum","6.85","6.5","355","6.63","7.07"
"1989","Realschule","Staedtischer Raum","6.92","6.5","1277","6.81","7.03"
"1990","(Fach-)Abitur","Laendlicher Raum","6.62","6.5","170","6.31","6.93"
"1990","(Fach-)Abitur","Staedtischer Raum","6.41","6.5","694","6.25","6.57"
"1990","(noch) kein Abschluss","Laendlicher Raum","6.42","6.5","136","6.04","6.8"
"1990","(noch) kein Abschluss","Staedtischer Raum","6.28","5.5","723","6.12","6.44"
"1990","AkademikerIn","Laendlicher Raum","6.67","6.5","690","6.51","6.83"
"1990","AkademikerIn","Staedtischer Raum","6.92","6.5","979","6.78","7.06"
"1990","Hauptschule","Laendlicher Raum","6.29","6.5","2376","6.19","6.39"
